keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
sản_phẩm,17,1,16.0,153.0,2025-04-14
cao_su,40,0,5.0,140.0,2025-04-14
ttck,13,1,12.0,91.0,2025-04-14
trần,13,1,12.0,91.0,2025-04-14
giao_dịch,58,33,0.76,79.97,2025-04-14
tài_chính,61,38,0.61,79.46,2025-04-14
ủy_ban,12,1,11.0,78.0,2025-04-14
mạnh_mẽ,12,1,11.0,78.0,2025-04-14
tài_khoản,22,0,5.0,77.0,2025-04-14
đất,22,4,4.5,71.5,2025-04-14
dịch_vụ,19,3,5.33,69.67,2025-04-14
chứng_khoán,45,22,1.05,68.52,2025-04-14
việt,70,76,-0.08,67.24,2025-04-14
sản_phẩm dịch_vụ,11,1,10.0,66.0,2025-04-14
thị_trường,72,94,-0.23,63.57,2025-04-14
nước,29,9,2.22,61.22,2025-04-14
tăng,65,77,-0.16,59.94,2025-04-14
phước,16,0,5.0,56.0,2025-04-14
toàn_diện,16,0,5.0,56.0,2025-04-14
dân,16,0,5.0,56.0,2025-04-14
cao_su phước,16,0,5.0,56.0,2025-04-14
cơ_chế,10,1,9.0,55.0,2025-04-14
tiếp_cận,10,1,9.0,55.0,2025-04-14
ftse russell,10,1,9.0,55.0,2025-04-14
russell,10,1,9.0,55.0,2025-04-14
vn30,15,0,5.0,52.5,2025-04-14
về,52,56,-0.07,50.14,2025-04-14
đặt,18,4,3.5,49.5,2025-04-14
chuyển_đổi,14,0,5.0,49.0,2025-04-14
tổ_chức,33,17,0.94,48.53,2025-04-14
nhà_đầu_tư,43,38,0.13,45.83,2025-04-14
cao_su phước hòa,13,0,5.0,45.5,2025-04-14
phước hòa,13,0,5.0,45.5,2025-04-14
hòa,13,0,5.0,45.5,2025-04-14
hạn_chế,9,1,8.0,45.0,2025-04-14
ủy_ban chứng_khoán nhà_nước,9,1,8.0,45.0,2025-04-14
ủy_ban chứng_khoán,9,1,8.0,45.0,2025-04-14
mục_tiêu,27,12,1.25,43.88,2025-04-14
hội_nghị,12,0,5.0,42.0,2025-04-14
lệnh,12,0,5.0,42.0,2025-04-14
tăng_trưởng,40,37,0.08,41.62,2025-04-14
khu_công_nghiệp,20,7,1.86,38.57,2025-04-14
ban,11,0,5.0,38.5,2025-04-14
dịch_vụ tài_chính,11,0,5.0,38.5,2025-04-14
ngân_hàng,29,19,0.53,36.63,2025-04-14
cơ_quan quản_lý,8,1,7.0,36.0,2025-04-14
đột_biến,8,1,7.0,36.0,2025-04-14
trung_quốc,8,1,7.0,36.0,2025-04-14
hoãn,11,2,4.5,35.75,2025-04-14
đất cao_su,10,0,5.0,35.0,2025-04-14
nước_ngoài,27,17,0.59,34.94,2025-04-14
tiếp_tục,31,25,0.24,34.72,2025-04-14
2025,35,39,-0.1,33.21,2025-04-14
nhà_nước,21,10,1.1,32.55,2025-04-14
triển_khai,19,8,1.38,32.06,2025-04-14
ngân_hàng nhà_nước,9,0,5.0,31.5,2025-04-14
gas,9,0,5.0,31.5,2025-04-14
phát_triển,28,24,0.17,30.33,2025-04-14
cổ_phiếu,35,48,-0.27,30.26,2025-04-14
phiên,29,27,0.07,30.07,2025-04-14
ftse,12,3,3.0,30.0,2025-04-14
cơ_quan,17,7,1.43,29.14,2025-04-14
điểm,32,39,-0.18,29.13,2025-04-14
nhà_đầu_tư tổ_chức,7,1,6.0,28.0,2025-04-14
vincom,7,1,6.0,28.0,2025-04-14
tổ_chức nước_ngoài,7,1,6.0,28.0,2025-04-14
thông_báo,7,1,6.0,28.0,2025-04-14
thủ_tướng chính_phủ,7,1,6.0,28.0,2025-04-14
ha,7,1,6.0,28.0,2025-04-14
lợi_nhuận,25,21,0.19,27.38,2025-04-14
quốc_tế,14,5,1.8,26.6,2025-04-14
mã,21,14,0.5,26.25,2025-04-14
thời_gian,21,14,0.5,26.25,2025-04-14
