keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
dự_án,49,5,8.8,264.6,2025-04-29
ctcp,20,1,19.0,210.0,2025-04-29
công_ty,96,34,1.82,183.53,2025-04-29
trái_phiếu,36,4,8.0,180.0,2025-04-29
phát_hành,32,5,5.4,118.4,2025-04-29
pnj,31,0,5.0,108.5,2025-04-29
lợi_nhuận,53,19,1.79,100.42,2025-04-29
tăng,80,62,0.29,91.61,2025-04-29
điều_kiện,13,1,12.0,91.0,2025-04-29
lãi,25,4,5.25,90.62,2025-04-29
kế_hoạch,36,9,3.0,90.0,2025-04-29
vàng,25,0,5.0,87.5,2025-04-29
hđqt,17,2,7.5,80.75,2025-04-29
niêm_yết,12,1,11.0,78.0,2025-04-29
tập_trung,12,1,11.0,78.0,2025-04-29
lỗ,16,2,7.0,72.0,2025-04-29
doanh,19,3,5.33,69.67,2025-04-29
tự doanh,19,3,5.33,69.67,2025-04-29
tài_sản,26,6,3.33,69.33,2025-04-29
báo_cáo,18,3,5.0,63.0,2025-04-29
chào,17,0,5.0,59.5,2025-04-29
đầu_tư,36,16,1.25,58.5,2025-04-29
về,46,31,0.48,57.13,2025-04-29
thị_trường,52,46,0.13,55.39,2025-04-29
margin,10,1,9.0,55.0,2025-04-29
vi_phạm,10,1,9.0,55.0,2025-04-29
nhà_nước,10,1,9.0,55.0,2025-04-29
tự,19,4,3.75,54.62,2025-04-29
bidv,25,8,2.12,51.56,2025-04-29
giảm,51,53,-0.04,50.04,2025-04-29
i2025,27,10,1.7,49.95,2025-04-29
mảng,18,4,3.5,49.5,2025-04-29
thu,14,0,5.0,49.0,2025-04-29
so mức,9,1,8.0,45.0,2025-04-29
sụt,9,1,8.0,45.0,2025-04-29
tháo_gỡ,9,1,8.0,45.0,2025-04-29
sụt giảm,9,1,8.0,45.0,2025-04-29
công_ty chứng_khoán,27,12,1.25,43.88,2025-04-29
chứng_khoán,48,58,-0.17,43.86,2025-04-29
so,43,43,0.0,43.0,2025-04-29
hoạt_động,37,29,0.28,42.1,2025-04-29
thương_vụ,12,0,5.0,42.0,2025-04-29
ipo,12,0,5.0,42.0,2025-04-29
khu,12,0,5.0,42.0,2025-04-29
holdings,12,0,5.0,42.0,2025-04-29
đợt,12,0,5.0,42.0,2025-04-29
vix,12,0,5.0,42.0,2025-04-29
tương_đương,12,2,5.0,42.0,2025-04-29
ảnh_hưởng,20,7,1.86,38.57,2025-04-29
doanh_thu,25,12,1.08,38.54,2025-04-29
becamex,11,0,5.0,38.5,2025-04-29
đất,11,0,5.0,38.5,2025-04-29
hoãn,11,0,5.0,38.5,2025-04-29
vấn_đề,11,0,5.0,38.5,2025-04-29
quyết_định,11,0,5.0,38.5,2025-04-29
nhưng,24,11,1.18,38.18,2025-04-29
triển_khai,17,5,2.4,37.4,2025-04-29
cổ_phiếu,46,75,-0.39,37.11,2025-04-29
tạm,8,1,7.0,36.0,2025-04-29
nợ,11,2,4.5,35.75,2025-04-29
điều_hành,10,0,5.0,35.0,2025-04-29
becamex idc,10,0,5.0,35.0,2025-04-29
dự_án khu,10,0,5.0,35.0,2025-04-29
huy_động,10,0,5.0,35.0,2025-04-29
idc,10,0,5.0,35.0,2025-04-29
tới,20,9,1.22,32.22,2025-04-29
thời_gian,14,4,2.5,31.5,2025-04-29
dragon,9,0,5.0,31.5,2025-04-29
khó_khăn,10,2,4.0,30.0,2025-04-29
quỹ đất,8,0,5.0,28.0,2025-04-29
bán_lẻ,8,0,5.0,28.0,2025-04-29
2023,7,1,6.0,28.0,2025-04-29
ban điều_hành,8,0,5.0,28.0,2025-04-29
quy_mô,14,5,1.8,26.6,2025-04-29
tổng,18,10,0.8,25.2,2025-04-29
đầu,25,25,0.0,25.0,2025-04-29
đồngcổ phiếu,9,2,3.5,24.75,2025-04-29
đồngcổ,9,2,3.5,24.75,2025-04-29
phiếu,9,2,3.5,24.75,2025-04-29
doanh_nghiệp,17,9,0.89,24.56,2025-04-29
cửa_hàng,7,0,5.0,24.5,2025-04-29
hỏi,7,0,5.0,24.5,2025-04-29
lập,7,0,5.0,24.5,2025-04-29
vdsc,7,0,5.0,24.5,2025-04-29
công_nghệ_thông_tin,7,0,5.0,24.5,2025-04-29
tổng đầu_tư,7,0,5.0,24.5,2025-04-29
ha,7,0,5.0,24.5,2025-04-29
tiếp_tục,20,14,0.43,24.29,2025-04-29
đạt,27,34,-0.21,24.22,2025-04-29
công_bố,12,4,2.0,24.0,2025-04-29
mức,28,40,-0.3,23.8,2025-04-29
dự_kiến,15,7,1.14,23.57,2025-04-29
tăng_trưởng,24,25,-0.04,23.52,2025-04-29
cổ_đông,20,15,0.33,23.33,2025-04-29
kỳ,23,23,0.0,23.0,2025-04-29
giá_trị,21,18,0.17,22.75,2025-04-29
thời_điểm,17,11,0.55,21.64,2025-04-29
2025,23,27,-0.15,21.3,2025-04-29
tham_gia,6,1,5.0,21.0,2025-04-29
đợt chào,6,0,5.0,21.0,2025-04-29
câu hỏi,6,0,5.0,21.0,2025-04-29
thành_viên hđqt,6,0,5.0,21.0,2025-04-29
câu,6,1,5.0,21.0,2025-04-29
hệ_thống công_nghệ_thông_tin,6,0,5.0,21.0,2025-04-29
tạm hoãn,6,0,5.0,21.0,2025-04-29
kiểm_toán,6,1,5.0,21.0,2025-04-29
bằng,6,0,5.0,21.0,2025-04-29
liên_tục,6,1,5.0,21.0,2025-04-29
mảng tự doanh,6,0,5.0,21.0,2025-04-29
mảng tự,6,0,5.0,21.0,2025-04-29
tín_dụng,6,0,5.0,21.0,2025-04-29
sở_hữu trái_phiếu,6,0,5.0,21.0,2025-04-29
đối_với,18,14,0.29,20.57,2025-04-29
cụ_thể,12,5,1.4,20.4,2025-04-29
trả,8,2,3.0,20.0,2025-04-29
tổ_chức phát_hành,8,2,3.0,20.0,2025-04-29
phương_án,8,2,3.0,20.0,2025-04-29
thông_báo,8,2,3.0,20.0,2025-04-29
kinh_doanh,16,11,0.45,19.64,2025-04-29
khoản,16,11,0.45,19.64,2025-04-29
chi_phí,9,3,2.0,18.0,2025-04-29
đưa,12,6,1.0,18.0,2025-04-29
tình_hình,9,3,2.0,18.0,2025-04-29
phát_hành trái_phiếu,5,0,5.0,17.5,2025-04-29
vay thu,5,0,5.0,17.5,2025-04-29
nghị_quyết,5,0,5.0,17.5,2025-04-29
dư_nợ,10,4,1.5,17.5,2025-04-29
hồi,5,0,5.0,17.5,2025-04-29
lãi vay,5,0,5.0,17.5,2025-04-29
tiêu_dùng,5,0,5.0,17.5,2025-04-29
