keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
dự_án,49,2,23.5,624.75,2025-04-30
ctcp,26,1,25.0,351.0,2025-04-30
trái_phiếu,36,3,11.0,234.0,2025-04-30
báo_cáo,18,1,17.0,171.0,2025-04-30
công_ty,97,41,1.37,163.24,2025-04-30
thu,16,1,15.0,136.0,2025-04-30
chứng_khoán,89,58,0.53,112.78,2025-04-30
đầu_tư,51,15,2.4,112.2,2025-04-30
tăng,91,69,0.32,105.51,2025-04-30
phát_hành,33,7,3.71,94.29,2025-04-30
tổng_công_ty,22,3,6.33,91.67,2025-04-30
lãi,25,4,5.25,90.62,2025-04-30
tài_sản,28,6,3.67,79.33,2025-04-30
về,59,35,0.69,79.23,2025-04-30
kế_hoạch,35,11,2.18,73.18,2025-04-30
lỗ,16,2,7.0,72.0,2025-04-30
doanh,19,3,5.33,69.67,2025-04-30
tự doanh,19,3,5.33,69.67,2025-04-30
thị_trường,58,49,0.18,63.33,2025-04-30
công_nghệ,18,3,5.0,63.0,2025-04-30
chào,18,0,5.0,63.0,2025-04-30
công_ty chứng_khoán,32,12,1.67,58.67,2025-04-30
ký,46,31,0.48,57.13,2025-04-30
lợi_nhuận,43,26,0.65,57.06,2025-04-30
hoạt_động,46,32,0.44,56.06,2025-04-30
quyết_định,16,0,5.0,56.0,2025-04-30
margin,10,1,9.0,55.0,2025-04-30
vi_phạm,10,1,9.0,55.0,2025-04-30
tham_gia,10,1,9.0,55.0,2025-04-30
lưu,40,23,0.74,54.78,2025-04-30
lưu ký,40,23,0.74,54.78,2025-04-30
tự,19,4,3.75,54.62,2025-04-30
thực_hiện,32,14,1.29,52.57,2025-04-30
bidv,25,8,2.12,51.56,2025-04-30
giảm,54,60,-0.1,51.3,2025-04-30
đợt,14,0,5.0,49.0,2025-04-30
cổ_phiếu,56,77,-0.27,48.36,2025-04-30
thương_vụ,13,0,5.0,45.5,2025-04-30
nợ,13,0,5.0,45.5,2025-04-30
bằng,9,1,8.0,45.0,2025-04-30
sụt giảm,9,1,8.0,45.0,2025-04-30
sụt,9,1,8.0,45.0,2025-04-30
tháo_gỡ,9,1,8.0,45.0,2025-04-30
thông_tin,30,15,1.0,45.0,2025-04-30
điều_hành,9,1,8.0,45.0,2025-04-30
triển_khai,17,4,3.25,44.62,2025-04-30
giá_trị,32,18,0.78,44.44,2025-04-30
việt,37,27,0.37,43.85,2025-04-30
tổ_chức,29,15,0.93,42.53,2025-04-30
huy_động,12,0,5.0,42.0,2025-04-30
nvidia,12,0,5.0,42.0,2025-04-30
holdings,12,0,5.0,42.0,2025-04-30
khu,12,0,5.0,42.0,2025-04-30
ipo,12,0,5.0,42.0,2025-04-30
niêm_yết,12,2,5.0,42.0,2025-04-30
vix,12,0,5.0,42.0,2025-04-30
điều_kiện,12,2,5.0,42.0,2025-04-30
công_bố,18,5,2.6,41.4,2025-04-30
tổng_công_ty lưu ký,14,3,3.67,39.67,2025-04-30
ký bù_trừ chứng_khoán,14,3,3.67,39.67,2025-04-30
bù_trừ chứng_khoán,14,3,3.67,39.67,2025-04-30
bù_trừ chứng_khoán việt,14,3,3.67,39.67,2025-04-30
tương_đương,14,3,3.67,39.67,2025-04-30
tổng_công_ty lưu,14,3,3.67,39.67,2025-04-30
ảnh_hưởng,20,7,1.86,38.57,2025-04-30
becamex,11,0,5.0,38.5,2025-04-30
hoãn,11,0,5.0,38.5,2025-04-30
đất,11,0,5.0,38.5,2025-04-30
vấn_đề,11,0,5.0,38.5,2025-04-30
nhà_đầu_tư,33,25,0.32,38.28,2025-04-30
hóa,8,1,7.0,36.0,2025-04-30
2023,8,1,7.0,36.0,2025-04-30
trực_tiếp,8,1,7.0,36.0,2025-04-30
tạm,8,1,7.0,36.0,2025-04-30
phương_án,8,1,7.0,36.0,2025-04-30
nền_tảng,8,1,7.0,36.0,2025-04-30
cổ_đông,22,10,1.2,35.2,2025-04-30
dự_án khu,10,0,5.0,35.0,2025-04-30
becamex idc,10,0,5.0,35.0,2025-04-30
idc,10,0,5.0,35.0,2025-04-30
nhà_nước,13,3,3.33,34.67,2025-04-30
giao_dịch,36,43,-0.16,33.07,2025-04-30
khoản,22,11,1.0,33.0,2025-04-30
2025,29,23,0.26,32.78,2025-04-30
tới,20,9,1.22,32.22,2025-04-30
thoái,9,0,5.0,31.5,2025-04-30
dragon,9,0,5.0,31.5,2025-04-30
scic,9,0,5.0,31.5,2025-04-30
công_bố thông_tin,9,0,5.0,31.5,2025-04-30
i2025,23,14,0.64,30.39,2025-04-30
chứng_khoán việt,15,5,2.0,30.0,2025-04-30
tổ_chức phát_hành,10,2,4.0,30.0,2025-04-30
cơ_hội,12,3,3.0,30.0,2025-04-30
tập_trung,10,2,4.0,30.0,2025-04-30
ký bù_trừ,15,5,2.0,30.0,2025-04-30
tình_hình,10,2,4.0,30.0,2025-04-30
lưu ký bù_trừ,15,5,2.0,30.0,2025-04-30
thông_qua,16,6,1.67,29.33,2025-04-30
tài_chính,22,14,0.57,28.29,2025-04-30
doanh_nghiệp,20,11,0.82,28.18,2025-04-30
quỹ đất,8,0,5.0,28.0,2025-04-30
tín_dụng,8,0,5.0,28.0,2025-04-30
dùng,8,0,5.0,28.0,2025-04-30
đấu_giá,8,0,5.0,28.0,2025-04-30
ban điều_hành,7,1,6.0,28.0,2025-04-30
mở tài_khoản,8,0,5.0,28.0,2025-04-30
lập,8,0,5.0,28.0,2025-04-30
đạt,30,36,-0.17,27.5,2025-04-30
tổng,18,9,1.0,27.0,2025-04-30
quy_mô,14,5,1.8,26.6,2025-04-30
thời_điểm,19,11,0.73,25.91,2025-04-30
mở,11,3,2.67,25.67,2025-04-30
gửi,11,3,2.67,25.67,2025-04-30
điểm,28,36,-0.22,24.89,2025-04-30
sở_giao_dịch,9,2,3.5,24.75,2025-04-30
sở_giao_dịch chứng_khoán,9,2,3.5,24.75,2025-04-30
dự_kiến,17,9,0.89,24.56,2025-04-30
tổng đầu_tư,7,0,5.0,24.5,2025-04-30
thực_hiện hoạt_động,7,0,5.0,24.5,2025-04-30
ha,7,0,5.0,24.5,2025-04-30
vdsc,7,0,5.0,24.5,2025-04-30
công_nghệ_thông_tin,7,0,5.0,24.5,2025-04-30
lưu ký chứng_khoán,12,4,2.0,24.0,2025-04-30
ký chứng_khoán,12,4,2.0,24.0,2025-04-30
diễn,12,4,2.0,24.0,2025-04-30
so,30,52,-0.42,23.65,2025-04-30
đưa,15,7,1.14,23.57,2025-04-30
hđqt,13,5,1.6,23.4,2025-04-30
quy_định,22,20,0.1,23.1,2025-04-30
thành_viên,24,26,-0.08,23.08,2025-04-30
phiên,26,34,-0.24,22.94,2025-04-30
mã,22,21,0.05,22.52,2025-04-30
đối_với,19,14,0.36,22.39,2025-04-30
sự,20,17,0.18,21.76,2025-04-30
phát_triển,15,8,0.88,21.56,2025-04-30
fintech,6,0,5.0,21.0,2025-04-30
câu,6,1,5.0,21.0,2025-04-30
tạm hoãn,6,0,5.0,21.0,2025-04-30
câu hỏi,6,0,5.0,21.0,2025-04-30
hệ_thống công_nghệ_thông_tin,6,0,5.0,21.0,2025-04-30
từng,6,1,5.0,21.0,2025-04-30
hỏi,6,1,5.0,21.0,2025-04-30
sở_hữu trái_phiếu,6,0,5.0,21.0,2025-04-30
ủy_ban,6,1,5.0,21.0,2025-04-30
mảng tự,6,0,5.0,21.0,2025-04-30
đợt chào,6,0,5.0,21.0,2025-04-30
kiểm_toán,6,0,5.0,21.0,2025-04-30
chủ_tịch,6,1,5.0,21.0,2025-04-30
ứng_dụng,6,1,5.0,21.0,2025-04-30
mảng tự doanh,6,0,5.0,21.0,2025-04-30
toàn_cầu,6,1,5.0,21.0,2025-04-30
pháp_lý,6,0,5.0,21.0,2025-04-30
dư_nợ,11,4,1.75,20.62,2025-04-30
bao_gồm,12,5,1.4,20.4,2025-04-30
cụ_thể,12,5,1.4,20.4,2025-04-30
tăng_trưởng,21,23,-0.09,20.09,2025-04-30
cam_kết,8,2,3.0,20.0,2025-04-30
tiếp_tục,18,15,0.2,19.8,2025-04-30
mảng,14,8,0.75,19.25,2025-04-30
thời_gian,13,7,0.86,18.57,2025-04-30
nhưng,18,18,0.0,18.0,2025-04-30
đồngcổ phiếu,9,3,2.0,18.0,2025-04-30
đồngcổ,9,3,2.0,18.0,2025-04-30
phiếu,9,3,2.0,18.0,2025-04-30
bù_trừ,15,11,0.36,17.73,2025-04-30
bổ_sung,15,11,0.36,17.73,2025-04-30
đầu,21,31,-0.32,17.61,2025-04-30
trần,11,5,1.2,17.6,2025-04-30
liên_quan,11,5,1.2,17.6,2025-04-30
vpbanks,5,0,5.0,17.5,2025-04-30
chuyển_nhượng,5,0,5.0,17.5,2025-04-30
tps,5,0,5.0,17.5,2025-04-30
hồi,5,0,5.0,17.5,2025-04-30
đại_diện,5,0,5.0,17.5,2025-04-30
thương_mại,5,0,5.0,17.5,2025-04-30
báo_cáo tài_chính,5,0,5.0,17.5,2025-04-30
cuối i2025,5,0,5.0,17.5,2025-04-30
chứng_khoán tổng_công_ty,5,0,5.0,17.5,2025-04-30
nghị_quyết,5,0,5.0,17.5,2025-04-30
điện,5,0,5.0,17.5,2025-04-30
phát_hành trái_phiếu,5,0,5.0,17.5,2025-04-30
vay thu,5,0,5.0,17.5,2025-04-30
lãi vay,5,0,5.0,17.5,2025-04-30
hoàng,5,0,5.0,17.5,2025-04-30
báo_cáo tình_hình,5,0,5.0,17.5,2025-04-30
đảm_bảo,12,7,0.71,16.29,2025-04-30
mức,22,47,-0.53,16.15,2025-04-30
kinh_doanh,14,11,0.27,15.91,2025-04-30
một_số,14,11,0.27,15.91,2025-04-30
lãnh_đạo,7,2,2.5,15.75,2025-04-30
điều_lệ,7,2,2.5,15.75,2025-04-30
ghi_nhận,15,14,0.07,15.54,2025-04-30
sàn,14,12,0.17,15.17,2025-04-30
công_tác,5,1,4.0,15.0,2025-04-30
gốc,5,1,4.0,15.0,2025-04-30
ký tổ_chức,5,1,4.0,15.0,2025-04-30
lưu ký tổ_chức,5,1,4.0,15.0,2025-04-30
552025,5,1,4.0,15.0,2025-04-30
cổ_đông về,5,1,4.0,15.0,2025-04-30
sáp_nhập,5,1,4.0,15.0,2025-04-30
phần_lớn,5,1,4.0,15.0,2025-04-30
thế_giới,5,1,4.0,15.0,2025-04-30
nhẹ,5,1,4.0,15.0,2025-04-30
sắp_xếp,5,1,4.0,15.0,2025-04-30
nỗ_lực,5,1,4.0,15.0,2025-04-30
cổ_đông thường_niên 2025,5,1,4.0,15.0,2025-04-30
cổ_phần,13,10,0.3,14.95,2025-04-30
nhóm,17,23,-0.26,14.78,2025-04-30
đặt,8,3,1.67,14.67,2025-04-30
chiếm,8,3,1.67,14.67,2025-04-30
ban,8,3,1.67,14.67,2025-04-30
danh_sách,8,3,1.67,14.67,2025-04-30
thanh,9,4,1.25,14.62,2025-04-30
thanh khoản,9,4,1.25,14.62,2025-04-30
vndirect,9,4,1.25,14.62,2025-04-30
vay,17,24,-0.29,14.52,2025-04-30
kỳ,18,30,-0.4,14.4,2025-04-30
thanh_toán,18,31,-0.42,14.23,2025-04-30
2024,15,17,-0.12,14.12,2025-04-30
sơn,4,0,5.0,14.0,2025-04-30
tập_đoàn,4,0,5.0,14.0,2025-04-30
land,4,0,5.0,14.0,2025-04-30
cổ_phiếu niêm_yết,4,0,5.0,14.0,2025-04-30
ctcp đầu_tư,4,0,5.0,14.0,2025-04-30
300,4,0,5.0,14.0,2025-04-30
đề_nghị,4,0,5.0,14.0,2025-04-30
tiền thu,4,0,5.0,14.0,2025-04-30
tỷ_trọng đóng_góp,4,0,5.0,14.0,2025-04-30
thống_kê,4,0,5.0,14.0,2025-04-30
hội_đồng_quản_trị,4,0,5.0,14.0,2025-04-30
bị,14,14,0.0,14.0,2025-04-30
vận_hành hệ_thống,4,0,5.0,14.0,2025-04-30
bảo_lãnh,4,0,5.0,14.0,2025-04-30
mẫu,4,0,5.0,14.0,2025-04-30
tình_hình thị_trường,4,0,5.0,14.0,2025-04-30
cuộc họp đại_hội_đồng,4,0,5.0,14.0,2025-04-30
khu đô_thị,4,0,5.0,14.0,2025-04-30
luật,4,0,5.0,14.0,2025-04-30
hàng_đầu,4,0,5.0,14.0,2025-04-30
họp đại_hội_đồng,4,0,5.0,14.0,2025-04-30
doanh_nghiệp nhà_nước,4,0,5.0,14.0,2025-04-30
họp đại_hội_đồng cổ_đông,4,0,5.0,14.0,2025-04-30
thiếu_vắng,4,0,5.0,14.0,2025-04-30
thị_trường việt,4,0,5.0,14.0,2025-04-30
đô_thị,4,0,5.0,14.0,2025-04-30
thông_tin về,4,0,5.0,14.0,2025-04-30
dư_nợ margin,4,0,5.0,14.0,2025-04-30
phạm,4,0,5.0,14.0,2025-04-30
chấp_thuận,4,0,5.0,14.0,2025-04-30
chứng_khoán tổng_công_ty lưu,4,0,5.0,14.0,2025-04-30
công_ty kế_hoạch,4,0,5.0,14.0,2025-04-30
biến,4,0,5.0,14.0,2025-04-30
phê_duyệt,4,0,5.0,14.0,2025-04-30
nghĩa_vụ,4,0,5.0,14.0,2025-04-30
cuộc,4,0,5.0,14.0,2025-04-30
riêng_lẻ,4,0,5.0,14.0,2025-04-30
giải_pháp,4,0,5.0,14.0,2025-04-30
cuộc họp,4,0,5.0,14.0,2025-04-30
tiếp_tục triển_khai,4,0,5.0,14.0,2025-04-30
tiền,15,18,-0.17,13.75,2025-04-30
doanh_thu,15,21,-0.29,12.86,2025-04-30
thông_tư,14,17,-0.18,12.76,2025-04-30
hiện,9,5,0.8,12.6,2025-04-30
biến_động,9,5,0.8,12.6,2025-04-30
đóng_góp,11,9,0.22,12.22,2025-04-30
ngân_hàng,11,9,0.22,12.22,2025-04-30
hệ_thống,17,39,-0.56,12.21,2025-04-30
phiên giao_dịch,10,7,0.43,12.14,2025-04-30
thêm,10,7,0.43,12.14,2025-04-30
sử_dụng,13,15,-0.13,12.13,2025-04-30
bcm,6,2,2.0,12.0,2025-04-30
kỳ năm_ngoái,6,2,2.0,12.0,2025-04-30
đáng_kể,6,2,2.0,12.0,2025-04-30
vận_hành,8,4,1.0,12.0,2025-04-30
đại_hội_đồng,6,2,2.0,12.0,2025-04-30
tăng trần,6,2,2.0,12.0,2025-04-30
25,6,2,2.0,12.0,2025-04-30
đại_hội_đồng cổ_đông,6,2,2.0,12.0,2025-04-30
cung_cấp,6,2,2.0,12.0,2025-04-30
năm_ngoái,6,2,2.0,12.0,2025-04-30
hoặc,7,3,1.33,11.67,2025-04-30
cá_nhân,7,3,1.33,11.67,2025-04-30
trả,7,3,1.33,11.67,2025-04-30
ròng,14,22,-0.36,11.45,2025-04-30
tuy_nhiên,10,8,0.25,11.25,2025-04-30
đánh_giá,10,8,0.25,11.25,2025-04-30
nhà,10,8,0.25,11.25,2025-04-30
giúp,11,11,0.0,11.0,2025-04-30
vnindex,14,25,-0.44,10.92,2025-04-30
quỹ,15,33,-0.55,10.91,2025-04-30
sở_hữu,10,9,0.11,10.56,2025-04-30
hà,3,0,5.0,10.5,2025-04-30
mã trái_phiếu,3,0,5.0,10.5,2025-04-30
ủy_ban chứng_khoán_nhà_nước,3,0,5.0,10.5,2025-04-30
tổng_thống,3,0,5.0,10.5,2025-04-30
tăng 39,3,0,5.0,10.5,2025-04-30
tích_luỹ,3,0,5.0,10.5,2025-04-30
ngàn,3,0,5.0,10.5,2025-04-30
khởi_điểm,3,0,5.0,10.5,2025-04-30
tên,3,0,5.0,10.5,2025-04-30
nhanh,3,0,5.0,10.5,2025-04-30
71,3,0,5.0,10.5,2025-04-30
thị_trường biến_động,3,0,5.0,10.5,2025-04-30
20 so,3,0,5.0,10.5,2025-04-30
gia_hạn,3,0,5.0,10.5,2025-04-30
thế,3,0,5.0,10.5,2025-04-30
tăng nhẹ,3,0,5.0,10.5,2025-04-30
hỏi cổ_đông,3,0,5.0,10.5,2025-04-30
câu hỏi cổ_đông,3,0,5.0,10.5,2025-04-30
đưa quyết_định,3,0,5.0,10.5,2025-04-30
cổ_phiếu tương_đương,3,0,5.0,10.5,2025-04-30
thủ_tướng,3,0,5.0,10.5,2025-04-30
dự_án khu đô_thị,3,0,5.0,10.5,2025-04-30
âm,3,0,5.0,10.5,2025-04-30
elite,3,0,5.0,10.5,2025-04-30
tài_sản đảm_bảo,3,0,5.0,10.5,2025-04-30
chào riêng_lẻ,3,0,5.0,10.5,2025-04-30
ghi,3,0,5.0,10.5,2025-04-30
320,3,0,5.0,10.5,2025-04-30
308,3,0,5.0,10.5,2025-04-30
313,3,0,5.0,10.5,2025-04-30
pyn elite,3,0,5.0,10.5,2025-04-30
sử_dụng tiền,3,0,5.0,10.5,2025-04-30
sử_dụng tiền thu,3,0,5.0,10.5,2025-04-30
phương_án phát_hành,3,0,5.0,10.5,2025-04-30
group,3,0,5.0,10.5,2025-04-30
sự hỗ_trợ,3,0,5.0,10.5,2025-04-30
phần thảo_luận,3,0,5.0,10.5,2025-04-30
hồi đầu,3,0,5.0,10.5,2025-04-30
cơ_quan nhà_nước,3,0,5.0,10.5,2025-04-30
hàng_đầu thế_giới,3,0,5.0,10.5,2025-04-30
pyn,3,0,5.0,10.5,2025-04-30
tiếp_cận,3,0,5.0,10.5,2025-04-30
chuyên_nghiệp,3,0,5.0,10.5,2025-04-30
đáng,3,0,5.0,10.5,2025-04-30
nhiệm,3,0,5.0,10.5,2025-04-30
thay_thế,3,0,5.0,10.5,2025-04-30
mở tài_khoản lưu,3,0,5.0,10.5,2025-04-30
thành_viên thị_trường,3,0,5.0,10.5,2025-04-30
cổ_phiếu lưu_hành,3,0,5.0,10.5,2025-04-30
giao_dịch diễn,3,0,5.0,10.5,2025-04-30
quyết_định đầu_tư,3,0,5.0,10.5,2025-04-30
lê,3,0,5.0,10.5,2025-04-30
chiếm ưu_thế,3,0,5.0,10.5,2025-04-30
ảnh_hưởng tới,3,0,5.0,10.5,2025-04-30
công_nghiệp,3,0,5.0,10.5,2025-04-30
công_ty_con,3,0,5.0,10.5,2025-04-30
sàn giao_dịch,3,0,5.0,10.5,2025-04-30
39,3,0,5.0,10.5,2025-04-30
địa_phương,3,0,5.0,10.5,2025-04-30
kể 552025,3,0,5.0,10.5,2025-04-30
nhựa,3,0,5.0,10.5,2025-04-30
vận_hành hệ_thống công_nghệ_thông_tin,3,0,5.0,10.5,2025-04-30
đưa vận_hành hệ_thống,3,0,5.0,10.5,2025-04-30
phương_án tăng,3,0,5.0,10.5,2025-04-30
khoản nợ,3,0,5.0,10.5,2025-04-30
sắc đỏ,3,0,5.0,10.5,2025-04-30
công_cụ,3,0,5.0,10.5,2025-04-30
đầu_tư cổ_phiếu,3,0,5.0,10.5,2025-04-30
đưa vận_hành,3,0,5.0,10.5,2025-04-30
về vấn_đề,3,0,5.0,10.5,2025-04-30
kinh_doanh 2025,3,0,5.0,10.5,2025-04-30
thảo_luận,3,0,5.0,10.5,2025-04-30
nghiên_cứu,3,0,5.0,10.5,2025-04-30
đợt ipo,3,0,5.0,10.5,2025-04-30
mảng hoạt_động,3,0,5.0,10.5,2025-04-30
phân_tích dữ_liệu,3,0,5.0,10.5,2025-04-30
triển_khai dự_án,3,0,5.0,10.5,2025-04-30
dnse,3,0,5.0,10.5,2025-04-30
tư_cách,3,0,5.0,10.5,2025-04-30
244,3,0,5.0,10.5,2025-04-30
hành_chính,3,0,5.0,10.5,2025-04-30
nắm,3,0,5.0,10.5,2025-04-30
tiến_độ,3,0,5.0,10.5,2025-04-30
vừa_qua,3,0,5.0,10.5,2025-04-30
nghị_định,3,0,5.0,10.5,2025-04-30
pháp_luật,3,0,5.0,10.5,2025-04-30
kế_hoạch đề,3,0,5.0,10.5,2025-04-30
131,3,0,5.0,10.5,2025-04-30
quy_chế hoạt_động,3,0,5.0,10.5,2025-04-30
giá_bán,3,0,5.0,10.5,2025-04-30
tăng điều_lệ,3,0,5.0,10.5,2025-04-30
công_văn,3,0,5.0,10.5,2025-04-30
mạnh,14,28,-0.5,10.5,2025-04-30
riverside,3,0,5.0,10.5,2025-04-30
thông_qua phương_án,3,0,5.0,10.5,2025-04-30
tổng lợi_nhuận,3,0,5.0,10.5,2025-04-30
đỏ,3,0,5.0,10.5,2025-04-30
tài_nguyên,3,0,5.0,10.5,2025-04-30
2022,3,0,5.0,10.5,2025-04-30
sở,3,0,5.0,10.5,2025-04-30
thua_lỗ,3,0,5.0,10.5,2025-04-30
kế_hoạch 2025,3,0,5.0,10.5,2025-04-30
đại_lý,3,0,5.0,10.5,2025-04-30
bầu,4,1,3.0,10.0,2025-04-30
ctcp chứng_khoán,4,1,3.0,10.0,2025-04-30
lợi_nhuận i2025,4,1,3.0,10.0,2025-04-30
kiểm_tra,4,1,3.0,10.0,2025-04-30
thành_công,4,1,3.0,10.0,2025-04-30
thu về,4,1,3.0,10.0,2025-04-30
tối_đa,4,1,3.0,10.0,2025-04-30
dữ_liệu,4,1,3.0,10.0,2025-04-30
doanh_thu hoạt_động,4,1,3.0,10.0,2025-04-30
phú,4,1,3.0,10.0,2025-04-30
họp,4,1,3.0,10.0,2025-04-30
tăng_trưởng lợi_nhuận,4,1,3.0,10.0,2025-04-30
sắc,4,1,3.0,10.0,2025-04-30
liên_tiếp,4,1,3.0,10.0,2025-04-30
vai_trò,4,1,3.0,10.0,2025-04-30
tối_ưu,4,1,3.0,10.0,2025-04-30
so kỳ năm_ngoái,4,1,3.0,10.0,2025-04-30
tháo_gỡ khó_khăn,4,1,3.0,10.0,2025-04-30
bảo_đảm,4,1,3.0,10.0,2025-04-30
tiên_tiến,4,1,3.0,10.0,2025-04-30
gần,12,19,-0.37,9.79,2025-04-30
dòng,7,4,0.75,9.62,2025-04-30
khối,7,4,0.75,9.62,2025-04-30
mỹ,8,6,0.33,9.33,2025-04-30
nghiệp_vụ,8,6,0.33,9.33,2025-04-30
đại_hội,6,3,1.0,9.0,2025-04-30
nhận,6,3,1.0,9.0,2025-04-30
yếu_tố,6,3,1.0,9.0,2025-04-30
16,6,3,1.0,9.0,2025-04-30
kết_thúc,6,3,1.0,9.0,2025-04-30
thị_trường_chứng_khoán,10,13,-0.23,8.85,2025-04-30
thời_hạn,5,2,1.5,8.75,2025-04-30
khu_công_nghiệp,5,2,1.5,8.75,2025-04-30
cơ_quan,5,2,1.5,8.75,2025-04-30
thường_niên 2025,5,2,1.5,8.75,2025-04-30
by,5,2,1.5,8.75,2025-04-30
năng_lượng,5,2,1.5,8.75,2025-04-30
quan_trọng,5,2,1.5,8.75,2025-04-30
trở_thành,5,2,1.5,8.75,2025-04-30
vingroup,5,2,1.5,8.75,2025-04-30
đại_hội_đồng cổ_đông thường_niên,5,2,1.5,8.75,2025-04-30
chính_phủ,5,2,1.5,8.75,2025-04-30
mục_tiêu,9,10,-0.1,8.55,2025-04-30
có_thể,9,10,-0.1,8.55,2025-04-30
nay,9,10,-0.1,8.55,2025-04-30
cả,7,5,0.4,8.4,2025-04-30
bất_động_sản,7,5,0.4,8.4,2025-04-30
vừa,7,5,0.4,8.4,2025-04-30
hồ_sơ,7,5,0.4,8.4,2025-04-30
yêu_cầu,7,5,0.4,8.4,2025-04-30
so kỳ,11,22,-0.5,8.25,2025-04-30
khách_hàng,9,11,-0.18,8.18,2025-04-30
hỗ_trợ,9,11,-0.18,8.18,2025-04-30
phù_hợp,9,11,-0.18,8.18,2025-04-30
tính,8,8,0.0,8.0,2025-04-30
chủ_yếu,8,8,0.0,8.0,2025-04-30
sửa_đổi bổ_sung,7,6,0.17,7.58,2025-04-30
đối_ứng,7,6,0.17,7.58,2025-04-30
ttbtc,8,9,-0.11,7.56,2025-04-30
tính_năng,8,9,-0.11,7.56,2025-04-30
hoàn_thành,6,4,0.5,7.5,2025-04-30
nhanh_chóng,6,4,0.5,7.5,2025-04-30
thông_báo,6,4,0.5,7.5,2025-04-30
tạo,6,4,0.5,7.5,2025-04-30
lĩnh_vực,6,4,0.5,7.5,2025-04-30
kể,6,4,0.5,7.5,2025-04-30
tích_cực,9,14,-0.36,7.39,2025-04-30
cuối,9,16,-0.44,7.03,2025-04-30
thuế_quan,7,7,0.0,7.0,2025-04-30
tài_khoản,8,11,-0.27,6.91,2025-04-30
kết_quả,8,11,-0.27,6.91,2025-04-30
rủi_ro,5,3,0.67,6.67,2025-04-30
hướng,5,3,0.67,6.67,2025-04-30
nhà_đầu_tư nước_ngoài,5,3,0.67,6.67,2025-04-30
tphcm,5,3,0.67,6.67,2025-04-30
nhóm cổ_phiếu,5,3,0.67,6.67,2025-04-30
cổ_đông thường_niên,5,3,0.67,6.67,2025-04-30
ngược_lại,6,5,0.2,6.6,2025-04-30
