keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
vay,24,1,23.0,300.0,2025-04-23
krx,26,2,12.0,182.0,2025-04-23
ký,31,3,9.33,175.67,2025-04-23
lưu ký,23,2,10.5,143.75,2025-04-23
lưu,23,2,10.5,143.75,2025-04-23
hệ_thống,38,6,5.33,139.33,2025-04-23
so kỳ,16,1,15.0,136.0,2025-04-23
kỳ,22,2,10.0,132.0,2025-04-23
chỉ_số,31,6,4.17,95.58,2025-04-23
cổ_phiếu,75,55,0.36,88.64,2025-04-23
bsc,24,0,5.0,84.0,2025-04-23
chứng_khoán,58,33,0.76,79.97,2025-04-23
thanh_toán,31,8,2.88,75.56,2025-04-23
hệ_thống krx,21,0,5.0,73.5,2025-04-23
etf,21,0,5.0,73.5,2025-04-23
bù_trừ,11,1,10.0,66.0,2025-04-23
kịch_bản,11,1,10.0,66.0,2025-04-23
quỹ,31,11,1.82,59.18,2025-04-23
thông_tư,17,3,4.67,56.67,2025-04-23
so,38,20,0.9,55.1,2025-04-23
sửa_đổi,10,1,9.0,55.0,2025-04-23
tăng,59,72,-0.18,53.67,2025-04-23
giảm,51,47,0.09,53.17,2025-04-23
hiện_tại,16,3,4.33,50.67,2025-04-23
thành_viên,23,7,2.29,49.29,2025-04-23
mức,39,29,0.34,45.72,2025-04-23
tcbs,13,0,5.0,45.5,2025-04-23
dự_thảo,12,0,5.0,42.0,2025-04-23
đăng_ký,12,0,5.0,42.0,2025-04-23
giao_dịch,43,47,-0.09,41.17,2025-04-23
fpt,14,3,3.67,39.67,2025-04-23
23,8,1,7.0,36.0,2025-04-23
bidv,8,1,7.0,36.0,2025-04-23
công_ty,33,28,0.18,35.95,2025-04-23
tài_khoản,11,2,4.5,35.75,2025-04-23
thị_trường,43,68,-0.37,35.1,2025-04-23
đạt,30,23,0.3,34.57,2025-04-23
điểm,36,42,-0.14,33.43,2025-04-23
quy_định,19,8,1.38,32.06,2025-04-23
đầu,25,16,0.56,32.03,2025-04-23
hoạt_động,27,20,0.35,31.72,2025-04-23
tính_năng,9,0,5.0,31.5,2025-04-23
phiên,34,43,-0.21,30.44,2025-04-23
i2025,10,2,4.0,30.0,2025-04-23
vnindex,25,18,0.39,29.86,2025-04-23
giá_trị,18,8,1.25,29.25,2025-04-23
quyền,7,1,6.0,28.0,2025-04-23
điều_chỉnh,7,1,6.0,28.0,2025-04-23
ký quỹ,7,1,6.0,28.0,2025-04-23
mạnh,25,25,0.0,25.0,2025-04-23
về,31,51,-0.39,24.92,2025-04-23
đà,9,2,3.5,24.75,2025-04-23
nâng,19,12,0.58,24.54,2025-04-23
chứng_khoán bidv,7,0,5.0,24.5,2025-04-23
trường_hợp,7,0,5.0,24.5,2025-04-23
diamond,7,0,5.0,24.5,2025-04-23
phát_sinh,7,0,5.0,24.5,2025-04-23
cuối,13,5,1.6,23.4,2025-04-23
ròng,22,20,0.1,23.1,2025-04-23
nhà_đầu_tư,25,31,-0.19,22.58,2025-04-23
chỉ_số vn30,6,0,5.0,21.0,2025-04-23
nghiệp_vụ,6,1,5.0,21.0,2025-04-23
hạng,14,7,1.0,21.0,2025-04-23
khả_năng,6,1,5.0,21.0,2025-04-23
nâng hạng,14,7,1.0,21.0,2025-04-23
sửa_đổi bổ_sung,6,1,5.0,21.0,2025-04-23
tài_sản,6,0,5.0,21.0,2025-04-23
đối_ứng,6,1,5.0,21.0,2025-04-23
vay ký quỹ,6,0,5.0,21.0,2025-04-23
vay ký,6,0,5.0,21.0,2025-04-23
thành_lập,6,1,5.0,21.0,2025-04-23
áp_dụng,6,1,5.0,21.0,2025-04-23
thiếu tiền,6,0,5.0,21.0,2025-04-23
nhận_diện,6,0,5.0,21.0,2025-04-23
dự_báo,14,7,1.0,21.0,2025-04-23
tiền,18,15,0.2,19.8,2025-04-23
việt,26,53,-0.51,19.38,2025-04-23
mã,21,28,-0.25,18.38,2025-04-23
ttbtc,9,3,2.0,18.0,2025-04-23
mwg,9,3,2.0,18.0,2025-04-23
công_ty chứng_khoán,12,6,1.0,18.0,2025-04-23
thanh_toán giao_dịch,5,0,5.0,17.5,2025-04-23
tổng giá_trị,5,0,5.0,17.5,2025-04-23
một_số cổ_phiếu,5,0,5.0,17.5,2025-04-23
hồ_sơ,5,0,5.0,17.5,2025-04-23
cổ_phiếu ngành,5,0,5.0,17.5,2025-04-23
loại,5,0,5.0,17.5,2025-04-23
quỹ etf,5,0,5.0,17.5,2025-04-23
một_số,10,4,1.5,17.5,2025-04-23
giúp thị_trường,5,0,5.0,17.5,2025-04-23
tổng giá_trị tài_sản,5,0,5.0,17.5,2025-04-23
giá_trị tài_sản,5,0,5.0,17.5,2025-04-23
mất,5,0,5.0,17.5,2025-04-23
ký bù_trừ,5,0,5.0,17.5,2025-04-23
bù_trừ thanh_toán,5,0,5.0,17.5,2025-04-23
lưu ký bù_trừ,5,0,5.0,17.5,2025-04-23
bị,13,8,0.62,17.06,2025-04-23
gần,17,17,0.0,17.0,2025-04-23
2025,22,41,-0.46,16.9,2025-04-23
nhóm,20,29,-0.31,16.9,2025-04-23
sử_dụng,14,10,0.4,16.8,2025-04-23
danh_mục,7,2,2.5,15.75,2025-04-23
tỷ_trọng,7,2,2.5,15.75,2025-04-23
thiếu,7,2,2.5,15.75,2025-04-23
40,7,2,2.5,15.75,2025-04-23
bổ_sung,10,5,1.0,15.0,2025-04-23
chứng_khoán việt,5,1,4.0,15.0,2025-04-23
chịu,5,1,4.0,15.0,2025-04-23
