keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
vận_hành,30,2,14.0,240.0,2025-05-14
krx,27,2,12.5,195.75,2025-05-14
cổ_phiếu,86,25,2.44,190.92,2025-05-14
giao_thông,19,1,18.0,190.0,2025-05-14
sự_nghiệp,17,1,16.0,153.0,2025-05-14
giao_dịch,94,42,1.24,152.19,2025-05-14
hệ_thống,67,19,2.53,151.63,2025-05-14
chính_sách,22,2,10.0,132.0,2025-05-14
thị_trường,65,35,0.86,92.86,2025-05-14
ctcp,22,3,6.33,91.67,2025-05-14
diễn,13,1,12.0,91.0,2025-05-14
tăng,79,64,0.23,88.26,2025-05-14
giá_trị,63,35,0.8,88.2,2025-05-14
ưu_đãi,24,0,5.0,84.0,2025-05-14
mạnh,43,16,1.69,79.28,2025-05-14
phiên,52,26,1.0,78.0,2025-05-14
thông_minh,12,1,11.0,78.0,2025-05-14
đàm_phán,12,1,11.0,78.0,2025-05-14
trừ,12,1,11.0,78.0,2025-05-14
ròng,35,11,2.18,73.18,2025-05-14
đơn_vị,16,2,7.0,72.0,2025-05-14
công_nghệ,29,8,2.62,67.06,2025-05-14
mỹ,11,1,10.0,66.0,2025-05-14
lệnh,11,1,10.0,66.0,2025-05-14
chứng_khoán,59,48,0.23,65.76,2025-05-14
thu_nhập,31,10,2.1,63.55,2025-05-14
ngoại,18,3,5.0,63.0,2025-05-14
khoản,34,13,1.62,61.46,2025-05-14
công_ty,64,75,-0.15,59.31,2025-05-14
khối_lượng,17,3,4.67,56.67,2025-05-14
giảm,51,42,0.21,56.46,2025-05-14
shs,16,0,5.0,56.0,2025-05-14
công,14,2,6.0,56.0,2025-05-14
điểm,39,21,0.86,55.71,2025-05-14
thanh khoản thị_trường,10,1,9.0,55.0,2025-05-14
khoản thị_trường,10,1,9.0,55.0,2025-05-14
hệ_thống giao_dịch,10,1,9.0,55.0,2025-05-14
xử_lý,10,1,9.0,55.0,2025-05-14
giao_dịch bình_quân,10,1,9.0,55.0,2025-05-14
thanh khoản,19,4,3.75,54.62,2025-05-14
hỗ_trợ,19,4,3.75,54.62,2025-05-14
tài_khoản,22,6,2.67,51.33,2025-05-14
42025,16,3,4.33,50.67,2025-05-14
thanh,20,5,3.0,50.0,2025-05-14
nghị_quyết,14,0,5.0,49.0,2025-05-14
doanh_nghiệp,51,60,-0.15,47.18,2025-05-14
hoàn,13,0,5.0,45.5,2025-05-14
thuế_quan,9,1,8.0,45.0,2025-05-14
tiên_phong,9,1,8.0,45.0,2025-05-14
đạt,39,30,0.3,44.85,2025-05-14
dịch_vụ,36,25,0.44,43.92,2025-05-14
bộ_trưởng,20,6,2.33,43.33,2025-05-14
nhà_đầu_tư,34,23,0.48,42.13,2025-05-14
tính,21,7,2.0,42.0,2025-05-14
vùng,18,5,2.6,41.4,2025-05-14
tích_cực,23,9,1.56,40.89,2025-05-14
vnindex,24,10,1.4,40.8,2025-05-14
giá_trị gia_tăng,16,4,3.0,40.0,2025-05-14
đóng,14,3,3.67,39.67,2025-05-14
khối ngoại,14,3,3.67,39.67,2025-05-14
tâm_lý,14,3,3.67,39.67,2025-05-14
gói thầu,11,0,5.0,38.5,2025-05-14
kỳ_vọng,11,0,5.0,38.5,2025-05-14
gói,11,0,5.0,38.5,2025-05-14
thầu,11,0,5.0,38.5,2025-05-14
đảm_bảo,23,10,1.3,37.95,2025-05-14
khối_lượng giao_dịch,8,1,7.0,36.0,2025-05-14
đợt phát_hành,8,1,7.0,36.0,2025-05-14
