keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
nước,31,4,6.75,135.62,2025-04-12
tài_khoản,21,2,9.5,120.75,2025-04-12
vn30,15,1,14.0,120.0,2025-04-12
thị_trường,100,87,0.15,107.47,2025-04-12
ttck,14,1,13.0,105.0,2025-04-12
việt,84,57,0.47,103.89,2025-04-12
giao_dịch,71,42,0.69,95.51,2025-04-12
tăng_trưởng,55,25,1.2,88.0,2025-04-12
tăng,77,79,-0.03,76.03,2025-04-12
mở,16,2,7.0,72.0,2025-04-12
ủy_ban,11,1,10.0,66.0,2025-04-12
bình_quân,11,1,10.0,66.0,2025-04-12
nước_ngoài,33,11,2.0,66.0,2025-04-12
đặt,18,3,5.0,63.0,2025-04-12
mức,56,55,0.02,56.51,2025-04-12
chứng_khoán,46,32,0.44,56.06,2025-04-12
russell,10,1,9.0,55.0,2025-04-12
ftse russell,10,1,9.0,55.0,2025-04-12
nền,20,5,3.0,50.0,2025-04-12
nhóm,40,27,0.48,49.63,2025-04-12
ftse,13,2,5.5,48.75,2025-04-12
nhà_đầu_tư,44,38,0.16,47.47,2025-04-12
nhà_đầu_tư nước_ngoài,19,5,2.8,45.6,2025-04-12
ủy_ban chứng_khoán nhà_nước,9,1,8.0,45.0,2025-04-12
ủy_ban chứng_khoán,9,1,8.0,45.0,2025-04-12
dự_báo,15,3,4.0,45.0,2025-04-12
lợi_nhuận,32,18,0.78,44.44,2025-04-12
hội_nghị,12,0,5.0,42.0,2025-04-12
kinh_tế,28,14,1.0,42.0,2025-04-12
nền kinh_tế,14,3,3.67,39.67,2025-04-12
về,43,51,-0.16,39.63,2025-04-12
giảm,47,70,-0.33,39.28,2025-04-12
điểm,42,49,-0.14,39.0,2025-04-12
bất_động_sản,25,12,1.08,38.54,2025-04-12
mục_tiêu,24,11,1.18,38.18,2025-04-12
2025,38,38,0.0,38.0,2025-04-12
tổ_chức,29,18,0.61,37.86,2025-04-12
tài_chính,36,33,0.09,37.64,2025-04-12
cơ_quan quản_lý,8,1,7.0,36.0,2025-04-12
theo_dõi,8,1,7.0,36.0,2025-04-12
hoãn,11,2,4.5,35.75,2025-04-12
bán_lẻ,11,2,4.5,35.75,2025-04-12
trần,13,3,3.33,34.67,2025-04-12
thế_giới,13,3,3.33,34.67,2025-04-12
mỹ,33,30,0.1,34.65,2025-04-12
ngân_hàng,27,20,0.35,31.72,2025-04-12
gas,9,0,5.0,31.5,2025-04-12
phiên,34,43,-0.21,30.44,2025-04-12
so,34,43,-0.21,30.44,2025-04-12
lệnh,12,3,3.0,30.0,2025-04-12
bộ,25,18,0.39,29.86,2025-04-12
giá_trị giao_dịch,16,6,1.67,29.33,2025-04-12
triển_khai,17,7,1.43,29.14,2025-04-12
ngành,27,24,0.12,28.69,2025-04-12
đối_với,23,16,0.44,28.03,2025-04-12
mbs,8,0,5.0,28.0,2025-04-12
kịch,7,1,6.0,28.0,2025-04-12
tổ_chức nước_ngoài,7,1,6.0,28.0,2025-04-12
tăng_trưởng lợi_nhuận,7,1,6.0,28.0,2025-04-12
nhóm vn30,7,1,6.0,28.0,2025-04-12
tiếp_cận,7,1,6.0,28.0,2025-04-12
mục_tiêu tăng_trưởng,7,1,6.0,28.0,2025-04-12
nhà_đầu_tư tổ_chức,7,1,6.0,28.0,2025-04-12
vincom,7,1,6.0,28.0,2025-04-12
giao_dịch bình_quân,8,0,5.0,28.0,2025-04-12
đạt,32,47,-0.32,26.89,2025-04-12
đầu_tư,31,44,-0.3,26.42,2025-04-12
thị_trường_chứng_khoán,26,26,0.0,26.0,2025-04-12
thông_tin,22,17,0.29,25.24,2025-04-12
cổ_phiếu,35,82,-0.57,24.97,2025-04-12
trực_tiếp,9,2,3.5,24.75,2025-04-12
chứng_khoán nhà_nước,9,2,3.5,24.75,2025-04-12
ttck việt,7,0,5.0,24.5,2025-04-12
hiếu,7,0,5.0,24.5,2025-04-12
tài_khoản chứng_khoán,7,0,5.0,24.5,2025-04-12
tiếp_tục,25,28,-0.11,23.66,2025-04-12
sự,23,22,0.05,23.52,2025-04-12
bộ tài_chính,19,13,0.46,23.38,2025-04-12
quốc_tế,14,6,1.33,23.33,2025-04-12
tích_cực,22,20,0.1,23.1,2025-04-12
có_thể,27,38,-0.29,23.09,2025-04-12
mã,22,23,-0.04,21.52,2025-04-12
ròng,21,20,0.05,21.52,2025-04-12
nhà_đầu_tư nước,6,0,5.0,21.0,2025-04-12
nhà_đầu_tư tổ_chức nước_ngoài,6,0,5.0,21.0,2025-04-12
kinh_tế việt,6,0,5.0,21.0,2025-04-12
cơ_chế,6,1,5.0,21.0,2025-04-12
đối_thoại,6,1,5.0,21.0,2025-04-12
lộ_trình,6,1,5.0,21.0,2025-04-12
tăng trần,6,1,5.0,21.0,2025-04-12
trung_quốc,6,1,5.0,21.0,2025-04-12
giá_trị,23,29,-0.21,20.62,2025-04-12
triển_vọng,11,4,1.75,20.62,2025-04-12
hoạt_động,19,17,0.12,20.12,2025-04-12
đầu,23,31,-0.26,20.03,2025-04-12
doanh_nghiệp,27,56,-0.52,20.01,2025-04-12
xếp_hạng,8,2,3.0,20.0,2025-04-12
yếu_tố,14,8,0.75,19.25,2025-04-12
chính_phủ,18,16,0.12,19.12,2025-04-12
kế_hoạch,19,19,0.0,19.0,2025-04-12
gần,21,28,-0.25,18.38,2025-04-12
nhập_khẩu,9,3,2.0,18.0,2025-04-12
tiêu_chí,9,3,2.0,18.0,2025-04-12
mạnh_mẽ,9,3,2.0,18.0,2025-04-12
90,9,3,2.0,18.0,2025-04-12
bên,14,9,0.56,17.89,2025-04-12
kỳ_vọng,15,11,0.36,17.73,2025-04-12
nhóm ngành,11,5,1.2,17.6,2025-04-12
chính_sách,18,19,-0.05,17.53,2025-04-12
mô_hình,5,0,5.0,17.5,2025-04-12
thị_trường bất_động_sản,5,0,5.0,17.5,2025-04-12
thủy_sản,5,0,5.0,17.5,2025-04-12
hạ,5,0,5.0,17.5,2025-04-12
tài_sản,10,4,1.5,17.5,2025-04-12
phục_hồi,10,4,1.5,17.5,2025-04-12
acb,5,0,5.0,17.5,2025-04-12
truth,5,0,5.0,17.5,2025-04-12
tài_chính ủy_ban,5,0,5.0,17.5,2025-04-12
bộ tài_chính ủy_ban,5,0,5.0,17.5,2025-04-12
thí_điểm,5,0,5.0,17.5,2025-04-12
tiếng,5,0,5.0,17.5,2025-04-12
đại_biểu,5,0,5.0,17.5,2025-04-12
giá_trị giao_dịch bình_quân,5,0,5.0,17.5,2025-04-12
tổng giá_trị giao_dịch,5,0,5.0,17.5,2025-04-12
cập_nhật,5,0,5.0,17.5,2025-04-12
nhóm ngân_hàng,5,0,5.0,17.5,2025-04-12
tổng_thống,13,8,0.62,17.06,2025-04-12
nay,17,17,0.0,17.0,2025-04-12
giữa,14,10,0.4,16.8,2025-04-12
vnindex,20,30,-0.33,16.67,2025-04-12
nâng,18,23,-0.22,16.04,2025-04-12
đà,7,2,2.5,15.75,2025-04-12
thị_trường_chứng_khoán việt,11,6,0.83,15.58,2025-04-12
tác_động,16,17,-0.06,15.53,2025-04-12
mạnh,19,32,-0.41,15.14,2025-04-12
tham_gia thị_trường,5,1,4.0,15.0,2025-04-12
thông_báo,5,1,4.0,15.0,2025-04-12
đột_biến,5,1,4.0,15.0,2025-04-12
tỷ_giá,5,1,4.0,15.0,2025-04-12
16,5,1,4.0,15.0,2025-04-12
biên,5,1,4.0,15.0,2025-04-12
trung_tâm,5,1,4.0,15.0,2025-04-12
thông_tin tích_cực,5,1,4.0,15.0,2025-04-12
nhanh_chóng,5,1,4.0,15.0,2025-04-12
đánh_giá,13,10,0.3,14.95,2025-04-12
trump,13,10,0.3,14.95,2025-04-12
32025,8,3,1.67,14.67,2025-04-12
kỷ_lục,8,3,1.67,14.67,2025-04-12
đóng,8,3,1.67,14.67,2025-04-12
cải_thiện,9,4,1.25,14.62,2025-04-12
lần_lượt,9,4,1.25,14.62,2025-04-12
phát_triển,17,25,-0.32,14.28,2025-04-12
thời_gian,16,21,-0.24,14.1,2025-04-12
dig,4,0,5.0,14.0,2025-04-12
tổng_công_ty,4,0,5.0,14.0,2025-04-12
đặt lệnh,4,0,5.0,14.0,2025-04-12
truth social,4,0,5.0,14.0,2025-04-12
đăng,4,0,5.0,14.0,2025-04-12
xếp_hạng tín_nhiệm,4,0,5.0,14.0,2025-04-12
npf,4,0,5.0,14.0,2025-04-12
kịch trần,4,0,5.0,14.0,2025-04-12
danh_sách theo_dõi,4,0,5.0,14.0,2025-04-12
giữa nước,4,0,5.0,14.0,2025-04-12
fii,4,0,5.0,14.0,2025-04-12
giải,4,0,5.0,14.0,2025-04-12
giải chấp,4,0,5.0,14.0,2025-04-12
hoãn áp,4,0,5.0,14.0,2025-04-12
điều_kiện thuận_lợi,4,0,5.0,14.0,2025-04-12
mức tăng,4,0,5.0,14.0,2025-04-12
tạo điều_kiện thuận_lợi,4,0,5.0,14.0,2025-04-12
thành_công,4,0,5.0,14.0,2025-04-12
đồngphiên,4,0,5.0,14.0,2025-04-12
tăng kịch,4,0,5.0,14.0,2025-04-12
châu_á,4,0,5.0,14.0,2025-04-12
so 2024,4,0,5.0,14.0,2025-04-12
cả,12,9,0.33,14.0,2025-04-12
tín_nhiệm,4,0,5.0,14.0,2025-04-12
sự tăng_trưởng,4,0,5.0,14.0,2025-04-12
mối,4,0,5.0,14.0,2025-04-12
tạo điều_kiện,4,0,5.0,14.0,2025-04-12
chấp,4,0,5.0,14.0,2025-04-12
hoãn 90,4,0,5.0,14.0,2025-04-12
social,4,0,5.0,14.0,2025-04-12
thúc_đẩy tăng_trưởng,4,0,5.0,14.0,2025-04-12
độ,4,0,5.0,14.0,2025-04-12
tín_dụng,13,12,0.08,13.54,2025-04-12
đàm_phán,10,6,0.67,13.33,2025-04-12
thúc_đẩy,10,6,0.67,13.33,2025-04-12
kinh_doanh,16,24,-0.33,13.33,2025-04-12
cơ_quan,10,6,0.67,13.33,2025-04-12
đưa,12,10,0.2,13.2,2025-04-12
tiền,16,25,-0.36,13.12,2025-04-12
doanh_thu,11,8,0.38,13.06,2025-04-12
chỉ_số,13,13,0.0,13.0,2025-04-12
hỗ_trợ,14,17,-0.18,12.76,2025-04-12
ngoài_ra,9,5,0.8,12.6,2025-04-12
trái_phiếu chính_phủ,6,2,2.0,12.0,2025-04-12
cá_nhân,8,4,1.0,12.0,2025-04-12
tổng_thống trump,6,2,2.0,12.0,2025-04-12
đại_diện,8,4,1.0,12.0,2025-04-12
cửa,6,2,2.0,12.0,2025-04-12
minh_bạch,6,2,2.0,12.0,2025-04-12
đóng cửa,6,2,2.0,12.0,2025-04-12
nằm,6,2,2.0,12.0,2025-04-12
huy_động,8,4,1.0,12.0,2025-04-12
công,8,4,1.0,12.0,2025-04-12
nổi,7,3,1.33,11.67,2025-04-12
động_lực,7,3,1.33,11.67,2025-04-12
xây_dựng,11,10,0.1,11.55,2025-04-12
quan_trọng,10,8,0.25,11.25,2025-04-12
tham_gia,9,6,0.5,11.25,2025-04-12
thứ_trưởng,9,6,0.5,11.25,2025-04-12
tới,16,40,-0.6,11.2,2025-04-12
phiên giao_dịch,11,11,0.0,11.0,2025-04-12
giai_đoạn,12,15,-0.2,10.8,2025-04-12
tạo,10,9,0.11,10.56,2025-04-12
tổng,10,9,0.11,10.56,2025-04-12
10,10,9,0.11,10.56,2025-04-12
dự_án,13,21,-0.38,10.52,2025-04-12
hợp_tác,3,0,5.0,10.5,2025-04-12
cổ,3,0,5.0,10.5,2025-04-12
giao_dịch bình_quân đạt,3,0,5.0,10.5,2025-04-12
giá_trị giao_dịch toàn_thị_trường,3,0,5.0,10.5,2025-04-12
khối_lượng giao_dịch bình_quân,3,0,5.0,10.5,2025-04-12
hạng,12,16,-0.25,10.5,2025-04-12
mỹ tổng_thống trump,3,0,5.0,10.5,2025-04-12
2026,3,0,5.0,10.5,2025-04-12
động_lực tăng_trưởng,3,0,5.0,10.5,2025-04-12
fdi,3,0,5.0,10.5,2025-04-12
thuộc sở_hữu,3,0,5.0,10.5,2025-04-12
mã chứng_khoán tăng,3,0,5.0,10.5,2025-04-12
tập_đoàn vingroup,3,0,5.0,10.5,2025-04-12
tổ_chức xếp_hạng thị_trường,3,0,5.0,10.5,2025-04-12
chiến_lược đầu_tư,3,0,5.0,10.5,2025-04-12
vinhomes,3,0,5.0,10.5,2025-04-12
tài_chính ủy_ban chứng_khoán,3,0,5.0,10.5,2025-04-12
giao_dịch nhà_đầu_tư,3,0,5.0,10.5,2025-04-12
hồng,3,0,5.0,10.5,2025-04-12
đại_diện tổ_chức,3,0,5.0,10.5,2025-04-12
xếp_hạng thị_trường,3,0,5.0,10.5,2025-04-12
nước quốc_tế,3,0,5.0,10.5,2025-04-12
bình_quân đạt,3,0,5.0,10.5,2025-04-12
kỳ_hạn 10,3,0,5.0,10.5,2025-04-12
đầu ngành,3,0,5.0,10.5,2025-04-12
ngân_hàng thế_giới,3,0,5.0,10.5,2025-04-12
thông_tư 682024,3,0,5.0,10.5,2025-04-12
thông_tư 682024 ttbtc,3,0,5.0,10.5,2025-04-12
ttbtc,3,0,5.0,10.5,2025-04-12
việt quốc_gia,3,0,5.0,10.5,2025-04-12
thành_viên thị_trường,3,0,5.0,10.5,2025-04-12
ngay_lập_tức,3,0,5.0,10.5,2025-04-12
thành_viên,3,0,5.0,10.5,2025-04-12
đều tăng,3,0,5.0,10.5,2025-04-12
tím,3,0,5.0,10.5,2025-04-12
mở_cửa,3,0,5.0,10.5,2025-04-12
phát_triển ttck,3,0,5.0,10.5,2025-04-12
nâng hạng,12,16,-0.25,10.5,2025-04-12
mối quan_hệ,3,0,5.0,10.5,2025-04-12
sắc tím,3,0,5.0,10.5,2025-04-12
tiến,3,0,5.0,10.5,2025-04-12
đặt kế_hoạch,3,0,5.0,10.5,2025-04-12
thực_tiễn,3,0,5.0,10.5,2025-04-12
dư,3,0,5.0,10.5,2025-04-12
tăng kịch trần,3,0,5.0,10.5,2025-04-12
tổ_chức xếp_hạng,3,0,5.0,10.5,2025-04-12
mở tài_khoản,3,0,5.0,10.5,2025-04-12
nhà_băng,3,0,5.0,10.5,2025-04-12
lưu ký,3,0,5.0,10.5,2025-04-12
682024 ttbtc,3,0,5.0,10.5,2025-04-12
682024,3,0,5.0,10.5,2025-04-12
quyết_tâm,3,0,5.0,10.5,2025-04-12
mục_tiêu tăng_trưởng tín_dụng,3,0,5.0,10.5,2025-04-12
mỹ tổng_thống,3,0,5.0,10.5,2025-04-12
lợi_nhuận 2025,3,0,5.0,10.5,2025-04-12
nhà đầu_tư cá_nhân,3,0,5.0,10.5,2025-04-12
đầu_tư cá_nhân,3,0,5.0,10.5,2025-04-12
ấm,3,0,5.0,10.5,2025-04-12
áp nước,3,0,5.0,10.5,2025-04-12
việt thị_trường,3,0,5.0,10.5,2025-04-12
giao_dịch toàn_thị_trường,3,0,5.0,10.5,2025-04-12
cơ_quan quản_lý thị_trường,3,0,5.0,10.5,2025-04-12
doanh_nghiệp niêm_yết,3,0,5.0,10.5,2025-04-12
giao_dịch thành_công,3,0,5.0,10.5,2025-04-12
lệnh chứng_khoán,3,0,5.0,10.5,2025-04-12
quản_lý thị_trường,3,0,5.0,10.5,2025-04-12
giá_trần,3,0,5.0,10.5,2025-04-12
kông,3,0,5.0,10.5,2025-04-12
thương_mại đối_với việt,3,0,5.0,10.5,2025-04-12
giai_đoạn hiện_tại,3,0,5.0,10.5,2025-04-12
nhà_đầu_tư nước_ngoài tiếp_cận,3,0,5.0,10.5,2025-04-12
hoãn áp nước,3,0,5.0,10.5,2025-04-12
nước_ngoài tiếp_cận,3,0,5.0,10.5,2025-04-12
thương_mại đối_với,3,0,5.0,10.5,2025-04-12
bối_cảnh nền,3,0,5.0,10.5,2025-04-12
mã cổ_phiếu,3,0,5.0,10.5,2025-04-12
cung_cấp chỉ_số,3,0,5.0,10.5,2025-04-12
bán_dẫn,3,0,5.0,10.5,2025-04-12
hồng kông,3,0,5.0,10.5,2025-04-12
dễ_dàng,3,0,5.0,10.5,2025-04-12
chứng_khoán nước,3,0,5.0,10.5,2025-04-12
áp_lực thị_trường,3,0,5.0,10.5,2025-04-12
tiếp_tục ròng,3,0,5.0,10.5,2025-04-12
trắng bên,3,0,5.0,10.5,2025-04-12
tăng tới,3,0,5.0,10.5,2025-04-12
công_ty,16,53,-0.7,10.42,2025-04-12
15,8,5,0.6,10.4,2025-04-12
lĩnh_vực,8,5,0.6,10.4,2025-04-12
thị_trường việt,8,5,0.6,10.4,2025-04-12
nhà_nước,15,39,-0.62,10.38,2025-04-12
thương_mại,14,29,-0.52,10.38,2025-04-12
thực_hiện,14,29,-0.52,10.38,2025-04-12
lãi_suất,9,7,0.29,10.29,2025-04-12
quản_lý,12,17,-0.29,10.24,2025-04-12
sàn,12,17,-0.29,10.24,2025-04-12
công_bố,12,17,-0.29,10.24,2025-04-12
môi_trường,4,1,3.0,10.0,2025-04-12
kỳ_vọng tăng_trưởng,4,1,3.0,10.0,2025-04-12
đối_với việt,4,1,3.0,10.0,2025-04-12
125,4,1,3.0,10.0,2025-04-12
phân_hóa,4,1,3.0,10.0,2025-04-12
nghiên_cứu,4,1,3.0,10.0,2025-04-12
đỗ,4,1,3.0,10.0,2025-04-12
bật,4,1,3.0,10.0,2025-04-12
cạnh_tranh,4,1,3.0,10.0,2025-04-12
sự phân_hóa,4,1,3.0,10.0,2025-04-12
cổ_phiếu thuộc,4,1,3.0,10.0,2025-04-12
niêm_yết,4,1,3.0,10.0,2025-04-12
lợi_nhuận doanh_nghiệp,4,1,3.0,10.0,2025-04-12
hóa,4,1,3.0,10.0,2025-04-12
thuần,4,1,3.0,10.0,2025-04-12
kinh_tế vĩ_mô,4,1,3.0,10.0,2025-04-12
nền_tảng,4,1,3.0,10.0,2025-04-12
60,4,1,3.0,10.0,2025-04-12
vincom retail,4,1,3.0,10.0,2025-04-12
cận,4,1,3.0,10.0,2025-04-12
cận biên,4,1,3.0,10.0,2025-04-12
chính,7,4,0.75,9.62,2025-04-12
đầu_tư công,7,4,0.75,9.62,2025-04-12
thuận_lợi,7,4,0.75,9.62,2025-04-12
mặt_bằng,7,4,0.75,9.62,2025-04-12
quyết_định,7,4,0.75,9.62,2025-04-12
cung_cấp,7,4,0.75,9.62,2025-04-12
dù,7,4,0.75,9.62,2025-04-12
nhưng,12,20,-0.4,9.6,2025-04-12
xu_hướng,9,8,0.12,9.56,2025-04-12
kết_quả,9,8,0.12,9.56,2025-04-12
chịu,8,6,0.33,9.33,2025-04-12
hiện_tại,8,6,0.33,9.33,2025-04-12
giữ,11,17,-0.35,9.06,2025-04-12
2024,13,33,-0.61,9.06,2025-04-12
mang,6,3,1.0,9.0,2025-04-12
hôm_qua,6,3,1.0,9.0,2025-04-12
hàng,6,3,1.0,9.0,2025-04-12
i2025,9,9,0.0,9.0,2025-04-12
khoản,11,18,-0.39,8.86,2025-04-12
pe,5,2,1.5,8.75,2025-04-12
kỹ_thuật,5,2,1.5,8.75,2025-04-12
quan_hệ,5,2,1.5,8.75,2025-04-12
toàn_thị_trường,5,2,1.5,8.75,2025-04-12
đặt mục_tiêu,5,2,1.5,8.75,2025-04-12
kịch_bản,5,2,1.5,8.75,2025-04-12
thị_trường nổi,5,2,1.5,8.75,2025-04-12
tập_đoàn,5,2,1.5,8.75,2025-04-12
hoàn_thiện,5,2,1.5,8.75,2025-04-12
chịu tác_động,5,2,1.5,8.75,2025-04-12
xuất_hiện,5,2,1.5,8.75,2025-04-12
ghi_nhận,11,19,-0.42,8.68,2025-04-12
khối_lượng,8,7,0.14,8.57,2025-04-12
giải_pháp,9,10,-0.1,8.55,2025-04-12
duy_trì,9,10,-0.1,8.55,2025-04-12
thuộc,7,5,0.4,8.4,2025-04-12
ổn_định,7,5,0.4,8.4,2025-04-12
đồng_thời,7,5,0.4,8.4,2025-04-12
chi_phí,7,5,0.4,8.4,2025-04-12
yêu_cầu,7,5,0.4,8.4,2025-04-12
đặc_biệt,10,15,-0.33,8.33,2025-04-12
áp,9,11,-0.18,8.18,2025-04-12
trái_phiếu,12,34,-0.65,8.12,2025-04-12
chiến_lược,7,6,0.17,7.58,2025-04-12
đơn_vị,7,6,0.17,7.58,2025-04-12
nhờ,7,6,0.17,7.58,2025-04-12
chiếm,8,9,-0.11,7.56,2025-04-12
bối_cảnh,8,9,-0.11,7.56,2025-04-12
thay_đổi,6,4,0.5,7.5,2025-04-12
30,6,4,0.5,7.5,2025-04-12
khối_lượng giao_dịch,6,4,0.5,7.5,2025-04-12
khu_vực,6,4,0.5,7.5,2025-04-12
tổng giá_trị,6,4,0.5,7.5,2025-04-12
đối_ứng,6,4,0.5,7.5,2025-04-12
dự_kiến,9,14,-0.36,7.39,2025-04-12
xuất_khẩu,9,14,-0.36,7.39,2025-04-12
nhà,8,10,-0.2,7.2,2025-04-12
ảnh_hưởng,8,10,-0.2,7.2,2025-04-12
liên_quan,7,7,0.0,7.0,2025-04-12
dòng,8,11,-0.27,6.91,2025-04-12
đều,8,11,-0.27,6.91,2025-04-12
cơ_sở,5,3,0.67,6.67,2025-04-12
hoạt_động kinh_doanh,5,3,0.67,6.67,2025-04-12
sản_xuất,5,3,0.67,6.67,2025-04-12
thanh khoản,8,12,-0.33,6.67,2025-04-12
chia_sẻ,5,3,0.67,6.67,2025-04-12
áp_dụng,5,3,0.67,6.67,2025-04-12
thanh,8,12,-0.33,6.67,2025-04-12
ý_kiến,5,3,0.67,6.67,2025-04-12
riêng,5,3,0.67,6.67,2025-04-12
tăng mạnh,5,3,0.67,6.67,2025-04-12
phụ_thuộc,5,3,0.67,6.67,2025-04-12
hoặc,6,5,0.2,6.6,2025-04-12
thuế_quan,8,13,-0.38,6.46,2025-04-12
áp_lực,9,21,-0.57,6.43,2025-04-12
quỹ,8,14,-0.43,6.29,2025-04-12
rủi_ro,8,14,-0.43,6.29,2025-04-12
khả_năng,7,9,-0.22,6.22,2025-04-12
chuyên_gia,7,9,-0.22,6.22,2025-04-12
vay,8,15,-0.47,6.13,2025-04-12
khiến,8,15,-0.47,6.13,2025-04-12
tín_hiệu tích_cực,3,1,2.0,6.0,2025-04-12
hồ,3,1,2.0,6.0,2025-04-12
cam_kết,4,2,1.0,6.0,2025-04-12
vùng hỗ_trợ,4,2,1.0,6.0,2025-04-12
đáy,3,1,2.0,6.0,2025-04-12
việt có_thể,4,2,1.0,6.0,2025-04-12
đồng_loạt,3,1,2.0,6.0,2025-04-12
so cuối,3,1,2.0,6.0,2025-04-12
điều_kiện,4,2,1.0,6.0,2025-04-12
lưu,3,1,2.0,6.0,2025-04-12
ban_hành thông_tư,3,1,2.0,6.0,2025-04-12
mức giảm,4,2,1.0,6.0,2025-04-12
lực cầu,3,1,2.0,6.0,2025-04-12
vĩ_mô,4,2,1.0,6.0,2025-04-12
giao_dịch chứng_khoán,3,1,2.0,6.0,2025-04-12
mặt,3,1,2.0,6.0,2025-04-12
đầu_tư nước_ngoài,3,1,2.0,6.0,2025-04-12
tác_động trực_tiếp,3,1,2.0,6.0,2025-04-12
sẵn_sàng,3,1,2.0,6.0,2025-04-12
22025,3,1,2.0,6.0,2025-04-12
mức tăng_trưởng,3,1,2.0,6.0,2025-04-12
gồm,3,1,2.0,6.0,2025-04-12
chứng_khoán tăng,3,1,2.0,6.0,2025-04-12
lấy,3,1,2.0,6.0,2025-04-12
kết_thúc,3,1,2.0,6.0,2025-04-12
tăng_trưởng tín_dụng,6,6,0.0,6.0,2025-04-12
ngược_lại,4,2,1.0,6.0,2025-04-12
nhẹ,3,1,2.0,6.0,2025-04-12
khoản vay,3,1,2.0,6.0,2025-04-12
logistics,3,1,2.0,6.0,2025-04-12
chính_sách thuế_quan,3,1,2.0,6.0,2025-04-12
quan_tâm,4,2,1.0,6.0,2025-04-12
vừa,6,6,0.0,6.0,2025-04-12
quỹ đầu_tư,4,2,1.0,6.0,2025-04-12
thận_trọng,3,1,2.0,6.0,2025-04-12
thị_trường cận biên,3,1,2.0,6.0,2025-04-12
thị_trường cận,3,1,2.0,6.0,2025-04-12
phối_hợp,3,1,2.0,6.0,2025-04-12
hàng_hóa,4,2,1.0,6.0,2025-04-12
kênh,4,2,1.0,6.0,2025-04-12
cho_phép,3,1,2.0,6.0,2025-04-12
doanh_thu thuần,3,1,2.0,6.0,2025-04-12
con_số,6,6,0.0,6.0,2025-04-12
cầu,3,1,2.0,6.0,2025-04-12
đà giảm,3,1,2.0,6.0,2025-04-12
tổ_chức quốc_tế,4,2,1.0,6.0,2025-04-12
trắng,3,1,2.0,6.0,2025-04-12
dệt_may,3,1,2.0,6.0,2025-04-12
tăng_cường,3,1,2.0,6.0,2025-04-12
retail,4,2,1.0,6.0,2025-04-12
thông_tư,3,1,2.0,6.0,2025-04-12
13,4,2,1.0,6.0,2025-04-12
mỹ donald trump,3,1,2.0,6.0,2025-04-12
thứ_trưởng bộ tài_chính,4,2,1.0,6.0,2025-04-12
thứ_trưởng bộ,4,2,1.0,6.0,2025-04-12
ctg,3,1,2.0,6.0,2025-04-12
cuối,7,10,-0.3,5.95,2025-04-12
ngoại,8,17,-0.53,5.88,2025-04-12
kỳ,8,17,-0.53,5.88,2025-04-12
vùng,7,11,-0.36,5.73,2025-04-12
tín_hiệu,5,4,0.25,5.62,2025-04-12
ký,5,4,0.25,5.62,2025-04-12
pháp_lý,5,4,0.25,5.62,2025-04-12
kỳ_hạn,5,4,0.25,5.62,2025-04-12
