keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
doanh_nghiệp,53,13,3.08,134.54,2025-04-06
việt,52,20,1.6,93.6,2025-04-06
giảm,62,37,0.68,82.95,2025-04-06
thị_trường,71,55,0.29,81.33,2025-04-06
trái_phiếu doanh_nghiệp,17,2,7.5,80.75,2025-04-06
tăng,68,55,0.24,76.04,2025-04-06
msb,18,0,5.0,63.0,2025-04-06
mỹ,26,7,2.71,61.29,2025-04-06
nhà_đầu_tư,34,14,1.43,58.29,2025-04-06
hoàn,10,1,9.0,55.0,2025-04-06
tcbs,15,0,5.0,52.5,2025-04-06
cổ_phiếu,56,73,-0.23,49.48,2025-04-06
xuất_khẩu,13,2,5.5,48.75,2025-04-06
ngành,22,7,2.14,45.57,2025-04-06
phiên,35,23,0.52,44.13,2025-04-06
điểm,37,27,0.37,43.85,2025-04-06
giá_trị,25,10,1.5,43.75,2025-04-06
mức,43,42,0.02,43.51,2025-04-06
tới,33,21,0.57,42.43,2025-04-06
chi,21,7,2.0,42.0,2025-04-06
vấn_đề,18,5,2.6,41.4,2025-04-06
mạnh,28,15,0.87,40.13,2025-04-06
so,37,36,0.03,37.51,2025-04-06
đầu,25,13,0.92,36.54,2025-04-06
công_nghiệp,11,2,4.5,35.75,2025-04-06
nước_ngoài,11,2,4.5,35.75,2025-04-06
đạt,40,51,-0.22,35.69,2025-04-06
giao_dịch,30,24,0.25,33.75,2025-04-06
về,41,69,-0.41,32.68,2025-04-06
tâm_lý,17,6,1.83,32.58,2025-04-06
nhóm,23,14,0.64,30.39,2025-04-06
có_thể,28,24,0.17,30.33,2025-04-06
vnindex,24,16,0.5,30.0,2025-04-06
thương_mại,20,10,1.0,30.0,2025-04-06
trái_phiếu,31,36,-0.14,28.85,2025-04-06
home,8,0,5.0,28.0,2025-04-06
ctcp phát_triển,8,0,5.0,28.0,2025-04-06
tổng_thống,7,1,6.0,28.0,2025-04-06
phát_triển đô_thị,8,0,5.0,28.0,2025-04-06
công_ty,39,90,-0.57,27.95,2025-04-06
ctcp,14,5,1.8,26.6,2025-04-06
ghi_nhận,17,8,1.12,26.56,2025-04-06
ròng,19,11,0.73,25.91,2025-04-06
tương_đương,11,3,2.67,25.67,2025-04-06
đầu_tư,34,71,-0.52,25.14,2025-04-06
trump,9,2,3.5,24.75,2025-04-06
áp,9,2,3.5,24.75,2025-04-06
hôm_nay,9,2,3.5,24.75,2025-04-06
bị,17,9,0.89,24.56,2025-04-06
nội_địa,7,0,5.0,24.5,2025-04-06
tăng_trưởng,22,18,0.22,24.44,2025-04-06
lãi,15,7,1.14,23.57,2025-04-06
bộ,15,7,1.14,23.57,2025-04-06
hạng,14,6,1.33,23.33,2025-04-06
nâng hạng,14,6,1.33,23.33,2025-04-06
2025,30,59,-0.49,22.63,2025-04-06
mã,22,21,0.05,22.52,2025-04-06
cổ_tức,21,19,0.11,22.11,2025-04-06
kỳ,17,11,0.55,21.64,2025-04-06
giữ,14,7,1.0,21.0,2025-04-06
35,6,0,5.0,21.0,2025-04-06
thứ_trưởng,6,0,5.0,21.0,2025-04-06
biến_động,6,0,5.0,21.0,2025-04-06
nguyễn_đức,6,0,5.0,21.0,2025-04-06
hướng tới,6,0,5.0,21.0,2025-04-06
đàm_phán,6,0,5.0,21.0,2025-04-06
liên_tục,6,1,5.0,21.0,2025-04-06
hướng,6,1,5.0,21.0,2025-04-06
ssi,6,1,5.0,21.0,2025-04-06
tăng_trưởng tín_dụng,6,0,5.0,21.0,2025-04-06
shs,6,1,5.0,21.0,2025-04-06
ngọc,6,0,5.0,21.0,2025-04-06
cuộc,11,4,1.75,20.62,2025-04-06
tài_chính,27,54,-0.5,20.25,2025-04-06
2024,26,47,-0.45,20.19,2025-04-06
i2025,8,2,3.0,20.0,2025-04-06
đô_thị,8,2,3.0,20.0,2025-04-06
phát_triển,23,32,-0.28,19.77,2025-04-06
gần,21,24,-0.12,19.69,2025-04-06
tỷ_lệ,21,26,-0.19,18.98,2025-04-06
thông_tin,17,14,0.21,18.82,2025-04-06
thực_hiện,22,34,-0.35,18.12,2025-04-06
thị_trường_chứng_khoán,19,21,-0.1,18.1,2025-04-06
sàn,15,11,0.36,17.73,2025-04-06
chính_sách,15,11,0.36,17.73,2025-04-06
dự_án,21,31,-0.32,17.61,2025-04-06
bất_động_sản,11,5,1.2,17.6,2025-04-06
nâng,18,19,-0.05,17.53,2025-04-06
nguyễn_đức chi,5,0,5.0,17.5,2025-04-06
thực_tế,5,0,5.0,17.5,2025-04-06
tái,5,0,5.0,17.5,2025-04-06
holdings,5,0,5.0,17.5,2025-04-06
dự_toán,5,0,5.0,17.5,2025-04-06
nhà_đầu_tư nước_ngoài,5,0,5.0,17.5,2025-04-06
bán_tháo,5,0,5.0,17.5,2025-04-06
phản_ứng,5,0,5.0,17.5,2025-04-06
khu_công_nghiệp,5,0,5.0,17.5,2025-04-06
mai,5,0,5.0,17.5,2025-04-06
fiinratings,5,0,5.0,17.5,2025-04-06
sự,21,32,-0.34,17.39,2025-04-06
chứng_khoán,21,35,-0.4,16.8,2025-04-06
tiếp_tục,22,42,-0.48,16.76,2025-04-06
tổ_chức,16,15,0.07,16.53,2025-04-06
khối ngoại,12,7,0.71,16.29,2025-04-06
tích_cực,14,11,0.27,15.91,2025-04-06
công_bố,14,11,0.27,15.91,2025-04-06
giảm mạnh,7,2,2.5,15.75,2025-04-06
phân_tích,5,1,4.0,15.0,2025-04-06
nắm,10,5,1.0,15.0,2025-04-06
thể_hiện,5,1,4.0,15.0,2025-04-06
krx,5,1,4.0,15.0,2025-04-06
nhóm ngành,5,1,4.0,15.0,2025-04-06
tiền_mặt,10,5,1.0,15.0,2025-04-06
tín_dụng,12,8,0.5,15.0,2025-04-06
thị_trường_chứng_khoán việt,5,1,4.0,15.0,2025-04-06
thời_điểm,10,5,1.0,15.0,2025-04-06
donald,5,1,4.0,15.0,2025-04-06
cục,5,1,4.0,15.0,2025-04-06
thông_tin về,5,1,4.0,15.0,2025-04-06
chúng_ta,5,1,4.0,15.0,2025-04-06
yêu_cầu,5,1,4.0,15.0,2025-04-06
chỉ_đạo,5,1,4.0,15.0,2025-04-06
đánh_giá,10,5,1.0,15.0,2025-04-06
khối,12,8,0.5,15.0,2025-04-06
dài_hạn,8,3,1.67,14.67,2025-04-06
thuế_quan,9,4,1.25,14.62,2025-04-06
tác_động,13,11,0.18,14.18,2025-04-06
đặc_biệt,13,11,0.18,14.18,2025-04-06
chỉ_số,11,7,0.57,14.14,2025-04-06
gvr,4,0,5.0,14.0,2025-04-06
vay ký quỹ,4,0,5.0,14.0,2025-04-06
giảm sàn,4,0,5.0,14.0,2025-04-06
thứ_trưởng nguyễn_đức chi,4,0,5.0,14.0,2025-04-06
thương_mại mỹ,4,0,5.0,14.0,2025-04-06
vay ký,4,0,5.0,14.0,2025-04-06
thứ_trưởng nguyễn_đức,4,0,5.0,14.0,2025-04-06
sắp,4,0,5.0,14.0,2025-04-06
vnindex tăng,4,0,5.0,14.0,2025-04-06
song,4,0,5.0,14.0,2025-04-06
