keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
vận_hành,30,1,29.0,465.0,2025-05-17
hệ_thống,64,5,11.8,441.6,2025-05-17
chính_sách,22,1,21.0,253.0,2025-05-17
quốc_hội,21,1,20.0,231.0,2025-05-17
hỗ_trợ,20,1,19.0,210.0,2025-05-17
krx,27,2,12.5,195.75,2025-05-17
luật,26,2,12.0,182.0,2025-05-17
kinh_tế,18,1,17.0,171.0,2025-05-17
quản_lý,24,2,11.0,156.0,2025-05-17
cổ_tức,39,0,5.0,136.5,2025-05-17
cơ_quan,15,1,14.0,120.0,2025-05-17
công_nghệ,28,4,6.0,112.0,2025-05-17
phiên,63,29,1.17,99.93,2025-05-17
cấp,26,4,5.5,97.5,2025-05-17
sản_phẩm,18,2,8.0,90.0,2025-05-17
ưu_đãi,24,0,5.0,84.0,2025-05-17
tăng,80,76,0.05,82.11,2025-05-17
ổn_định,17,2,7.5,80.75,2025-05-17
nghiên_cứu,12,1,11.0,78.0,2025-05-17
đàm_phán,12,1,11.0,78.0,2025-05-17
chi,12,1,11.0,78.0,2025-05-17
doanh_nghiệp,48,22,1.18,76.36,2025-05-17
giao_dịch,71,63,0.13,75.51,2025-05-17
điểm,50,25,1.0,75.0,2025-05-17
đơn_vị,25,5,4.0,75.0,2025-05-17
tiền_mặt,21,0,5.0,73.5,2025-05-17
cổ_phiếu,67,58,0.16,72.2,2025-05-17
công_ty,63,50,0.26,71.19,2025-05-17
bộ_trưởng,20,0,5.0,70.0,2025-05-17
công,20,0,5.0,70.0,2025-05-17
giao_thông,19,0,5.0,66.5,2025-05-17
dự_án,11,1,10.0,66.0,2025-05-17
giảm,56,42,0.33,65.33,2025-05-17
thu_nhập,25,6,3.17,64.58,2025-05-17
đảm_bảo,23,5,3.6,64.4,2025-05-17
đối_với,15,2,6.5,63.75,2025-05-17
chịu,15,2,6.5,63.75,2025-05-17
chia,18,0,5.0,63.0,2025-05-17
vnindex,32,11,1.91,62.55,2025-05-17
sự_nghiệp,17,0,5.0,59.5,2025-05-17
thị_trường,52,42,0.24,58.19,2025-05-17
giá_trị gia_tăng,16,0,5.0,56.0,2025-05-17
chuyển_đổi,10,1,9.0,55.0,2025-05-17
mỹ,10,1,9.0,55.0,2025-05-17
địa_bàn,10,1,9.0,55.0,2025-05-17
tham_gia,10,1,9.0,55.0,2025-05-17
gia_tăng,19,4,3.75,54.62,2025-05-17
tính,19,4,3.75,54.62,2025-05-17
có_thể,19,4,3.75,54.62,2025-05-17
dịch_vụ,39,22,0.77,54.07,2025-05-17
chi_phí,15,0,5.0,52.5,2025-05-17
tích_cực,25,8,2.12,51.56,2025-05-17
bằng,16,3,4.33,50.67,2025-05-17
vùng,20,5,3.0,50.0,2025-05-17
đầu_tư,31,14,1.21,49.82,2025-05-17
nghị_quyết,14,0,5.0,49.0,2025-05-17
thu,14,0,5.0,49.0,2025-05-17
tỉnh,14,0,5.0,49.0,2025-05-17
diễn,13,2,5.5,48.75,2025-05-17
quy_định,21,6,2.5,47.25,2025-05-17
về,41,32,0.28,46.77,2025-05-17
tài_sản,19,5,2.8,45.6,2025-05-17
xã,13,0,5.0,45.5,2025-05-17
chứng_khoán,43,39,0.1,45.21,2025-05-17
chuẩn_bị,9,1,8.0,45.0,2025-05-17
thuế_quan,9,1,8.0,45.0,2025-05-17
ban_hành,9,1,8.0,45.0,2025-05-17
khoản,30,15,1.0,45.0,2025-05-17
đưa,15,3,4.0,45.0,2025-05-17
áp_dụng,9,1,8.0,45.0,2025-05-17
hđqt,9,1,8.0,45.0,2025-05-17
mạnh,38,28,0.36,44.79,2025-05-17
trừ,12,0,5.0,42.0,2025-05-17
thông_minh,12,0,5.0,42.0,2025-05-17
dự_thảo,12,0,5.0,42.0,2025-05-17
chia cổ_tức,12,0,5.0,42.0,2025-05-17
ngoại,18,5,2.6,41.4,2025-05-17
thực_hiện,23,9,1.56,40.89,2025-05-17
phát_triển,24,10,1.4,40.8,2025-05-17
mức,39,37,0.05,40.05,2025-05-17
cung_cấp,14,3,3.67,39.67,2025-05-17
bổ_sung,14,3,3.67,39.67,2025-05-17
tâm_lý,14,3,3.67,39.67,2025-05-17
chi_trả,11,0,5.0,38.5,2025-05-17
ý_kiến,11,0,5.0,38.5,2025-05-17
hành_chính,11,0,5.0,38.5,2025-05-17
thầu,11,0,5.0,38.5,2025-05-17
gói,11,0,5.0,38.5,2025-05-17
khoa_học,11,0,5.0,38.5,2025-05-17
gói thầu,11,0,5.0,38.5,2025-05-17
kỳ_vọng,11,0,5.0,38.5,2025-05-17
quyền,8,1,7.0,36.0,2025-05-17
hoặc,8,1,7.0,36.0,2025-05-17
ngắn_hạn,8,1,7.0,36.0,2025-05-17
vnindex tăng,8,1,7.0,36.0,2025-05-17
giảm giá_trị,8,1,7.0,36.0,2025-05-17
lĩnh_vực,18,6,2.0,36.0,2025-05-17
khoản chi,8,1,7.0,36.0,2025-05-17
bao_gồm,8,1,7.0,36.0,2025-05-17
