keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
đơn_vị,17,1,16.0,153.0,2025-04-16
cao_su,43,0,5.0,150.5,2025-04-16
xã_hội,15,1,14.0,120.0,2025-04-16
lệnh,15,1,14.0,120.0,2025-04-16
trần,14,1,13.0,105.0,2025-04-16
bảo_hiểm,14,1,13.0,105.0,2025-04-16
khu_công_nghiệp,22,3,6.33,91.67,2025-04-16
đất,22,3,6.33,91.67,2025-04-16
tài_chính,59,28,1.11,91.66,2025-04-16
ttck,13,1,12.0,91.0,2025-04-16
tăng,69,50,0.38,82.11,2025-04-16
mã,28,6,3.67,79.33,2025-04-16
mạnh_mẽ,12,1,11.0,78.0,2025-04-16
cổ_phiếu,55,30,0.83,77.92,2025-04-16
phiên,43,18,1.39,72.86,2025-04-16
thị_trường,65,88,-0.26,56.51,2025-04-16
tăng_trưởng,40,22,0.82,56.36,2025-04-16
cao_su phước,16,0,5.0,56.0,2025-04-16
vn30,16,0,5.0,56.0,2025-04-16
dân,16,0,5.0,56.0,2025-04-16
toàn_diện,16,0,5.0,56.0,2025-04-16
phước,16,0,5.0,56.0,2025-04-16
sản_phẩm dịch_vụ,10,1,9.0,55.0,2025-04-16
về,51,46,0.11,53.77,2025-04-16
phát_triển,28,10,1.8,53.2,2025-04-16
dịch_vụ,16,3,4.33,50.67,2025-04-16
mục_tiêu,27,10,1.7,49.95,2025-04-16
ngân_hàng,27,10,1.7,49.95,2025-04-16
giao_dịch,47,42,0.12,49.8,2025-04-16
đặt,18,4,3.5,49.5,2025-04-16
chuyển_đổi,14,0,5.0,49.0,2025-04-16
kế_hoạch,21,6,2.5,47.25,2025-04-16
hòa,13,0,5.0,45.5,2025-04-16
phước hòa,13,0,5.0,45.5,2025-04-16
điểm,42,36,0.17,45.5,2025-04-16
cao_su phước hòa,13,0,5.0,45.5,2025-04-16
việt,53,86,-0.38,42.83,2025-04-16
hội_nghị,12,0,5.0,42.0,2025-04-16
apg,12,0,5.0,42.0,2025-04-16
2025,36,28,0.29,41.14,2025-04-16
tiếp_tục,29,16,0.81,40.78,2025-04-16
tín_dụng,14,3,3.67,39.67,2025-04-16
sản_phẩm,14,3,3.67,39.67,2025-04-16
giảm,45,59,-0.24,39.66,2025-04-16
ban,11,0,5.0,38.5,2025-04-16
bảo_hiểm xã_hội,11,0,5.0,38.5,2025-04-16
dịch_vụ tài_chính,11,0,5.0,38.5,2025-04-16
hoãn,11,0,5.0,38.5,2025-04-16
tổ_chức,28,16,0.75,38.5,2025-04-16
chứng_khoán,33,27,0.22,36.67,2025-04-16
thuê,8,1,7.0,36.0,2025-04-16
đột_biến,8,1,7.0,36.0,2025-04-16
trung_quốc,8,1,7.0,36.0,2025-04-16
công,11,2,4.5,35.75,2025-04-16
ủy_ban,11,2,4.5,35.75,2025-04-16
đất cao_su,10,0,5.0,35.0,2025-04-16
lợi_nhuận,25,14,0.79,34.82,2025-04-16
ghi_nhận,16,5,2.2,33.6,2025-04-16
dự_án,17,6,1.83,32.58,2025-04-16
nhóm,29,24,0.21,32.02,2025-04-16
gas,9,0,5.0,31.5,2025-04-16
xác_định,9,0,5.0,31.5,2025-04-16
ngân_hàng nhà_nước,9,0,5.0,31.5,2025-04-16
sử_dụng,10,2,4.0,30.0,2025-04-16
doanh_thu,15,5,2.0,30.0,2025-04-16
đầu_tư,28,26,0.08,29.08,2025-04-16
mạnh,24,17,0.41,28.94,2025-04-16
nhà_nước,20,11,0.82,28.18,2025-04-16
tăng_cường,7,1,6.0,28.0,2025-04-16
nhóm vn30,8,0,5.0,28.0,2025-04-16
đối_tượng,7,1,6.0,28.0,2025-04-16
thủ_tướng chính_phủ,7,1,6.0,28.0,2025-04-16
chủ_động,7,1,6.0,28.0,2025-04-16
khối ngoại ròng,7,1,6.0,28.0,2025-04-16
ngoại ròng,7,1,6.0,28.0,2025-04-16
công_nghiệp,8,0,5.0,28.0,2025-04-16
đặc_biệt,19,10,0.9,27.55,2025-04-16
hoạt_động,18,9,1.0,27.0,2025-04-16
ròng,20,12,0.67,26.67,2025-04-16
công_ty,27,28,-0.04,26.52,2025-04-16
nước,22,16,0.38,26.12,2025-04-16
nhiệm_vụ,11,3,2.67,25.67,2025-04-16
hiệu_quả,11,3,2.67,25.67,2025-04-16
nhà_đầu_tư,31,50,-0.38,25.11,2025-04-16
cơ_chế,9,2,3.5,24.75,2025-04-16
hạn_chế,9,2,3.5,24.75,2025-04-16
triển_khai,17,9,0.89,24.56,2025-04-16
kiểm_toán,7,0,5.0,24.5,2025-04-16
tăng_giá,7,0,5.0,24.5,2025-04-16
đồngcổ phiếu,7,0,5.0,24.5,2025-04-16
hiếu,7,0,5.0,24.5,2025-04-16
mở_rộng,7,0,5.0,24.5,2025-04-16
chuyển_đổi đất,7,0,5.0,24.5,2025-04-16
đất cao_su sang,7,0,5.0,24.5,2025-04-16
tăng trần,7,0,5.0,24.5,2025-04-16
đồngcổ,7,0,5.0,24.5,2025-04-16
chuyển_đổi đất cao_su,7,0,5.0,24.5,2025-04-16
ha,7,0,5.0,24.5,2025-04-16
ttck việt,7,0,5.0,24.5,2025-04-16
đất khu_công_nghiệp,7,0,5.0,24.5,2025-04-16
vincom,7,0,5.0,24.5,2025-04-16
phr,7,0,5.0,24.5,2025-04-16
cao_su sang,7,0,5.0,24.5,2025-04-16
thành_viên,7,0,5.0,24.5,2025-04-16
phiếu,7,0,5.0,24.5,2025-04-16
phiên hôm_nay,7,0,5.0,24.5,2025-04-16
thực_hiện,21,17,0.24,23.47,2025-04-16
thúc_đẩy,14,6,1.33,23.33,2025-04-16
chiến_lược,14,6,1.33,23.33,2025-04-16
kinh_tế,21,18,0.17,22.75,2025-04-16
bộ,24,29,-0.17,21.93,2025-04-16
lực,10,3,2.33,21.67,2025-04-16
thời_gian,18,13,0.38,21.46,2025-04-16
tích_cực,18,13,0.38,21.46,2025-04-16
doanh_nghiệp,26,42,-0.38,21.05,2025-04-16
16,6,1,5.0,21.0,2025-04-16
nhà_nước việt,6,1,5.0,21.0,2025-04-16
cao_su sang đất,6,0,5.0,21.0,2025-04-16
chính,6,1,5.0,21.0,2025-04-16
hồi_phục,6,1,5.0,21.0,2025-04-16
lực cầu,6,1,5.0,21.0,2025-04-16
thành,6,1,5.0,21.0,2025-04-16
khớp,6,0,5.0,21.0,2025-04-16
100,6,0,5.0,21.0,2025-04-16
cầu,6,1,5.0,21.0,2025-04-16
đối_thoại,6,1,5.0,21.0,2025-04-16
chương_trình,6,1,5.0,21.0,2025-04-16
vcb,6,0,5.0,21.0,2025-04-16
hôm_qua,6,0,5.0,21.0,2025-04-16
vùng_sâu_vùng_xa,6,0,5.0,21.0,2025-04-16
đô_thị,6,0,5.0,21.0,2025-04-16
kinh_tế việt,6,0,5.0,21.0,2025-04-16
sang đất,6,0,5.0,21.0,2025-04-16
phiên giao_dịch,12,5,1.4,20.4,2025-04-16
ủy_ban chứng_khoán,8,2,3.0,20.0,2025-04-16
ủy_ban chứng_khoán nhà_nước,8,2,3.0,20.0,2025-04-16
mức,28,66,-0.58,19.94,2025-04-16
ngoại,14,8,0.75,19.25,2025-04-16
bên,14,8,0.75,19.25,2025-04-16
cơ_quan,15,10,0.5,18.75,2025-04-16
sự,20,23,-0.13,18.7,2025-04-16
sang,13,7,0.86,18.57,2025-04-16
lĩnh_vực,13,7,0.86,18.57,2025-04-16
quốc_tế,12,6,1.0,18.0,2025-04-16
vừa,12,6,1.0,18.0,2025-04-16
bất_động_sản,16,13,0.23,17.85,2025-04-16
tới,18,19,-0.05,17.53,2025-04-16
vnindex,18,19,-0.05,17.53,2025-04-16
dùng,5,0,5.0,17.5,2025-04-16
tiếng,5,0,5.0,17.5,2025-04-16
cổ_phiếu phr,5,0,5.0,17.5,2025-04-16
khai_thác,5,0,5.0,17.5,2025-04-16
dự_kiến,10,4,1.5,17.5,2025-04-16
vhm,5,0,5.0,17.5,2025-04-16
định_hướng,5,0,5.0,17.5,2025-04-16
áp_đảo,5,0,5.0,17.5,2025-04-16
rõ,10,4,1.5,17.5,2025-04-16
ii,5,0,5.0,17.5,2025-04-16
khuôn_khổ,5,0,5.0,17.5,2025-04-16
hạ_tầng,5,0,5.0,17.5,2025-04-16
đa_dạng,5,0,5.0,17.5,2025-04-16
đại_biểu,5,0,5.0,17.5,2025-04-16
acb,5,0,5.0,17.5,2025-04-16
vingroup,5,0,5.0,17.5,2025-04-16
hoàn_thiện,10,4,1.5,17.5,2025-04-16
