keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
cao_su,43,0,5.0,150.5,2025-04-17
đất,22,2,10.0,132.0,2025-04-17
toàn_diện,15,1,14.0,120.0,2025-04-17
bảo_hiểm,14,1,13.0,105.0,2025-04-17
khu_công_nghiệp,22,3,6.33,91.67,2025-04-17
chuyển_đổi,13,1,12.0,91.0,2025-04-17
dân,16,0,5.0,56.0,2025-04-17
phước,16,0,5.0,56.0,2025-04-17
cao_su phước,16,0,5.0,56.0,2025-04-17
kế_hoạch,23,6,2.83,55.58,2025-04-17
sản_phẩm dịch_vụ,10,1,9.0,55.0,2025-04-17
tài_chính,46,37,0.24,51.59,2025-04-17
xã_hội,13,2,5.5,48.75,2025-04-17
hòa,13,0,5.0,45.5,2025-04-17
phước hòa,13,0,5.0,45.5,2025-04-17
cao_su phước hòa,13,0,5.0,45.5,2025-04-17
đơn_vị,15,3,4.0,45.0,2025-04-17
apg,12,0,5.0,42.0,2025-04-17
ban,12,0,5.0,42.0,2025-04-17
lợi_nhuận,28,15,0.87,40.13,2025-04-17
bảo_hiểm xã_hội,11,0,5.0,38.5,2025-04-17
land,11,0,5.0,38.5,2025-04-17
dịch_vụ tài_chính,11,0,5.0,38.5,2025-04-17
đột_biến,8,1,7.0,36.0,2025-04-17
thuê,8,1,7.0,36.0,2025-04-17
2025,34,31,0.1,35.65,2025-04-17
sản_phẩm,15,4,2.75,35.62,2025-04-17
dịch_vụ,15,4,2.75,35.62,2025-04-17
về,39,48,-0.19,35.34,2025-04-17
khải_hoàn land,10,0,5.0,35.0,2025-04-17
đất cao_su,10,0,5.0,35.0,2025-04-17
khải_hoàn,10,0,5.0,35.0,2025-04-17
tăng,42,64,-0.34,34.78,2025-04-17
vn30,13,3,3.33,34.67,2025-04-17
gas,9,0,5.0,31.5,2025-04-17
ngân_hàng nhà_nước,9,0,5.0,31.5,2025-04-17
ngân_hàng,23,14,0.64,30.39,2025-04-17
nhiệm_vụ,10,2,4.0,30.0,2025-04-17
mục_tiêu,24,16,0.5,30.0,2025-04-17
tăng_trưởng,31,36,-0.14,28.85,2025-04-17
giảm,37,67,-0.45,28.72,2025-04-17
cổ_phiếu,34,51,-0.33,28.33,2025-04-17
kiểm_toán,8,0,5.0,28.0,2025-04-17
đối_tượng,7,1,6.0,28.0,2025-04-17
công_nghiệp,8,0,5.0,28.0,2025-04-17
doanh_thu,15,6,1.5,26.25,2025-04-17
2024,19,11,0.73,25.91,2025-04-17
mạnh_mẽ,11,3,2.67,25.67,2025-04-17
tập_đoàn,9,2,3.5,24.75,2025-04-17
công_ty,25,26,-0.04,24.52,2025-04-17
vincom,7,0,5.0,24.5,2025-04-17
chuyển_đổi đất cao_su,7,0,5.0,24.5,2025-04-17
cao_su sang,7,0,5.0,24.5,2025-04-17
chuyển_đổi đất,7,0,5.0,24.5,2025-04-17
ha,7,0,5.0,24.5,2025-04-17
phr,7,0,5.0,24.5,2025-04-17
đất cao_su sang,7,0,5.0,24.5,2025-04-17
đất khu_công_nghiệp,7,0,5.0,24.5,2025-04-17
chỉ_đạo,12,4,2.0,24.0,2025-04-17
dự_án,16,9,0.78,22.22,2025-04-17
rõ,10,3,2.33,21.67,2025-04-17
mạnh,21,20,0.05,21.52,2025-04-17
phát_triển,21,20,0.05,21.52,2025-04-17
nhà_nước việt,6,1,5.0,21.0,2025-04-17
đồngcổ,6,1,5.0,21.0,2025-04-17
vùng_sâu_vùng_xa,6,0,5.0,21.0,2025-04-17
đồngcổ phiếu,6,1,5.0,21.0,2025-04-17
so 2024,6,0,5.0,21.0,2025-04-17
đô_thị,6,0,5.0,21.0,2025-04-17
vingroup,6,0,5.0,21.0,2025-04-17
sang đất,6,0,5.0,21.0,2025-04-17
cao_su sang đất,6,0,5.0,21.0,2025-04-17
phiếu,6,1,5.0,21.0,2025-04-17
điểm,26,48,-0.46,20.04,2025-04-17
đặt,15,9,0.67,20.0,2025-04-17
xác_định,8,2,3.0,20.0,2025-04-17
chiến_lược,14,8,0.75,19.25,2025-04-17
tiếp_tục,20,25,-0.2,18.0,2025-04-17
nhóm,21,31,-0.32,17.61,2025-04-17
hoàn_thiện,10,4,1.5,17.5,2025-04-17
tổng_doanh_thu,5,0,5.0,17.5,2025-04-17
pháp_luật về,5,0,5.0,17.5,2025-04-17
khuôn_khổ,5,0,5.0,17.5,2025-04-17
khai_thác,5,0,5.0,17.5,2025-04-17
dùng,5,0,5.0,17.5,2025-04-17
bổ_sung,5,0,5.0,17.5,2025-04-17
cổ_phiếu phr,5,0,5.0,17.5,2025-04-17
hiện_đại,5,0,5.0,17.5,2025-04-17
thị_trường,28,116,-0.76,17.38,2025-04-17
phiên,22,38,-0.42,17.37,2025-04-17
báo_cáo,12,7,0.71,16.29,2025-04-17
doanh_nghiệp,21,39,-0.46,16.15,2025-04-17
chủ_động,7,2,2.5,15.75,2025-04-17
đại_hội,7,2,2.5,15.75,2025-04-17
lao_động,7,2,2.5,15.75,2025-04-17
tín_dụng,11,6,0.83,15.58,2025-04-17
thực_hiện,15,14,0.07,15.54,2025-04-17
vcb,5,1,4.0,15.0,2025-04-17
100,5,1,4.0,15.0,2025-04-17
nghị_định,5,1,4.0,15.0,2025-04-17
quy_mô,5,1,4.0,15.0,2025-04-17
thuần,5,1,4.0,15.0,2025-04-17
sử_dụng,8,3,1.67,14.67,2025-04-17
quy_định,8,3,1.67,14.67,2025-04-17
sự,18,29,-0.38,14.59,2025-04-17
bất_động_sản,15,16,-0.06,14.53,2025-04-17
giai_đoạn,15,16,-0.06,14.53,2025-04-17
ha đất,4,0,5.0,14.0,2025-04-17
địa_phương,4,0,5.0,14.0,2025-04-17
hoàn_thành,4,0,5.0,14.0,2025-04-17
bcm,4,0,5.0,14.0,2025-04-17
hpg,4,0,5.0,14.0,2025-04-17
retail,4,0,5.0,14.0,2025-04-17
mbb,4,0,5.0,14.0,2025-04-17
quy_định pháp_luật về,4,0,5.0,14.0,2025-04-17
vincom retail,4,0,5.0,14.0,2025-04-17
quốc_gia về,4,0,5.0,14.0,2025-04-17
hướng_dẫn,4,0,5.0,14.0,2025-04-17
ứng_dụng,4,0,5.0,14.0,2025-04-17
bộ cơ_quan,4,0,5.0,14.0,2025-04-17
song_song,4,0,5.0,14.0,2025-04-17
thành_viên ban,4,0,5.0,14.0,2025-04-17
quản_lý_tài_chính,4,0,5.0,14.0,2025-04-17
lợi_nhuận 2025,4,0,5.0,14.0,2025-04-17
tổng_kết,4,0,5.0,14.0,2025-04-17
mốc,4,0,5.0,14.0,2025-04-17
kiến_thức,4,0,5.0,14.0,2025-04-17
giáo_dục,4,0,5.0,14.0,2025-04-17
cao_su thiên_nhiên,4,0,5.0,14.0,2025-04-17
dân doanh_nghiệp,4,0,5.0,14.0,2025-04-17
nđcp,4,0,5.0,14.0,2025-04-17
thiên_nhiên,4,0,5.0,14.0,2025-04-17
giao_dịch,21,67,-0.69,13.79,2025-04-17
đặc_biệt,14,15,-0.07,13.53,2025-04-17
mã,15,19,-0.21,13.42,2025-04-17
ngành,17,31,-0.45,13.16,2025-04-17
đạt,17,31,-0.45,13.16,2025-04-17
nhà_nước,12,11,0.09,12.55,2025-04-17
kinh_doanh,14,18,-0.22,12.44,2025-04-17
sang,11,9,0.22,12.22,2025-04-17
ghi_nhận,11,9,0.22,12.22,2025-04-17
đặt mục_tiêu,6,2,2.0,12.0,2025-04-17
kỳ_vọng,12,12,0.0,12.0,2025-04-17
tiền_mặt,6,2,2.0,12.0,2025-04-17
bắt_đầu,6,2,2.0,12.0,2025-04-17
thủ_tướng chính_phủ,6,2,2.0,12.0,2025-04-17
tập_trung,7,3,1.33,11.67,2025-04-17
đầu,14,23,-0.39,11.26,2025-04-17
khoảng,9,6,0.5,11.25,2025-04-17
lĩnh_vực,10,8,0.25,11.25,2025-04-17
tới,13,18,-0.28,11.19,2025-04-17
mức,18,77,-0.77,11.1,2025-04-17
so,15,36,-0.58,10.62,2025-04-17
cơ_quan,10,9,0.11,10.56,2025-04-17
động_lực tăng_giá,3,0,5.0,10.5,2025-04-17
iii,3,0,5.0,10.5,2025-04-17
thẩm_quyền,3,0,5.0,10.5,2025-04-17
đơn_vị kiểm_toán,3,0,5.0,10.5,2025-04-17
tập_đoàn vingroup,3,0,5.0,10.5,2025-04-17
stb,3,0,5.0,10.5,2025-04-17
truyền_thông,3,0,5.0,10.5,2025-04-17
vsip,3,0,5.0,10.5,2025-04-17
rà_soát,3,0,5.0,10.5,2025-04-17
phổ_biến,3,0,5.0,10.5,2025-04-17
đồng_bộ,3,0,5.0,10.5,2025-04-17
chỉ_tiêu,3,0,5.0,10.5,2025-04-17
giai_đoạn ii,3,0,5.0,10.5,2025-04-17
chiếm ưu_thế,3,0,5.0,10.5,2025-04-17
phối_hợp chặt_chẽ,3,0,5.0,10.5,2025-04-17
địa_bàn,3,0,5.0,10.5,2025-04-17
tỉnh,3,0,5.0,10.5,2025-04-17
dữ_liệu quốc_gia về,3,0,5.0,10.5,2025-04-17
suy_giảm,3,0,5.0,10.5,2025-04-17
vinhomes,3,0,5.0,10.5,2025-04-17
