keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
biwase,75,0,5.0,262.5,2025-04-01
đại_hội,15,1,14.0,120.0,2025-04-01
tối_thiểu,15,1,14.0,120.0,2025-04-01
thường_niên 2025,17,2,7.5,80.75,2025-04-01
công_ty,72,58,0.24,80.69,2025-04-01
sài_gòn,12,1,11.0,78.0,2025-04-01
chi_trả,12,1,11.0,78.0,2025-04-01
cổ_tức,20,3,5.67,76.67,2025-04-01
2025,56,34,0.65,74.12,2025-04-01
cổ_đông,43,19,1.26,70.16,2025-04-01
đầu_tư,63,55,0.15,67.58,2025-04-01
mbs,11,1,10.0,66.0,2025-04-01
kế_hoạch,38,17,1.24,61.47,2025-04-01
tỉnh,17,0,5.0,59.5,2025-04-01
nhà_máy,17,0,5.0,59.5,2025-04-01
mã,28,9,2.11,57.56,2025-04-01
tham_gia,14,2,6.0,56.0,2025-04-01
bắc,10,1,9.0,55.0,2025-04-01
tiếp_tục,43,28,0.54,54.52,2025-04-01
nhà_nước,33,15,1.2,52.8,2025-04-01
m3ngày,15,0,5.0,52.5,2025-04-01
cấp_nước,15,0,5.0,52.5,2025-04-01
đạt,45,34,0.32,52.28,2025-04-01
công_suất,26,9,1.89,50.56,2025-04-01
nước,33,16,1.06,50.53,2025-04-01
cổ_phiếu,59,86,-0.31,49.74,2025-04-01
ngân_sách,19,5,2.8,45.6,2025-04-01
nhà_máy nước,13,0,5.0,45.5,2025-04-01
bình_dương,13,0,5.0,45.5,2025-04-01
đhđcđ thường_niên 2025,9,1,8.0,45.0,2025-04-01
so thực_hiện,9,1,8.0,45.0,2025-04-01
xử_lý,17,4,3.25,44.62,2025-04-01
phiên,38,29,0.31,43.9,2025-04-01
kinh_doanh,31,17,0.82,43.76,2025-04-01
giảm,53,84,-0.37,43.22,2025-04-01
điểm,35,24,0.46,43.02,2025-04-01
tăng,49,66,-0.26,42.69,2025-04-01
2024,40,36,0.11,42.22,2025-04-01
thị_trường,47,61,-0.23,41.61,2025-04-01
giao_dịch,34,24,0.42,41.08,2025-04-01
tỷ_lệ,25,11,1.27,40.91,2025-04-01
môi_trường,11,0,5.0,38.5,2025-04-01
thị_phần,11,0,5.0,38.5,2025-04-01
tờ_trình,8,1,7.0,36.0,2025-04-01
khách_hàng,8,1,7.0,36.0,2025-04-01
bước,8,1,7.0,36.0,2025-04-01
kế_hoạch kinh_doanh,8,1,7.0,36.0,2025-04-01
đhđcđ,15,4,2.75,35.62,2025-04-01
bằng,19,7,1.71,35.29,2025-04-01
ảnh duy,10,0,5.0,35.0,2025-04-01
ảnh,10,0,5.0,35.0,2025-04-01
duy,10,0,5.0,35.0,2025-04-01
ảnh duy bắc,10,0,5.0,35.0,2025-04-01
ngoại_tệ,10,0,5.0,35.0,2025-04-01
duy bắc,10,0,5.0,35.0,2025-04-01
cần_thơ,10,0,5.0,35.0,2025-04-01
thành,10,0,5.0,35.0,2025-04-01
nước_thải,10,0,5.0,35.0,2025-04-01
thực_hiện,28,19,0.47,34.63,2025-04-01
vay,22,11,1.0,33.0,2025-04-01
báo_cáo,22,11,1.0,33.0,2025-04-01
thông_qua,26,17,0.53,32.88,2025-04-01
thường_niên,18,7,1.57,32.14,2025-04-01
thêm,25,16,0.56,32.03,2025-04-01
rác,9,0,5.0,31.5,2025-04-01
asia,9,0,5.0,31.5,2025-04-01
rác_thải,9,0,5.0,31.5,2025-04-01
lợi_nhuận,25,18,0.39,29.86,2025-04-01
tới,23,15,0.53,29.13,2025-04-01
so,31,36,-0.14,28.85,2025-04-01
mức,37,69,-0.46,28.42,2025-04-01
thiền,8,0,5.0,28.0,2025-04-01
becamex,8,0,5.0,28.0,2025-04-01
thực_hiện 2024,7,1,6.0,28.0,2025-04-01
13,7,1,6.0,28.0,2025-04-01
công_tác,8,0,5.0,28.0,2025-04-01
tập_trung,7,1,6.0,28.0,2025-04-01
về,37,74,-0.5,27.75,2025-04-01
đơn_vị,13,4,2.25,27.62,2025-04-01
vnindex,23,17,0.35,27.06,2025-04-01
khoản,22,16,0.38,26.12,2025-04-01
phát_triển,23,19,0.21,25.42,2025-04-01
đhđcđ thường_niên,9,2,3.5,24.75,2025-04-01
idc,7,0,5.0,24.5,2025-04-01
top,7,0,5.0,24.5,2025-04-01
cần_giờ,7,0,5.0,24.5,2025-04-01
môi_giới,7,0,5.0,24.5,2025-04-01
2025 biwase,7,0,5.0,24.5,2025-04-01
nước_sạch,7,0,5.0,24.5,2025-04-01
long an,7,0,5.0,24.5,2025-04-01
becamex idc,7,0,5.0,24.5,2025-04-01
an,7,0,5.0,24.5,2025-04-01
agriseco,7,0,5.0,24.5,2025-04-01
vì_vậy,7,0,5.0,24.5,2025-04-01
hđqt,12,4,2.0,24.0,2025-04-01
trình,15,7,1.14,23.57,2025-04-01
thanh,13,5,1.6,23.4,2025-04-01
thanh khoản,13,5,1.6,23.4,2025-04-01
cơ_hội,16,9,0.78,22.22,2025-04-01
