keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
hệ_thống,40,4,9.0,220.0,2025-04-22
krx,26,2,12.0,182.0,2025-04-22
ký,31,5,5.2,111.6,2025-04-22
kỳ,19,2,8.5,99.75,2025-04-22
lưu ký,23,3,6.67,99.67,2025-04-22
lưu,23,3,6.67,99.67,2025-04-22
bsc,24,0,5.0,84.0,2025-04-22
hệ_thống krx,21,0,5.0,73.5,2025-04-22
kịch_bản,11,1,10.0,66.0,2025-04-22
thanh_toán,31,10,2.1,63.55,2025-04-22
so kỳ,17,0,5.0,59.5,2025-04-22
so,42,23,0.83,59.35,2025-04-22
thông_tư,17,3,4.67,56.67,2025-04-22
chứng_khoán,52,46,0.13,55.39,2025-04-22
sửa_đổi,10,1,9.0,55.0,2025-04-22
vay,24,7,2.43,53.14,2025-04-22
thành_viên,23,7,2.29,49.29,2025-04-22
tăng,56,74,-0.24,49.19,2025-04-22
tcbs,13,0,5.0,45.5,2025-04-22
cổ_đông,15,3,4.0,45.0,2025-04-22
dự_thảo,12,0,5.0,42.0,2025-04-22
hiện_tại,14,3,3.67,39.67,2025-04-22
hoạt_động,29,19,0.53,36.63,2025-04-22
bidv,8,1,7.0,36.0,2025-04-22
đại_hội,8,1,7.0,36.0,2025-04-22
phân_phối,8,1,7.0,36.0,2025-04-22
bù_trừ,11,2,4.5,35.75,2025-04-22
cổ_phiếu,39,56,-0.3,33.08,2025-04-22
mức,32,31,0.03,32.52,2025-04-22
etf,9,0,5.0,31.5,2025-04-22
tính_năng,9,0,5.0,31.5,2025-04-22
đạt,31,32,-0.03,30.52,2025-04-22
công_ty,30,30,0.0,30.0,2025-04-22
quy_định,19,9,1.11,29.56,2025-04-22
quyền,8,0,5.0,28.0,2025-04-22
điều_chỉnh,7,1,6.0,28.0,2025-04-22
chỉ_số,19,10,0.9,27.55,2025-04-22
quỹ,20,12,0.67,26.67,2025-04-22
thị_trường,36,80,-0.55,26.1,2025-04-22
fpt,11,3,2.67,25.67,2025-04-22
trường_hợp,7,0,5.0,24.5,2025-04-22
phát_sinh,7,0,5.0,24.5,2025-04-22
chứng_khoán bidv,7,0,5.0,24.5,2025-04-22
giao_dịch,33,69,-0.52,24.39,2025-04-22
đăng_ký,12,4,2.0,24.0,2025-04-22
tiền,19,14,0.36,22.39,2025-04-22
2025,25,36,-0.31,21.18,2025-04-22
chỉ_số vn30,6,0,5.0,21.0,2025-04-22
đối_ứng,6,1,5.0,21.0,2025-04-22
sửa_đổi bổ_sung,6,1,5.0,21.0,2025-04-22
nhận_diện,6,0,5.0,21.0,2025-04-22
vay ký quỹ,6,0,5.0,21.0,2025-04-22
23,6,1,5.0,21.0,2025-04-22
dự_báo,14,7,1.0,21.0,2025-04-22
nghiệp_vụ,6,1,5.0,21.0,2025-04-22
thiếu tiền,6,0,5.0,21.0,2025-04-22
củng_cố,6,1,5.0,21.0,2025-04-22
vay ký,6,0,5.0,21.0,2025-04-22
về,28,57,-0.51,20.88,2025-04-22
bổ_sung,11,4,1.75,20.62,2025-04-22
2024,18,14,0.29,20.57,2025-04-22
tăng_trưởng,25,40,-0.38,20.31,2025-04-22
giảm,26,52,-0.5,19.5,2025-04-22
nhà_đầu_tư,25,47,-0.47,19.15,2025-04-22
đầu,18,17,0.06,18.53,2025-04-22
nâng,19,21,-0.1,18.1,2025-04-22
ttbtc,9,3,2.0,18.0,2025-04-22
điểm,24,50,-0.52,17.76,2025-04-22
bù_trừ thanh_toán,5,0,5.0,17.5,2025-04-22
hạnh,5,0,5.0,17.5,2025-04-22
thanh_toán giao_dịch,5,0,5.0,17.5,2025-04-22
mất,5,0,5.0,17.5,2025-04-22
i2025,10,4,1.5,17.5,2025-04-22
vnindex,18,20,-0.1,17.1,2025-04-22
lợi_nhuận,19,25,-0.24,16.72,2025-04-22
mạnh,19,25,-0.24,16.72,2025-04-22
công_ty chứng_khoán,12,7,0.71,16.29,2025-04-22
sự,18,23,-0.22,16.04,2025-04-22
đà,7,2,2.5,15.75,2025-04-22
ký quỹ,7,2,2.5,15.75,2025-04-22
thiếu,7,2,2.5,15.75,2025-04-22
phiên,21,46,-0.54,15.29,2025-04-22
việt,23,72,-0.68,15.17,2025-04-22
nâng hạng,14,12,0.17,15.17,2025-04-22
hạng,14,12,0.17,15.17,2025-04-22
phát_hành,5,1,4.0,15.0,2025-04-22
tổng_giám_đốc,5,1,4.0,15.0,2025-04-22
chuẩn_bị,5,1,4.0,15.0,2025-04-22
lưu ký bù_trừ,5,1,4.0,15.0,2025-04-22
ký bù_trừ,5,1,4.0,15.0,2025-04-22
hồ_sơ,5,1,4.0,15.0,2025-04-22
chúng_tôi,5,1,4.0,15.0,2025-04-22
thường_niên,5,1,4.0,15.0,2025-04-22
sử_dụng,13,10,0.3,14.95,2025-04-22
thông_qua,8,3,1.67,14.67,2025-04-22
cho_phép,8,3,1.67,14.67,2025-04-22
cuối,11,7,0.57,14.14,2025-04-22
lưu ký chứng_khoán,4,0,5.0,14.0,2025-04-22
ký chứng_khoán,4,0,5.0,14.0,2025-04-22
môi_giới,4,0,5.0,14.0,2025-04-22
vndirect,4,0,5.0,14.0,2025-04-22
khoa_học,4,0,5.0,14.0,2025-04-22
một_số cổ_phiếu,4,0,5.0,14.0,2025-04-22
tự,4,0,5.0,14.0,2025-04-22
đạt gần,4,0,5.0,14.0,2025-04-22
đáp_ứng nhu_cầu,4,0,5.0,14.0,2025-04-22
y_tế,4,0,5.0,14.0,2025-04-22
đhđcđ,4,0,5.0,14.0,2025-04-22
thanh_toán giao_dịch chứng_khoán,4,0,5.0,14.0,2025-04-22
khả_năng thanh_toán,4,0,5.0,14.0,2025-04-22
ceo,4,0,5.0,14.0,2025-04-22
lợi_nhuận đạt,4,0,5.0,14.0,2025-04-22
hana,4,0,5.0,14.0,2025-04-22
tính_năng hệ_thống,4,0,5.0,14.0,2025-04-22
triển_vọng nâng,4,0,5.0,14.0,2025-04-22
triển_vọng nâng hạng,4,0,5.0,14.0,2025-04-22
phs,4,0,5.0,14.0,2025-04-22
dư_nợ vay,4,0,5.0,14.0,2025-04-22
đồng_thời,10,6,0.67,13.33,2025-04-22
gần,15,21,-0.29,12.86,2025-04-22
thông_tin,14,17,-0.18,12.76,2025-04-22
một_số,9,5,0.8,12.6,2025-04-22
ghi_nhận,14,18,-0.22,12.44,2025-04-22
hỗ_trợ,11,9,0.22,12.22,2025-04-22
nhu_cầu,8,4,1.0,12.0,2025-04-22
thành_lập,6,2,2.0,12.0,2025-04-22
đảm_bảo,8,4,1.0,12.0,2025-04-22
40,6,2,2.0,12.0,2025-04-22
tổ_chức,16,33,-0.52,11.88,2025-04-22
vn30,13,16,-0.19,11.78,2025-04-22
tài_chính,18,64,-0.72,11.53,2025-04-22
đáp_ứng,9,6,0.5,11.25,2025-04-22
phù_hợp,10,8,0.25,11.25,2025-04-22
tích_cực,13,18,-0.28,11.19,2025-04-22
thị_trường_chứng_khoán,13,18,-0.28,11.19,2025-04-22
doanh_thu,12,15,-0.2,10.8,2025-04-22
miền bắc,3,0,5.0,10.5,2025-04-22
trụ_cột,3,0,5.0,10.5,2025-04-22
kịch_bản tích_cực,3,0,5.0,10.5,2025-04-22
làm_việc,3,0,5.0,10.5,2025-04-22
dự_báo tăng_trưởng,3,0,5.0,10.5,2025-04-22
dự_thảo sửa_đổi,3,0,5.0,10.5,2025-04-22
trung_tâm tài_chính,3,0,5.0,10.5,2025-04-22
phó,3,0,5.0,10.5,2025-04-22
thực_hiện quyền,3,0,5.0,10.5,2025-04-22
otc,3,0,5.0,10.5,2025-04-22
danh_mục sản_phẩm,3,0,5.0,10.5,2025-04-22
bù_trừ thanh_toán giao_dịch,3,0,5.0,10.5,2025-04-22
công_ty quản_lý quỹ,3,0,5.0,10.5,2025-04-22
công_ty quản_lý,3,0,5.0,10.5,2025-04-22
cổ_tức,3,0,5.0,10.5,2025-04-22
quản_lý quỹ,3,0,5.0,10.5,2025-04-22
giai_đoạn sắp tới,3,0,5.0,10.5,2025-04-22
sớm,3,0,5.0,10.5,2025-04-22
miền,3,0,5.0,10.5,2025-04-22
giai_đoạn sắp,3,0,5.0,10.5,2025-04-22
tự doanh,3,0,5.0,10.5,2025-04-22
mã,14,28,-0.5,10.5,2025-04-22
bắc,3,0,5.0,10.5,2025-04-22
định,3,0,5.0,10.5,2025-04-22
giải_thích,3,0,5.0,10.5,2025-04-22
2024 lợi_nhuận,3,0,5.0,10.5,2025-04-22
diễn,3,0,5.0,10.5,2025-04-22
ký quỹ ứng,3,0,5.0,10.5,2025-04-22
tcbs tiếp_tục,3,0,5.0,10.5,2025-04-22
fed,3,0,5.0,10.5,2025-04-22
quy_định về,3,0,5.0,10.5,2025-04-22
21,3,0,5.0,10.5,2025-04-22
