keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
cá_nhân,64,1,63.0,2080.0,2025-05-02
tài_chính,110,10,10.0,660.0,2025-05-02
công_ty chứng_khoán,31,1,30.0,496.0,2025-05-02
kinh_tế,37,3,11.33,246.67,2025-05-02
ký,42,4,9.5,241.5,2025-05-02
chứng_khoán,80,18,3.44,217.78,2025-05-02
lưu ký,36,4,8.0,180.0,2025-05-02
lưu,36,4,8.0,180.0,2025-05-02
tài_chính cá_nhân,39,0,5.0,136.5,2025-05-02
vay,16,1,15.0,136.0,2025-05-02
tài_sản,29,4,6.25,119.62,2025-05-02
hoạt_động,47,12,2.92,115.54,2025-05-02
ký bù_trừ chứng_khoán,13,1,12.0,91.0,2025-05-02
tổng_công_ty lưu,13,1,12.0,91.0,2025-05-02
tổng_công_ty lưu ký,13,1,12.0,91.0,2025-05-02
bù_trừ chứng_khoán việt,13,1,12.0,91.0,2025-05-02
bù_trừ chứng_khoán,13,1,12.0,91.0,2025-05-02
bidv,25,0,5.0,87.5,2025-05-02
việt,50,23,1.17,79.35,2025-05-02
phát_triển,35,10,2.5,78.75,2025-05-02
vai_trò,12,1,11.0,78.0,2025-05-02
nợ,12,1,11.0,78.0,2025-05-02
gia_đình,21,0,5.0,73.5,2025-05-02
về,58,39,0.49,72.13,2025-05-02
đầu_tư,52,31,0.68,69.61,2025-05-02
tăng,65,60,0.08,67.71,2025-05-02
tổ_chức,32,10,2.2,67.2,2025-05-02
tự,19,0,5.0,66.5,2025-05-02
tự doanh,19,0,5.0,66.5,2025-05-02
doanh,19,0,5.0,66.5,2025-05-02
lãi,21,4,4.25,65.62,2025-05-02
giáo_dục,18,0,5.0,63.0,2025-05-02
liên_quan,14,2,6.0,56.0,2025-05-02
nền,14,2,6.0,56.0,2025-05-02
chứng_khoán việt,14,2,6.0,56.0,2025-05-02
hóa,10,1,9.0,55.0,2025-05-02
công_nghệ,19,4,3.75,54.62,2025-05-02
dân,15,0,5.0,52.5,2025-05-02
ký bù_trừ,13,2,5.5,48.75,2025-05-02
lưu ký bù_trừ,13,2,5.5,48.75,2025-05-02
bù_trừ,13,2,5.5,48.75,2025-05-02
tương_đương,13,2,5.5,48.75,2025-05-02
tham_gia,13,2,5.5,48.75,2025-05-02
công_ty,52,61,-0.15,48.16,2025-05-02
nhà_đầu_tư,26,10,1.6,46.8,2025-05-02
rủi_ro,9,1,8.0,45.0,2025-05-02
tăng_trưởng,26,11,1.36,43.73,2025-05-02
