keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
cổ_phiếu,83,14,4.93,287.54,2025-05-13
mạnh,51,5,9.2,285.6,2025-05-13
giao_dịch,100,25,3.0,250.0,2025-05-13
nhóm,51,6,7.5,242.25,2025-05-13
tổng giá_trị,20,1,19.0,210.0,2025-05-13
tăng,98,34,1.88,190.24,2025-05-13
giao_thông,19,1,18.0,190.0,2025-05-13
giá_trị,66,14,3.71,188.57,2025-05-13
42025,18,1,17.0,171.0,2025-05-13
phiên,53,10,4.3,166.95,2025-05-13
ròng,30,3,9.0,165.0,2025-05-13
tỷ_trọng,17,1,16.0,153.0,2025-05-13
sự_nghiệp,17,1,16.0,153.0,2025-05-13
tăng mạnh,16,1,15.0,136.0,2025-05-13
vnindex,27,3,8.0,135.0,2025-05-13
điểm,44,9,3.89,129.56,2025-05-13
so,55,16,2.44,122.03,2025-05-13
vận_hành,21,2,9.5,120.75,2025-05-13
toàn_thị_trường,15,1,14.0,120.0,2025-05-13
bình_quân,15,1,14.0,120.0,2025-05-13
hệ_thống,58,19,2.05,117.53,2025-05-13
thị_trường,63,27,1.33,105.0,2025-05-13
giảm,54,20,1.7,99.9,2025-05-13
thanh khoản,19,2,8.5,99.75,2025-05-13
khối_lượng,18,2,8.0,90.0,2025-05-13
đạt,47,17,1.76,88.47,2025-05-13
giá_trị giao_dịch,25,0,5.0,87.5,2025-05-13
ưu_đãi,24,0,5.0,84.0,2025-05-13
krx,17,2,7.5,80.75,2025-05-13
tổng,28,6,3.67,79.33,2025-05-13
thông_minh,12,1,11.0,78.0,2025-05-13
lãi,12,1,11.0,78.0,2025-05-13
thanh,20,3,5.67,76.67,2025-05-13
chứng_khoán,60,41,0.46,73.9,2025-05-13
ctcp,19,3,5.33,69.67,2025-05-13
khoản,34,11,2.09,69.55,2025-05-13
thu_nhập,31,10,2.1,63.55,2025-05-13
phiên giao_dịch,17,0,5.0,59.5,2025-05-13
doanh_nghiệp,56,51,0.1,58.75,2025-05-13
khoảng,17,3,4.67,56.67,2025-05-13
kho_bạc,16,0,5.0,56.0,2025-05-13
mức,43,27,0.59,55.74,2025-05-13
mã,32,13,1.46,55.38,2025-05-13
đà tăng,10,1,9.0,55.0,2025-05-13
xử_lý,10,1,9.0,55.0,2025-05-13
lần_lượt,10,1,9.0,55.0,2025-05-13
vùng,19,4,3.75,54.62,2025-05-13
chiếm,19,4,3.75,54.62,2025-05-13
công_nghệ,28,10,1.8,53.2,2025-05-13
kho_bạc nhà_nước,15,0,5.0,52.5,2025-05-13
