keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
hệ_thống,40,4,9.0,220.0,2025-04-19
krx,26,2,12.0,182.0,2025-04-19
ký,31,5,5.2,111.6,2025-04-19
bổ_sung,14,1,13.0,105.0,2025-04-19
lưu ký,23,3,6.67,99.67,2025-04-19
lưu,23,3,6.67,99.67,2025-04-19
fpt,13,1,12.0,91.0,2025-04-19
bsc,24,0,5.0,84.0,2025-04-19
quy_định,25,5,4.0,75.0,2025-04-19
hệ_thống krx,21,0,5.0,73.5,2025-04-19
cổ_phiếu,60,42,0.43,72.86,2025-04-19
thanh_toán,31,10,2.1,63.55,2025-04-19
cổ_đông,17,0,5.0,59.5,2025-04-19
thông_tư,17,3,4.67,56.67,2025-04-19
chứng_khoán,53,48,0.1,55.76,2025-04-19
sửa_đổi,10,1,9.0,55.0,2025-04-19
bảo_hiểm xã_hội,10,1,9.0,55.0,2025-04-19
vay,25,8,2.12,51.56,2025-04-19
thành_viên,23,7,2.29,49.29,2025-04-19
xác_định,13,2,5.5,48.75,2025-04-19
tcbs,13,0,5.0,45.5,2025-04-19
giảm,47,55,-0.15,43.58,2025-04-19
tăng,52,81,-0.36,42.69,2025-04-19
apg,12,0,5.0,42.0,2025-04-19
dự_thảo,12,0,5.0,42.0,2025-04-19
điểm,42,43,-0.02,41.51,2025-04-19
phiên,38,36,0.06,39.06,2025-04-19
land,11,0,5.0,38.5,2025-04-19
bidv,8,1,7.0,36.0,2025-04-19
14,8,1,7.0,36.0,2025-04-19
phân_phối,8,1,7.0,36.0,2025-04-19
quy_mô,8,1,7.0,36.0,2025-04-19
bù_trừ,11,2,4.5,35.75,2025-04-19
khải_hoàn,10,0,5.0,35.0,2025-04-19
khải_hoàn land,10,0,5.0,35.0,2025-04-19
giao_dịch,43,74,-0.42,33.99,2025-04-19
quỹ,22,11,1.0,33.0,2025-04-19
so,33,34,-0.03,32.51,2025-04-19
tính_năng,9,0,5.0,31.5,2025-04-19
etf,9,0,5.0,31.5,2025-04-19
công_ty,29,31,-0.06,28.06,2025-04-19
