keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
hệ_thống,67,4,15.75,594.62,2025-05-15
vận_hành,30,1,29.0,465.0,2025-05-15
chính_sách,22,1,21.0,253.0,2025-05-15
krx,27,2,12.5,195.75,2025-05-15
thu_nhập,31,5,5.2,111.6,2025-05-15
công,14,1,13.0,105.0,2025-05-15
hỗ_trợ,19,2,8.5,99.75,2025-05-15
diễn,13,1,12.0,91.0,2025-05-15
công_nghệ,29,6,3.83,84.58,2025-05-15
ưu_đãi,24,0,5.0,84.0,2025-05-15
đàm_phán,12,1,11.0,78.0,2025-05-15
trừ,12,1,11.0,78.0,2025-05-15
giao_dịch,68,66,0.03,69.03,2025-05-15
giao_thông,19,0,5.0,66.5,2025-05-15
lệnh,11,1,10.0,66.0,2025-05-15
sản_phẩm,18,3,5.0,63.0,2025-05-15
ngoại,18,3,5.0,63.0,2025-05-15
phiên,48,30,0.6,62.4,2025-05-15
sự_nghiệp,17,0,5.0,59.5,2025-05-15
mỹ,10,1,9.0,55.0,2025-05-15
hệ_thống giao_dịch,10,1,9.0,55.0,2025-05-15
tăng,61,80,-0.24,53.76,2025-05-15
công_ty,59,79,-0.25,51.53,2025-05-15
tài_khoản,22,6,2.67,51.33,2025-05-15
nghị_quyết,14,0,5.0,49.0,2025-05-15
cổ_phiếu,52,59,-0.12,48.92,2025-05-15
chứng_khoán,50,55,-0.09,47.73,2025-05-15
dịch_vụ,36,22,0.64,47.45,2025-05-15
hoàn,13,0,5.0,45.5,2025-05-15
đơn_vị,15,3,4.0,45.0,2025-05-15
ổn_định,15,3,4.0,45.0,2025-05-15
điểm,36,24,0.5,45.0,2025-05-15
thuế_quan,9,1,8.0,45.0,2025-05-15
thị_trường,46,49,-0.06,44.59,2025-05-15
bộ_trưởng,20,6,2.33,43.33,2025-05-15
thông_minh,12,0,5.0,42.0,2025-05-15
vùng,18,5,2.6,41.4,2025-05-15
tích_cực,22,8,1.75,41.25,2025-05-15
vnindex,24,10,1.4,40.8,2025-05-15
mục_tiêu,16,4,3.0,40.0,2025-05-15
giá_trị gia_tăng,16,4,3.0,40.0,2025-05-15
tâm_lý,14,3,3.67,39.67,2025-05-15
khối ngoại,14,3,3.67,39.67,2025-05-15
ròng,29,17,0.71,39.24,2025-05-15
giảm,41,46,-0.11,38.77,2025-05-15
gói thầu,11,0,5.0,38.5,2025-05-15
gói,11,0,5.0,38.5,2025-05-15
thầu,11,0,5.0,38.5,2025-05-15
kỳ_vọng,11,0,5.0,38.5,2025-05-15
đảm_bảo,23,10,1.3,37.95,2025-05-15
doanh_nghiệp,43,59,-0.27,37.17,2025-05-15
ngắn_hạn,8,1,7.0,36.0,2025-05-15
giảm giá_trị,8,1,7.0,36.0,2025-05-15
vnindex tăng,8,1,7.0,36.0,2025-05-15
thúc_đẩy,11,2,4.5,35.75,2025-05-15
lĩnh_vực,19,7,1.71,35.29,2025-05-15
tổng_giám_đốc,10,0,5.0,35.0,2025-05-15
chi,10,0,5.0,35.0,2025-05-15
xử_lý,10,0,5.0,35.0,2025-05-15
tính,20,8,1.5,35.0,2025-05-15
shs,13,3,3.33,34.67,2025-05-15
tăng_trưởng,13,3,3.33,34.67,2025-05-15
mạnh,31,28,0.11,32.66,2025-05-15
phát_triển,23,13,0.77,31.85,2025-05-15
khoản,27,20,0.35,31.72,2025-05-15
tiên_phong,9,0,5.0,31.5,2025-05-15
pinetree,9,0,5.0,31.5,2025-05-15
khoản chi,9,0,5.0,31.5,2025-05-15
về,37,56,-0.34,30.72,2025-05-15
chính_thức,12,3,3.0,30.0,2025-05-15
chuyển_đổi,10,2,4.0,30.0,2025-05-15
cung_cấp,12,3,3.0,30.0,2025-05-15
hệ_thống krx,10,2,4.0,30.0,2025-05-15
mở,15,5,2.0,30.0,2025-05-15
giá_trị,37,60,-0.38,29.91,2025-05-15
có_thể,16,6,1.67,29.33,2025-05-15
kinh_tế,18,8,1.25,29.25,2025-05-15
nhà_đầu_tư,28,26,0.08,29.08,2025-05-15
triển_khai,21,12,0.75,28.88,2025-05-15
thuế_suất,8,0,5.0,28.0,2025-05-15
kháng_cự,7,1,6.0,28.0,2025-05-15
địa_bàn,8,0,5.0,28.0,2025-05-15
thị_trường_chứng_khoán,22,15,0.47,27.13,2025-05-15
luật,26,24,0.08,27.08,2025-05-15
chi_phí,14,5,1.8,26.6,2025-05-15
đưa,14,5,1.8,26.6,2025-05-15
tới,23,18,0.28,26.19,2025-05-15
đầu_tư,25,23,0.09,26.09,2025-05-15
quá_trình,11,3,2.67,25.67,2025-05-15
khoa_học,11,3,2.67,25.67,2025-05-15
gia_tăng,18,10,0.8,25.2,2025-05-15
quốc_hội,21,15,0.4,25.2,2025-05-15
sản_xuất,9,2,3.5,24.75,2025-05-15
nội_dung,9,2,3.5,24.75,2025-05-15
