keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
trái_phiếu doanh_nghiệp,17,1,16.0,153.0,2025-05-08
hộ,23,2,10.5,143.75,2025-05-08
f88,37,0,5.0,129.5,2025-05-08
trái_phiếu,78,35,1.23,125.91,2025-05-08
kinh_doanh,48,14,2.43,106.29,2025-05-08
ủy_ban,24,4,5.0,84.0,2025-05-08
luật,24,4,5.0,84.0,2025-05-08
nhóm,32,8,3.0,80.0,2025-05-08
doanh_nghiệp,51,24,1.12,79.69,2025-05-08
quản_lý,28,6,3.67,79.33,2025-05-08
kỳ_hạn,12,1,11.0,78.0,2025-05-08
riêng_lẻ,23,4,4.75,77.62,2025-05-08
công_ty,74,77,-0.04,72.56,2025-05-08
phát_hành,52,32,0.62,68.25,2025-05-08
mức,38,15,1.53,67.13,2025-05-08
sửa_đổi,21,4,4.25,65.62,2025-05-08
quy_định,41,19,1.16,64.74,2025-05-08
tăng,62,67,-0.07,59.69,2025-05-08
phát_hành trái_phiếu,22,5,3.4,59.4,2025-05-08
so,41,22,0.86,58.7,2025-05-08
mặt_trời,10,1,9.0,55.0,2025-05-08
phạt,10,1,9.0,55.0,2025-05-08
chính_phủ,21,5,3.2,54.6,2025-05-08
quốc_hội,15,0,5.0,52.5,2025-05-08
trái_phiếu riêng_lẻ,15,0,5.0,52.5,2025-05-08
dịch_vụ,22,6,2.67,51.33,2025-05-08
giao_dịch,40,26,0.54,50.77,2025-05-08
ngân_hàng,29,13,1.23,46.85,2025-05-08
bộ tài_chính,15,3,4.0,45.0,2025-05-08
giá_trị phát_hành,9,1,8.0,45.0,2025-05-08
về,50,70,-0.29,42.86,2025-05-08
vinpearl,12,0,5.0,42.0,2025-05-08
đại_chúng,12,2,5.0,42.0,2025-05-08
phi,12,0,5.0,42.0,2025-05-08
tài_chính,56,113,-0.5,41.88,2025-05-08
bộ,18,5,2.6,41.4,2025-05-08
phiên,26,13,1.0,39.0,2025-05-08
phi ngân_hàng,11,0,5.0,38.5,2025-05-08
nợ,25,13,0.92,36.54,2025-05-08
giá_trị,34,30,0.13,36.27,2025-05-08
đầy_đủ,8,1,7.0,36.0,2025-05-08
công_chúng,8,1,7.0,36.0,2025-05-08
công_ty đại_chúng,11,2,4.5,35.75,2025-05-08
chứng_khoán,46,84,-0.45,35.6,2025-05-08
luật quản_lý,10,0,5.0,35.0,2025-05-08
đề_xuất,10,0,5.0,35.0,2025-05-08
mã,24,13,0.85,34.15,2025-05-08
giảm,36,43,-0.16,33.07,2025-05-08
tiền,24,15,0.6,31.2,2025-05-08
đạt,30,29,0.03,30.52,2025-05-08
chủ_sở_hữu,10,2,4.0,30.0,2025-05-08
đường,10,2,4.0,30.0,2025-05-08
chứng_chỉ,10,2,4.0,30.0,2025-05-08
khoảng,12,3,3.0,30.0,2025-05-08
hạn,12,3,3.0,30.0,2025-05-08
đối_với,24,17,0.41,28.94,2025-05-08
bên cạnh,7,1,6.0,28.0,2025-05-08
phát_hành trái_phiếu doanh_nghiệp,8,0,5.0,28.0,2025-05-08
nộp,8,0,5.0,28.0,2025-05-08
minh_bạch,7,1,6.0,28.0,2025-05-08
dòng tiền,7,1,6.0,28.0,2025-05-08
cạnh,7,1,6.0,28.0,2025-05-08
rửa tiền,8,0,5.0,28.0,2025-05-08
rửa,8,0,5.0,28.0,2025-05-08
bị phạt,7,1,6.0,28.0,2025-05-08
thị_trường,30,36,-0.17,27.5,2025-05-08
báo_cáo,24,19,0.26,27.16,2025-05-08
quỹ,23,17,0.35,27.06,2025-05-08
bất_động_sản,18,9,1.0,27.0,2025-05-08
ngành,14,5,1.8,26.6,2025-05-08
nhà_nước,23,18,0.28,26.19,2025-05-08
bổ_sung,19,11,0.73,25.91,2025-05-08
tổng giá_trị,11,3,2.67,25.67,2025-05-08
thực_hiện,27,30,-0.1,25.65,2025-05-08
nđcp,9,2,3.5,24.75,2025-05-08
ý_kiến,9,2,3.5,24.75,2025-05-08
điều_kiện,17,9,0.89,24.56,2025-05-08
trái_phiếu chính_phủ,7,0,5.0,24.5,2025-05-08
phòng_chống,7,0,5.0,24.5,2025-05-08
hệ_số,7,0,5.0,24.5,2025-05-08
nâng hạng,7,0,5.0,24.5,2025-05-08
hạng,7,0,5.0,24.5,2025-05-08
cơ_quan_thuế,7,0,5.0,24.5,2025-05-08
doanh_thu,20,14,0.43,24.29,2025-05-08
sửa_đổi bổ_sung,12,4,2.0,24.0,2025-05-08
sự,25,28,-0.11,23.66,2025-05-08
gần,15,7,1.14,23.57,2025-05-08
thị_trường_chứng_khoán,15,7,1.14,23.57,2025-05-08
điểm,21,17,0.24,23.47,2025-05-08
tổng,20,16,0.25,22.5,2025-05-08
nghị_định,10,3,2.33,21.67,2025-05-08
dịch_vụ tài_chính,10,3,2.33,21.67,2025-05-08
mở_rộng,10,3,2.33,21.67,2025-05-08
chứng_khoán nhà_nước,10,3,2.33,21.67,2025-05-08
cổ_phiếu,25,36,-0.31,21.18,2025-05-08
