keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
chính_sách,22,1,21.0,253.0,2025-05-18
quốc_hội,21,1,20.0,231.0,2025-05-18
luật,26,2,12.0,182.0,2025-05-18
cổ_tức,39,0,5.0,136.5,2025-05-18
chi_phí,15,1,14.0,120.0,2025-05-18
cấp,26,4,5.5,97.5,2025-05-18
ưu_đãi,24,0,5.0,84.0,2025-05-18
apg,24,0,5.0,84.0,2025-05-18
kinh_tế,17,2,7.5,80.75,2025-05-18
đơn_vị,28,6,3.67,79.33,2025-05-18
chi,12,1,11.0,78.0,2025-05-18
nghiên_cứu,12,1,11.0,78.0,2025-05-18
dự_án,12,1,11.0,78.0,2025-05-18
tiền_mặt,22,0,5.0,77.0,2025-05-18
doanh_nghiệp,48,25,0.92,70.08,2025-05-18
cổ_đông,28,7,3.0,70.0,2025-05-18
bộ_trưởng,20,0,5.0,70.0,2025-05-18
công,20,0,5.0,70.0,2025-05-18
cổ_phiếu,68,70,-0.03,67.03,2025-05-18
giao_thông,19,0,5.0,66.5,2025-05-18
thu_nhập,25,6,3.17,64.58,2025-05-18
quản_lý,23,5,3.6,64.4,2025-05-18
đối_với,15,2,6.5,63.75,2025-05-18
chia,18,0,5.0,63.0,2025-05-18
tăng,69,92,-0.25,60.38,2025-05-18
sự_nghiệp,17,0,5.0,59.5,2025-05-18
thực_hiện,28,9,2.11,57.56,2025-05-18
phiên,52,43,0.21,57.44,2025-05-18
giảm,53,47,0.13,56.38,2025-05-18
giá_trị gia_tăng,16,0,5.0,56.0,2025-05-18
cơ_quan,14,2,6.0,56.0,2025-05-18
địa_bàn,10,1,9.0,55.0,2025-05-18
tài_sản,21,5,3.2,54.6,2025-05-18
công_ty,58,71,-0.18,52.69,2025-05-18
tỉnh,15,0,5.0,52.5,2025-05-18
bằng,16,3,4.33,50.67,2025-05-18
đồngcổ,18,4,3.5,49.5,2025-05-18
tỷ_lệ,23,7,2.29,49.29,2025-05-18
nghị_quyết,14,0,5.0,49.0,2025-05-18
quy_định,21,6,2.5,47.25,2025-05-18
gia_tăng,19,5,2.8,45.6,2025-05-18
xã,13,0,5.0,45.5,2025-05-18
bổ_sung,15,3,4.0,45.0,2025-05-18
áp_dụng,9,1,8.0,45.0,2025-05-18
ban_hành,9,1,8.0,45.0,2025-05-18
chia cổ_tức,12,0,5.0,42.0,2025-05-18
trừ,12,0,5.0,42.0,2025-05-18
ý_kiến,12,0,5.0,42.0,2025-05-18
thông_minh,12,0,5.0,42.0,2025-05-18
dự_thảo,12,0,5.0,42.0,2025-05-18
khoản,32,20,0.6,41.6,2025-05-18
dịch_vụ,35,27,0.3,40.19,2025-05-18
đồngcổ phiếu,16,4,3.0,40.0,2025-05-18
lĩnh_vực,19,6,2.17,39.58,2025-05-18
chi_trả,11,0,5.0,38.5,2025-05-18
hành_chính,11,0,5.0,38.5,2025-05-18
gói thầu,11,0,5.0,38.5,2025-05-18
thầu,11,0,5.0,38.5,2025-05-18
tiếp_nhận,11,0,5.0,38.5,2025-05-18
gói,11,0,5.0,38.5,2025-05-18
khoa_học,11,0,5.0,38.5,2025-05-18
dự_kiến,22,9,1.44,37.89,2025-05-18
hoạt_động,29,19,0.53,36.63,2025-05-18
giảm giá_trị,8,1,7.0,36.0,2025-05-18
họp,8,1,7.0,36.0,2025-05-18
khoản chi,8,1,7.0,36.0,2025-05-18
báo_cáo tài_chính,8,1,7.0,36.0,2025-05-18
sản_xuất,8,1,7.0,36.0,2025-05-18
investment,8,1,7.0,36.0,2025-05-18
giao_dịch,47,92,-0.49,35.51,2025-05-18
tiên_phong,10,0,5.0,35.0,2025-05-18
đầu_tư,31,25,0.24,34.72,2025-05-18
điểm,36,39,-0.08,34.62,2025-05-18
phiếu,17,6,1.83,32.58,2025-05-18
về,35,43,-0.19,31.74,2025-05-18
cổ_tức bằng,9,0,5.0,31.5,2025-05-18
cổ_tức tiền_mặt,9,0,5.0,31.5,2025-05-18
đại_biểu,9,0,5.0,31.5,2025-05-18
bb,9,0,5.0,31.5,2025-05-18
nội_dung,9,0,5.0,31.5,2025-05-18
giá_trị,38,61,-0.38,30.84,2025-05-18
công_nghệ,21,11,0.91,30.55,2025-05-18
tài_chính,34,43,-0.21,30.44,2025-05-18
kế_hoạch,23,14,0.64,30.39,2025-05-18
thu,12,3,3.0,30.0,2025-05-18
thị_trường,36,60,-0.4,28.8,2025-05-18
thuế_suất,8,0,5.0,28.0,2025-05-18
dự_thảo luật,8,0,5.0,28.0,2025-05-18
sản_xuất kinh_doanh,7,1,6.0,28.0,2025-05-18
biến_động,8,0,5.0,28.0,2025-05-18
bằng tiền_mặt,8,0,5.0,28.0,2025-05-18
xã_hội,7,1,6.0,28.0,2025-05-18
pando,8,0,5.0,28.0,2025-05-18
pando investment,8,0,5.0,28.0,2025-05-18
quyết_định,7,1,6.0,28.0,2025-05-18
thông_qua,7,1,6.0,28.0,2025-05-18
fpt,7,1,6.0,28.0,2025-05-18
nhưng,13,4,2.25,27.62,2025-05-18
chịu,13,4,2.25,27.62,2025-05-18
