keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
doanh_nghiệp,68,13,4.23,211.85,2025-04-07
việt,76,20,2.8,182.4,2025-04-07
msb,17,1,16.0,153.0,2025-04-07
mỹ,39,7,4.57,128.14,2025-04-07
thị_trường,94,62,0.52,118.26,2025-04-07
ngành,35,8,3.38,94.06,2025-04-07
xuất_khẩu,18,2,8.0,90.0,2025-04-07
tăng,77,62,0.24,86.31,2025-04-07
mức,70,48,0.46,86.04,2025-04-07
nước_ngoài,17,2,7.5,80.75,2025-04-07
trái_phiếu doanh_nghiệp,17,2,7.5,80.75,2025-04-07
tài_sản,12,1,11.0,78.0,2025-04-07
đầu,39,13,2.0,78.0,2025-04-07
bộ,29,7,3.14,74.57,2025-04-07
giảm,66,57,0.16,71.21,2025-04-07
nhà_đầu_tư,38,14,1.71,70.57,2025-04-07
tổng_thống,11,1,10.0,66.0,2025-04-07
có_thể,42,24,0.75,57.75,2025-04-07
tăng_trưởng,37,18,1.06,56.53,2025-04-07
hoàn,10,1,9.0,55.0,2025-04-07
tcbs,15,0,5.0,52.5,2025-04-07
bất_động_sản,22,6,2.67,51.33,2025-04-07
về,56,69,-0.19,50.72,2025-04-07
đàm_phán,14,0,5.0,49.0,2025-04-07
nhóm ngành,13,2,5.5,48.75,2025-04-07
trump,13,2,5.5,48.75,2025-04-07
áp,13,2,5.5,48.75,2025-04-07
so,43,42,0.02,43.51,2025-04-07
chi,21,7,2.0,42.0,2025-04-07
vấn_đề,18,5,2.6,41.4,2025-04-07
chính_phủ,23,9,1.56,40.89,2025-04-07
giá_trị,29,16,0.81,40.78,2025-04-07
điểm,39,36,0.08,40.62,2025-04-07
tới,33,24,0.38,39.19,2025-04-07
trái_phiếu,38,36,0.06,39.06,2025-04-07
đạt,43,55,-0.22,38.31,2025-04-07
thông_tin,26,14,0.86,37.14,2025-04-07
cổ_phiếu,48,88,-0.45,37.09,2025-04-07
thế_giới,8,1,7.0,36.0,2025-04-07
donald,8,1,7.0,36.0,2025-04-07
thị_trường_chứng_khoán việt,8,1,7.0,36.0,2025-04-07
công_nghiệp,11,2,4.5,35.75,2025-04-07
lãi,19,7,1.71,35.29,2025-04-07
thứ_trưởng,10,0,5.0,35.0,2025-04-07
nhóm,29,22,0.32,33.61,2025-04-07
thị_trường_chứng_khoán,28,21,0.33,32.67,2025-04-07
thương_mại,21,10,1.1,32.55,2025-04-07
tài_chính,38,54,-0.3,32.37,2025-04-07
tâm_lý,18,7,1.57,32.14,2025-04-07
bộ tài_chính,18,7,1.57,32.14,2025-04-07
2025,39,61,-0.36,31.97,2025-04-07
thuế_quan,14,4,2.5,31.5,2025-04-07
nhà_đầu_tư nước_ngoài,9,0,5.0,31.5,2025-04-07
giao_dịch,33,37,-0.11,31.22,2025-04-07
kỳ,22,12,0.83,31.17,2025-04-07
chính_sách,21,11,0.91,30.55,2025-04-07
giai_đoạn,22,13,0.69,29.62,2025-04-07
công_ty,40,91,-0.56,28.79,2025-04-07
hướng,7,1,6.0,28.0,2025-04-07
tổng giá_trị,8,0,5.0,28.0,2025-04-07
phát_triển đô_thị,8,0,5.0,28.0,2025-04-07
chỉ_đạo,7,1,6.0,28.0,2025-04-07
home,8,0,5.0,28.0,2025-04-07
cải_thiện,7,1,6.0,28.0,2025-04-07
ctcp phát_triển,8,0,5.0,28.0,2025-04-07
liên_tục,7,1,6.0,28.0,2025-04-07
donald trump,7,1,6.0,28.0,2025-04-07
đầu_tư,36,73,-0.51,26.88,2025-04-07
ctcp,14,5,1.8,26.6,2025-04-07
ngắn_hạn,9,2,3.5,24.75,2025-04-07
46,9,2,3.5,24.75,2025-04-07
tăng_trưởng tín_dụng,7,0,5.0,24.5,2025-04-07
kỹ_thuật,7,0,5.0,24.5,2025-04-07
nội_địa,7,0,5.0,24.5,2025-04-07
khu_công_nghiệp,7,0,5.0,24.5,2025-04-07
tác_động,20,14,0.43,24.29,2025-04-07
tương_đương,12,4,2.0,24.0,2025-04-07
đánh_giá,13,5,1.6,23.4,2025-04-07
kinh_tế,19,13,0.46,23.38,2025-04-07
nâng hạng,14,6,1.33,23.33,2025-04-07
hạng,14,6,1.33,23.33,2025-04-07
phiên,27,38,-0.29,23.09,2025-04-07
chuyên_gia,10,3,2.33,21.67,2025-04-07
quốc_gia,10,3,2.33,21.67,2025-04-07
tích_cực,19,15,0.27,21.53,2025-04-07
cổ_tức,21,20,0.05,21.52,2025-04-07
tỷ_lệ,23,27,-0.15,21.3,2025-04-07
gần,23,27,-0.15,21.3,2025-04-07
vnindex,22,24,-0.08,21.08,2025-04-07
chỉ_số vnindex,6,1,5.0,21.0,2025-04-07
