keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
trái_phiếu doanh_nghiệp,18,3,5.0,63.0,2025-04-03
cổ_tức,27,9,2.0,54.0,2025-04-03
tcbs,15,0,5.0,52.5,2025-04-03
cổ_phiếu,63,95,-0.34,52.39,2025-04-03
tăng,58,79,-0.27,50.29,2025-04-03
thương_mại,13,2,5.5,48.75,2025-04-03
thị_trường,54,74,-0.27,46.7,2025-04-03
ngân_sách,19,5,2.8,45.6,2025-04-03
ngoại_tệ,9,1,8.0,45.0,2025-04-03
nhà_nước,31,17,0.82,43.76,2025-04-03
giao_dịch,38,32,0.19,41.56,2025-04-03
2023,18,6,2.0,36.0,2025-04-03
ctcp phát_triển,8,1,7.0,36.0,2025-04-03
công_nghiệp,11,2,4.5,35.75,2025-04-03
giảm,45,97,-0.54,32.94,2025-04-03
asia,9,0,5.0,31.5,2025-04-03
phiên,35,44,-0.2,31.42,2025-04-03
so,35,45,-0.22,31.11,2025-04-03
điểm,32,37,-0.14,29.84,2025-04-03
doanh_nghiệp,30,31,-0.03,29.52,2025-04-03
phát_triển đô_thị,8,0,5.0,28.0,2025-04-03
credit,8,0,5.0,28.0,2025-04-03
home,8,0,5.0,28.0,2025-04-03
trái_phiếu,36,70,-0.49,27.26,2025-04-03
tới,26,25,0.04,26.52,2025-04-03
giá_trị,24,22,0.09,25.09,2025-04-03
agriseco,7,0,5.0,24.5,2025-04-03
vay,22,19,0.16,23.74,2025-04-03
lãi,16,9,0.78,22.22,2025-04-03
trả cổ_tức,10,3,2.33,21.67,2025-04-03
group,6,0,5.0,21.0,2025-04-03
chia cổ_tức,6,1,5.0,21.0,2025-04-03
công_ty,32,104,-0.69,20.92,2025-04-03
mức,30,78,-0.62,20.77,2025-04-03
đầu,23,29,-0.21,20.62,2025-04-03
nhóm,20,19,0.05,20.53,2025-04-03
ctcp,12,5,1.4,20.4,2025-04-03
đạt,27,57,-0.53,19.89,2025-04-03
2024,27,57,-0.53,19.89,2025-04-03
tỷ_lệ,21,24,-0.12,19.69,2025-04-03
về,29,93,-0.69,19.02,2025-04-03
ghi_nhận,16,13,0.23,17.85,2025-04-03
tiền,21,31,-0.32,17.61,2025-04-03
fiinratings,5,0,5.0,17.5,2025-04-03
ngân_hàng thương_mại,5,0,5.0,17.5,2025-04-03
tạm_ứng,5,0,5.0,17.5,2025-04-03
mạnh,20,27,-0.26,17.41,2025-04-03
đầu_tư,27,95,-0.72,17.34,2025-04-03
chứng_khoán,24,62,-0.61,16.65,2025-04-03
mã,19,26,-0.27,16.44,2025-04-03
vnindex,19,26,-0.27,16.44,2025-04-03
2025,24,68,-0.65,16.24,2025-04-03
bằng,15,13,0.15,16.15,2025-04-03
tiếp_tục,23,57,-0.6,16.14,2025-04-03
tích_cực,16,16,0.0,16.0,2025-04-03
thanh khoản,13,9,0.44,15.89,2025-04-03
thanh,13,9,0.44,15.89,2025-04-03
chi,7,2,2.5,15.75,2025-04-03
chia,7,2,2.5,15.75,2025-04-03
tài_chính,22,59,-0.63,15.1,2025-04-03
chi_trả cổ_tức,5,1,4.0,15.0,2025-04-03
tiền_mặt,10,5,1.0,15.0,2025-04-03
xảy,5,1,4.0,15.0,2025-04-03
khoản,17,23,-0.26,14.78,2025-04-03
đô_thị,8,3,1.67,14.67,2025-04-03
phát_hành,22,66,-0.67,14.67,2025-04-03
chi_trả,9,4,1.25,14.62,2025-04-03
lợi_nhuận,18,29,-0.38,14.59,2025-04-03
ngân_hàng,18,30,-0.4,14.4,2025-04-03
gần,18,31,-0.42,14.23,2025-04-03
sàn,15,17,-0.12,14.12,2025-04-03
kho_bạc nhà_nước,4,0,5.0,14.0,2025-04-03
luỹ,4,0,5.0,14.0,2025-04-03
tương_ứng giảm,4,0,5.0,14.0,2025-04-03
kho_bạc,4,0,5.0,14.0,2025-04-03
dân_cư,4,0,5.0,14.0,2025-04-03
luỹ kế,4,0,5.0,14.0,2025-04-03
gvr,4,0,5.0,14.0,2025-04-03
thị_trường trái_phiếu doanh_nghiệp,4,0,5.0,14.0,2025-04-03
khu dân_cư,4,0,5.0,14.0,2025-04-03
lộc,4,0,5.0,14.0,2025-04-03
thỏa_thuận,4,0,5.0,14.0,2025-04-03
khu_công_nghiệp,4,0,5.0,14.0,2025-04-03
thực_hiện,18,35,-0.49,13.63,2025-04-03
phát_triển,18,37,-0.51,13.38,2025-04-03
hoạt_động,18,39,-0.54,13.15,2025-04-03
kinh_doanh,17,33,-0.48,12.88,2025-04-03
vấn_đề,9,5,0.8,12.6,2025-04-03
top,9,5,0.8,12.6,2025-04-03
cấp,11,9,0.22,12.22,2025-04-03
dự_án,17,39,-0.56,12.21,2025-04-03
trả,13,15,-0.13,12.13,2025-04-03
môi_giới,6,2,2.0,12.0,2025-04-03
trung_ương,6,2,2.0,12.0,2025-04-03
thị_trường trái_phiếu,6,2,2.0,12.0,2025-04-03
thông_qua,16,33,-0.52,11.88,2025-04-03
ròng,15,26,-0.42,11.83,2025-04-03
kế_hoạch,17,44,-0.61,11.78,2025-04-03
thanh_toán,7,3,1.33,11.67,2025-04-03
tạm_thời,7,3,1.33,11.67,2025-04-03
hôm_nay,7,3,1.33,11.67,2025-04-03
áp_lực,15,27,-0.44,11.67,2025-04-03
tăng_trưởng,18,65,-0.72,11.49,2025-04-03
dự_kiến,14,23,-0.39,11.26,2025-04-03
bối_cảnh,10,8,0.25,11.25,2025-04-03
quản_lý,13,18,-0.28,11.19,2025-04-03
tác_động,11,11,0.0,11.0,2025-04-03
việt,15,33,-0.55,10.91,2025-04-03
hỗ_trợ,12,15,-0.2,10.8,2025-04-03
cổ_phiếu tác_động,3,0,5.0,10.5,2025-04-03
dự_án khu dân_cư,3,0,5.0,10.5,2025-04-03
lãi_suất vay,3,0,5.0,10.5,2025-04-03
tiếp_tục đẩy_mạnh,3,0,5.0,10.5,2025-04-03
bỏ,3,0,5.0,10.5,2025-04-03
nửa cuối,3,0,5.0,10.5,2025-04-03
nếu_như,3,0,5.0,10.5,2025-04-03
thiếu_hụt,3,0,5.0,10.5,2025-04-03
đơn_vị giao_dịch,3,0,5.0,10.5,2025-04-03
phép,3,0,5.0,10.5,2025-04-03
nav,3,0,5.0,10.5,2025-04-03
tổng_số,3,0,5.0,10.5,2025-04-03
283,3,0,5.0,10.5,2025-04-03
bất_động_sản công_nghiệp,3,0,5.0,10.5,2025-04-03
tự,3,0,5.0,10.5,2025-04-03
trở_nên,3,0,5.0,10.5,2025-04-03
chuyên_gia công_ty chứng_khoán,3,0,5.0,10.5,2025-04-03
chuyên_gia công_ty,3,0,5.0,10.5,2025-04-03
khủng,3,0,5.0,10.5,2025-04-03
kịp_thời,3,0,5.0,10.5,2025-04-03
chỉ_tiêu,3,0,5.0,10.5,2025-04-03
vay margin,3,0,5.0,10.5,2025-04-03
margin,3,0,5.0,10.5,2025-04-03
kế_hoạch tăng,3,0,5.0,10.5,2025-04-03
tích_luỹ,3,0,5.0,10.5,2025-04-03
mệnh_giá,3,0,5.0,10.5,2025-04-03
đáng_kể so,3,0,5.0,10.5,2025-04-03
84,3,0,5.0,10.5,2025-04-03
vnindex tăng,3,0,5.0,10.5,2025-04-03
thực_hiện 2023,3,0,5.0,10.5,2025-04-03
so thực_hiện 2023,3,0,5.0,10.5,2025-04-03
77,3,0,5.0,10.5,2025-04-03
thị_giá,3,0,5.0,10.5,2025-04-03
10 điểm,3,0,5.0,10.5,2025-04-03
nửa,3,0,5.0,10.5,2025-04-03
quanh,3,0,5.0,10.5,2025-04-03
thuộc về,3,0,5.0,10.5,2025-04-03
vĩ_mô,3,0,5.0,10.5,2025-04-03
bằng tiền,3,0,5.0,10.5,2025-04-03
phát_hành tăng,3,0,5.0,10.5,2025-04-03
dự_án khu_công_nghiệp,3,0,5.0,10.5,2025-04-03
có_thể,15,40,-0.62,10.31,2025-04-03
nay,14,30,-0.53,10.27,2025-04-03
bị,12,17,-0.29,10.24,2025-04-03
hiệu_quả,11,13,-0.15,10.15,2025-04-03
tình_trạng,4,1,3.0,10.0,2025-04-03
mức_độ,4,1,3.0,10.0,2025-04-03
gặp,4,1,3.0,10.0,2025-04-03
bidv,4,1,3.0,10.0,2025-04-03
hạng thị_trường,4,1,3.0,10.0,2025-04-03
kéo_dài,4,1,3.0,10.0,2025-04-03
bằng cổ_phiếu,4,1,3.0,10.0,2025-04-03
vingroup,4,1,3.0,10.0,2025-04-03
phát_triển dự_án,4,1,3.0,10.0,2025-04-03
nâng hạng thị_trường,4,1,3.0,10.0,2025-04-03
gia_hạn,4,1,3.0,10.0,2025-04-03
tái,4,1,3.0,10.0,2025-04-03
khối_lượng giao_dịch,4,1,3.0,10.0,2025-04-03
cổ_đông,15,49,-0.69,9.8,2025-04-03
so thực_hiện,7,4,0.75,9.62,2025-04-03
thanh khoản thị_trường,7,4,0.75,9.62,2025-04-03
khoản thị_trường,7,4,0.75,9.62,2025-04-03
24,7,4,0.75,9.62,2025-04-03
khối_lượng,7,4,0.75,9.62,2025-04-03
tương_ứng,9,8,0.12,9.56,2025-04-03
phiên giao_dịch,10,11,-0.09,9.55,2025-04-03
gia_tăng,10,11,-0.09,9.55,2025-04-03
chính_sách,11,15,-0.27,9.53,2025-04-03
trình,11,15,-0.27,9.53,2025-04-03
thời_gian,13,30,-0.57,9.32,2025-04-03
nâng,12,22,-0.45,9.27,2025-04-03
ngành,11,17,-0.35,9.06,2025-04-03
bất_động_sản,11,17,-0.35,9.06,2025-04-03
liên_tục,6,3,1.0,9.0,2025-04-03
thiếu,6,3,1.0,9.0,2025-04-03
phiếu,9,9,0.0,9.0,2025-04-03
đồngcổ phiếu,9,9,0.0,9.0,2025-04-03
đồngcổ,9,9,0.0,9.0,2025-04-03
giá_trị giao_dịch,6,3,1.0,9.0,2025-04-03
giai_đoạn,11,18,-0.39,8.86,2025-04-03
14,5,2,1.5,8.75,2025-04-03
cân_đối,5,2,1.5,8.75,2025-04-03
gửi,5,2,1.5,8.75,2025-04-03
nâng hạng,5,2,1.5,8.75,2025-04-03
thách_thức,5,2,1.5,8.75,2025-04-03
hạng,5,2,1.5,8.75,2025-04-03
giữa,8,7,0.14,8.57,2025-04-03
đáp_ứng,8,7,0.14,8.57,2025-04-03
khoảng,9,10,-0.1,8.55,2025-04-03
một_số,11,20,-0.45,8.52,2025-04-03
thị_trường_chứng_khoán,11,21,-0.48,8.38,2025-04-03
duy_trì,11,21,-0.48,8.38,2025-04-03
thêm,12,34,-0.65,8.12,2025-04-03
dòng,10,17,-0.41,7.94,2025-04-03
quỹ,10,17,-0.41,7.94,2025-04-03
xu_hướng,10,17,-0.41,7.94,2025-04-03
nghị_định,11,26,-0.58,7.83,2025-04-03
nhu_cầu,10,18,-0.44,7.78,2025-04-03
nhưng,11,28,-0.61,7.66,2025-04-03
tổng,9,13,-0.31,7.62,2025-04-03
chung,7,6,0.17,7.58,2025-04-03
vùng,8,9,-0.11,7.56,2025-04-03
đăng_ký,8,9,-0.11,7.56,2025-04-03
ngân_sách nhà_nước,6,4,0.5,7.5,2025-04-03
điều_lệ,6,4,0.5,7.5,2025-04-03
tiêu_cực,6,4,0.5,7.5,2025-04-03
nợ,9,14,-0.36,7.39,2025-04-03
sử_dụng,10,21,-0.52,7.38,2025-04-03
quy_định,11,37,-0.7,7.14,2025-04-03
cuối,9,16,-0.44,7.03,2025-04-03
ngoại,10,25,-0.6,7.0,2025-04-03
10,7,7,0.0,7.0,2025-04-03
tín_dụng,11,41,-0.73,6.98,2025-04-03
lãi_suất,10,28,-0.64,6.79,2025-04-03
nhóm cổ_phiếu,5,3,0.67,6.67,2025-04-03
suy_giảm,5,3,0.67,6.67,2025-04-03
tập_trung,6,5,0.2,6.6,2025-04-03
mã giảm,6,5,0.2,6.6,2025-04-03
yếu_tố,8,14,-0.43,6.29,2025-04-03
rủi_ro,9,23,-0.61,6.26,2025-04-03
chỉ_số,7,9,-0.22,6.22,2025-04-03
stb,3,1,2.0,6.0,2025-04-03
đầy_đủ,3,1,2.0,6.0,2025-04-03
so đầu,4,2,1.0,6.0,2025-04-03
biên,3,1,2.0,6.0,2025-04-03
đối_tác,3,1,2.0,6.0,2025-04-03
xấp_xỉ,3,1,2.0,6.0,2025-04-03
tổng_tài_sản,4,2,1.0,6.0,2025-04-03
tiền gửi,3,1,2.0,6.0,2025-04-03
so 2023,4,2,1.0,6.0,2025-04-03
cổ_tức tỷ_lệ,3,1,2.0,6.0,2025-04-03
bằng ngoại_tệ,3,1,2.0,6.0,2025-04-03
thống_nhất,3,1,2.0,6.0,2025-04-03
quản_lý sử_dụng,3,1,2.0,6.0,2025-04-03
áp_đảo,4,2,1.0,6.0,2025-04-03
thường_xuyên,3,1,2.0,6.0,2025-04-03
đáo,3,1,2.0,6.0,2025-04-03
chuyên_gia,4,2,1.0,6.0,2025-04-03
tối_đa,4,2,1.0,6.0,2025-04-03
điều_chỉnh,8,16,-0.5,6.0,2025-04-03
đáo_hạn,4,2,1.0,6.0,2025-04-03
đáo hạn,3,1,2.0,6.0,2025-04-03
hôm_qua,3,1,2.0,6.0,2025-04-03
mất,3,1,2.0,6.0,2025-04-03
mục_đích,3,1,2.0,6.0,2025-04-03
nhóm bất_động_sản,3,1,2.0,6.0,2025-04-03
đầu_tiên,3,1,2.0,6.0,2025-04-03
thị_trường nổi,3,1,2.0,6.0,2025-04-03
quốc_gia,3,1,2.0,6.0,2025-04-03
cổ_phần,8,16,-0.5,6.0,2025-04-03
thị_trường ghi_nhận,3,1,2.0,6.0,2025-04-03
song,3,1,2.0,6.0,2025-04-03
2024 đạt,4,2,1.0,6.0,2025-04-03
kế,4,2,1.0,6.0,2025-04-03
35,3,1,2.0,6.0,2025-04-03
nằm,3,1,2.0,6.0,2025-04-03
mã tăng,4,2,1.0,6.0,2025-04-03
mbb,3,1,2.0,6.0,2025-04-03
nhà_đầu_tư,9,28,-0.68,5.95,2025-04-03
tổ_chức,9,28,-0.68,5.95,2025-04-03
khiến,7,11,-0.36,5.73,2025-04-03
nhà,7,11,-0.36,5.73,2025-04-03
phát_hành trái_phiếu,7,11,-0.36,5.73,2025-04-03
công_bố,7,11,-0.36,5.73,2025-04-03
cơ_hội,8,19,-0.58,5.68,2025-04-03
hấp_dẫn,5,4,0.25,5.62,2025-04-03
dư_nợ,5,4,0.25,5.62,2025-04-03
góp_phần,5,4,0.25,5.62,2025-04-03
họp,7,12,-0.42,5.54,2025-04-03
tuy_nhiên,8,23,-0.65,5.39,2025-04-03
cả,6,8,-0.25,5.25,2025-04-03
kỳ,7,16,-0.56,5.03,2025-04-03
sản_phẩm,7,16,-0.56,5.03,2025-04-03
vậy,5,5,0.0,5.0,2025-04-03
kế_hoạch kinh_doanh,5,5,0.0,5.0,2025-04-03
tương_đương,5,5,0.0,5.0,2025-04-03
đối_với,8,33,-0.76,4.97,2025-04-03
kinh_tế,8,36,-0.78,4.89,2025-04-03
chiếm,6,10,-0.4,4.8,2025-04-03
nhận_định,4,3,0.33,4.67,2025-04-03
vừa_qua,4,3,0.33,4.67,2025-04-03
thuế_quan,4,3,0.33,4.67,2025-04-03
giảm mạnh,4,3,0.33,4.67,2025-04-03
sự,8,48,-0.83,4.67,2025-04-03
từng,4,3,0.33,4.67,2025-04-03
phiên hôm_nay,4,3,0.33,4.67,2025-04-03
hạn,4,3,0.33,4.67,2025-04-03
khả_năng,6,11,-0.45,4.64,2025-04-03
tạo,7,24,-0.71,4.52,2025-04-03
đơn_vị,6,12,-0.5,4.5,2025-04-03
đặc_biệt,6,13,-0.54,4.38,2025-04-03
công_ty chứng_khoán,6,13,-0.54,4.38,2025-04-03
ảnh_hưởng,5,7,-0.29,4.29,2025-04-03
kết_quả,6,14,-0.57,4.29,2025-04-03
kể,5,7,-0.29,4.29,2025-04-03
đảm_bảo,6,14,-0.57,4.29,2025-04-03
cuộc,5,7,-0.29,4.29,2025-04-03
đồng_thời,6,16,-0.62,4.12,2025-04-03
nước_ngoài,5,8,-0.38,4.06,2025-04-03
đẩy_mạnh,5,8,-0.38,4.06,2025-04-03
đều,5,8,-0.38,4.06,2025-04-03
tâm_lý,5,8,-0.38,4.06,2025-04-03
tăng_trưởng tín_dụng,6,17,-0.65,4.06,2025-04-03
kỳ_hạn,4,4,0.0,4.0,2025-04-03
trường_hợp,4,4,0.0,4.0,2025-04-03
khoảng thời_gian,4,4,0.0,4.0,2025-04-03
so phiên,4,4,0.0,4.0,2025-04-03
i2025,4,4,0.0,4.0,2025-04-03
so thực_hiện 2024,4,4,0.0,4.0,2025-04-03
hồi_phục,4,4,0.0,4.0,2025-04-03
khó_khăn,4,4,0.0,4.0,2025-04-03
khó,4,4,0.0,4.0,2025-04-03
dẫn,4,4,0.0,4.0,2025-04-03
3000,4,4,0.0,4.0,2025-04-03
kỳ_vọng,6,19,-0.68,3.95,2025-04-03
chốt,5,9,-0.44,3.89,2025-04-03
khách_hàng,5,9,-0.44,3.89,2025-04-03
khối,6,22,-0.73,3.82,2025-04-03
chứng_khoán pinetree,3,2,0.5,3.75,2025-04-03
cạnh_tranh,5,10,-0.5,3.75,2025-04-03
giảm sàn,3,2,0.5,3.75,2025-04-03
tổng giá_trị,3,2,0.5,3.75,2025-04-03
an_toàn,5,10,-0.5,3.75,2025-04-03
30,3,2,0.5,3.75,2025-04-03
tích_cực vnindex,3,2,0.5,3.75,2025-04-03
yêu_cầu,3,2,0.5,3.75,2025-04-03
tài_sản,3,2,0.5,3.75,2025-04-03
lùi,3,2,0.5,3.75,2025-04-03
cổ_tức 2024,3,2,0.5,3.75,2025-04-03
kinh_doanh công_ty,3,2,0.5,3.75,2025-04-03
ngoài_ra,3,2,0.5,3.75,2025-04-03
vững_chắc,3,2,0.5,3.75,2025-04-03
tiết_kiệm,3,2,0.5,3.75,2025-04-03
ngân_hàng nhà_nước,3,2,0.5,3.75,2025-04-03
kế_hoạch kinh_doanh 2025,3,2,0.5,3.75,2025-04-03
quan_trọng,5,10,-0.5,3.75,2025-04-03
nổi,3,2,0.5,3.75,2025-04-03
nhờ,5,11,-0.55,3.64,2025-04-03
dòng tiền,5,11,-0.55,3.64,2025-04-03
chịu,4,5,-0.2,3.6,2025-04-03
thực_hiện 2024,4,5,-0.2,3.6,2025-04-03
vì_vậy,4,5,-0.2,3.6,2025-04-03
ròng mạnh,4,5,-0.2,3.6,2025-04-03
bước,4,5,-0.2,3.6,2025-04-03
thuộc,4,5,-0.2,3.6,2025-04-03
bao_gồm,4,5,-0.2,3.6,2025-04-03
cuộc họp,4,5,-0.2,3.6,2025-04-03
giữ,5,12,-0.58,3.54,2025-04-03
hệ_thống,5,12,-0.58,3.54,2025-04-03
khu,4,6,-0.33,3.33,2025-04-03
chính_phủ,5,15,-0.67,3.33,2025-04-03
gây,4,6,-0.33,3.33,2025-04-03
tăng_giá,4,6,-0.33,3.33,2025-04-03
diễn_biến,4,6,-0.33,3.33,2025-04-03
chủ_sở_hữu,4,6,-0.33,3.33,2025-04-03
12,4,6,-0.33,3.33,2025-04-03
khối ngoại,5,17,-0.71,3.24,2025-04-03
an,4,7,-0.43,3.14,2025-04-03
dùng,4,7,-0.43,3.14,2025-04-03
nhà đầu_tư,4,7,-0.43,3.14,2025-04-03
cơ_cấu,4,7,-0.43,3.14,2025-04-03
điều_hành,4,7,-0.43,3.14,2025-04-03
doanh_thu,5,21,-0.76,3.1,2025-04-03
thường_niên,5,21,-0.76,3.1,2025-04-03
xây_dựng,5,21,-0.76,3.1,2025-04-03
mục_tiêu,5,23,-0.78,3.04,2025-04-03
vcb,3,3,0.0,3.0,2025-04-03
cụ_thể,4,8,-0.5,3.0,2025-04-03
nguồn_lực,3,3,0.0,3.0,2025-04-03
duy_trì mức,3,3,0.0,3.0,2025-04-03
pinetree,3,3,0.0,3.0,2025-04-03
ngoại ròng,3,3,0.0,3.0,2025-04-03
hệ_số,3,3,0.0,3.0,2025-04-03
kinh_doanh 2025,3,3,0.0,3.0,2025-04-03
gấp,3,3,0.0,3.0,2025-04-03
hoạt_động kinh_doanh,3,3,0.0,3.0,2025-04-03
gay_gắt,3,3,0.0,3.0,2025-04-03
mỗi,4,8,-0.5,3.0,2025-04-03
sang,4,8,-0.5,3.0,2025-04-03
đầu nay,3,3,0.0,3.0,2025-04-03
ssi,3,3,0.0,3.0,2025-04-03
đáng chú_ý,3,3,0.0,3.0,2025-04-03
thời_điểm,4,8,-0.5,3.0,2025-04-03
thị_trường chung,3,3,0.0,3.0,2025-04-03
dự_án khu,3,3,0.0,3.0,2025-04-03
32025,3,3,0.0,3.0,2025-04-03
chú_ý,3,3,0.0,3.0,2025-04-03
thị_phần,4,8,-0.5,3.0,2025-04-03
tình_hình,3,3,0.0,3.0,2025-04-03
báo_cáo,5,27,-0.81,2.96,2025-04-03
quốc_tế,4,9,-0.56,2.89,2025-04-03
phần,4,9,-0.56,2.89,2025-04-03
