keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
mỹ,39,4,8.75,209.62,2025-04-09
việt,67,15,3.47,183.13,2025-04-09
bộ,29,3,8.67,154.67,2025-04-09
msb,17,1,16.0,153.0,2025-04-09
mức,63,30,1.1,97.65,2025-04-09
trump,13,1,12.0,91.0,2025-04-09
xuất_khẩu,18,2,8.0,90.0,2025-04-09
thị_trường,73,54,0.35,85.84,2025-04-09
thông_tin,24,4,5.0,84.0,2025-04-09
nhà_đầu_tư,34,10,2.4,74.8,2025-04-09
tổng_thống,11,1,10.0,66.0,2025-04-09
có_thể,38,16,1.38,64.12,2025-04-09
bộ tài_chính,18,3,5.0,63.0,2025-04-09
giải_pháp,10,1,9.0,55.0,2025-04-09
giảm,52,47,0.11,54.77,2025-04-09
doanh_nghiệp,42,30,0.4,50.4,2025-04-09
ngành,28,11,1.55,49.64,2025-04-09
đàm_phán,14,0,5.0,49.0,2025-04-09
áp,13,2,5.5,48.75,2025-04-09
về,40,31,0.29,45.81,2025-04-09
nước,9,1,8.0,45.0,2025-04-09
15,9,1,8.0,45.0,2025-04-09
đánh_giá,12,2,5.0,42.0,2025-04-09
nhóm ngành,12,2,5.0,42.0,2025-04-09
chi,21,7,2.0,42.0,2025-04-09
chính_phủ,22,8,1.75,41.25,2025-04-09
thị_trường_chứng_khoán,25,11,1.27,40.91,2025-04-09
tăng,45,61,-0.26,39.1,2025-04-09
tâm_lý,17,5,2.4,37.4,2025-04-09
ngắn_hạn,8,1,7.0,36.0,2025-04-09
nhà_đầu_tư nước_ngoài,8,1,7.0,36.0,2025-04-09
donald,8,1,7.0,36.0,2025-04-09
thứ_trưởng,10,0,5.0,35.0,2025-04-09
hoàn,10,0,5.0,35.0,2025-04-09
đạt,32,33,-0.03,31.52,2025-04-09
thuế_quan,14,4,2.5,31.5,2025-04-09
dự_báo,10,2,4.0,30.0,2025-04-09
giữ,15,5,2.0,30.0,2025-04-09
sự,20,10,1.0,30.0,2025-04-09
2025,28,28,0.0,28.0,2025-04-09
donald trump,7,1,6.0,28.0,2025-04-09
chỉ_đạo,7,1,6.0,28.0,2025-04-09
thế_giới,8,0,5.0,28.0,2025-04-09
kinh_tế,18,9,1.0,27.0,2025-04-09
đối_với,17,8,1.12,26.56,2025-04-09
điểm,28,32,-0.12,26.25,2025-04-09
46,9,2,3.5,24.75,2025-04-09
