keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
vay,25,2,11.5,168.75,2025-05-26
ngân_sách,15,1,14.0,120.0,2025-05-26
ngân_sách nhà_nước,14,1,13.0,105.0,2025-05-26
quy_định,39,9,3.33,104.0,2025-05-26
nhà_nước,23,3,6.67,99.67,2025-05-26
sự_nghiệp,26,0,5.0,91.0,2025-05-26
khoản,47,17,1.76,88.47,2025-05-26
sự_nghiệp công,22,0,5.0,77.0,2025-05-26
lãi,19,0,5.0,66.5,2025-05-26
dịch_vụ sự_nghiệp,19,0,5.0,66.5,2025-05-26
dịch_vụ sự_nghiệp công,19,0,5.0,66.5,2025-05-26
khách_hàng,11,1,10.0,66.0,2025-05-26
danh_mục,11,1,10.0,66.0,2025-05-26
sửa_đổi,11,1,10.0,66.0,2025-05-26
lãi_suất,11,1,10.0,66.0,2025-05-26
f88,16,0,5.0,56.0,2025-05-26
bảo_hiểm,14,2,6.0,56.0,2025-05-26
rủi_ro,21,5,3.2,54.6,2025-05-26
tính,16,3,4.33,50.67,2025-05-26
công sử_dụng ngân_sách,14,0,5.0,49.0,2025-05-26
sử_dụng ngân_sách,14,0,5.0,49.0,2025-05-26
công sử_dụng,14,0,5.0,49.0,2025-05-26
sử_dụng ngân_sách nhà_nước,14,0,5.0,49.0,2025-05-26
sự_nghiệp công sử_dụng,14,0,5.0,49.0,2025-05-26
khoản thu,13,2,5.5,48.75,2025-05-26
nghị_định,13,0,5.0,45.5,2025-05-26
trích lập,9,1,8.0,45.0,2025-05-26
mức,40,32,0.25,45.0,2025-05-26
công,23,8,1.88,44.56,2025-05-26
trích,12,2,5.0,42.0,2025-05-26
pháp_luật,12,0,5.0,42.0,2025-05-26
quy_định pháp_luật,12,0,5.0,42.0,2025-05-26
lĩnh_vực,12,2,5.0,42.0,2025-05-26
nđcp,11,0,5.0,38.5,2025-05-26
về,31,23,0.35,36.39,2025-05-26
tạm_ứng,8,1,7.0,36.0,2025-05-26
tối_đa,8,1,7.0,36.0,2025-05-26
trái_phiếu,11,2,4.5,35.75,2025-05-26
sử_dụng,20,8,1.5,35.0,2025-05-26
tiền_lương,10,0,5.0,35.0,2025-05-26
địa_ốc,10,0,5.0,35.0,2025-05-26
công_ty,35,37,-0.05,34.05,2025-05-26
thanh_toán,16,5,2.2,33.6,2025-05-26
dịch_vụ,27,19,0.42,32.68,2025-05-26
rủi_ro thanh_toán,9,0,5.0,31.5,2025-05-26
hệ_số,9,0,5.0,31.5,2025-05-26
kỳ,12,3,3.0,30.0,2025-05-26
thu,15,5,2.0,30.0,2025-05-26
cơ_quan,16,6,1.67,29.33,2025-05-26
xác_định,7,1,6.0,28.0,2025-05-26
chủ_sở_hữu,7,1,6.0,28.0,2025-05-26
i2025,8,0,5.0,28.0,2025-05-26
khoản vay,8,0,5.0,28.0,2025-05-26
cổ_phiếu,37,73,-0.49,27.88,2025-05-26
tài_chính,25,22,0.14,26.7,2025-05-26
lập,11,3,2.67,25.67,2025-05-26
đơn_vị sự_nghiệp,7,0,5.0,24.5,2025-05-26
thẩm_quyền,7,0,5.0,24.5,2025-05-26
khoản tạm_ứng,7,0,5.0,24.5,2025-05-26
margin,7,0,5.0,24.5,2025-05-26
phát_hành,20,14,0.43,24.29,2025-05-26
tăng,32,64,-0.5,24.0,2025-05-26
chi_phí,12,4,2.0,24.0,2025-05-26
ban_hành,12,4,2.0,24.0,2025-05-26
quỹ,15,7,1.14,23.57,2025-05-26
chứng_khoán,21,17,0.24,23.47,2025-05-26
bổ_sung,13,5,1.6,23.4,2025-05-26
phân_phối,10,3,2.33,21.67,2025-05-26
bộ cơ_quan,6,0,5.0,21.0,2025-05-26
vòng,6,0,5.0,21.0,2025-05-26
sửa_đổi bổ_sung,6,0,5.0,21.0,2025-05-26
bình_quân,6,0,5.0,21.0,2025-05-26
quyết_định,14,7,1.0,21.0,2025-05-26
quy_định về,6,1,5.0,21.0,2025-05-26
hợp_đồng,6,0,5.0,21.0,2025-05-26
danh_mục dịch_vụ,6,0,5.0,21.0,2025-05-26
thu_nhập,6,0,5.0,21.0,2025-05-26
tăng thêm,6,1,5.0,21.0,2025-05-26
dự_án,16,10,0.6,20.8,2025-05-26
trường_hợp,8,2,3.0,20.0,2025-05-26
2024,15,9,0.67,20.0,2025-05-26
đơn_vị,19,18,0.06,19.53,2025-05-26
đạt,17,14,0.21,18.82,2025-05-26
mở_rộng,9,3,2.0,18.0,2025-05-26
công_ty chứng_khoán,9,3,2.0,18.0,2025-05-26
xây_dựng,11,5,1.2,17.6,2025-05-26
chi thường_xuyên,5,0,5.0,17.5,2025-05-26
nđcp sửa_đổi,5,0,5.0,17.5,2025-05-26
vay margin,5,0,5.0,17.5,2025-05-26
thường_xuyên,5,0,5.0,17.5,2025-05-26
