keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
so,57,4,13.25,434.62,2025-05-11
nhóm,40,6,5.67,153.33,2025-05-11
tỷ_trọng,16,1,15.0,136.0,2025-05-11
lợi_nhuận,16,1,15.0,136.0,2025-05-11
niêm_yết,16,1,15.0,136.0,2025-05-11
đạt,51,12,3.25,133.88,2025-05-11
f88,37,0,5.0,129.5,2025-05-11
cổ_phiếu,58,17,2.41,127.94,2025-05-11
bình_quân,15,1,14.0,120.0,2025-05-11
khối_lượng,15,1,14.0,120.0,2025-05-11
tăng,76,39,0.95,112.05,2025-05-11
giá_trị,58,25,1.32,96.28,2025-05-11
giao_dịch,63,31,1.03,95.52,2025-05-11
toàn_thị_trường,13,1,12.0,91.0,2025-05-11
tổng giá_trị,17,2,7.5,80.75,2025-05-11
chiếm,17,2,7.5,80.75,2025-05-11
ròng,26,5,4.2,80.6,2025-05-11
kỳ_hạn,12,1,11.0,78.0,2025-05-11
i2025,12,1,11.0,78.0,2025-05-11
giá_trị giao_dịch,20,3,5.67,76.67,2025-05-11
trái_phiếu,62,49,0.27,70.22,2025-05-11
đầu,24,5,3.8,69.6,2025-05-11
đường,11,1,10.0,66.0,2025-05-11
tập_trung,11,1,10.0,66.0,2025-05-11
ghi_nhận,11,1,10.0,66.0,2025-05-11
mạnh,28,8,2.5,63.0,2025-05-11
42025,18,0,5.0,63.0,2025-05-11
nước_ngoài,20,4,4.0,60.0,2025-05-11
mã,30,10,2.0,60.0,2025-05-11
tổng,24,6,3.0,60.0,2025-05-11
dịch_vụ,22,5,3.4,59.4,2025-05-11
phát_hành,47,31,0.52,59.13,2025-05-11
cuối,17,3,4.67,56.67,2025-05-11
kho_bạc,16,0,5.0,56.0,2025-05-11
hạn,14,2,6.0,56.0,2025-05-11
mặt_trời,10,1,9.0,55.0,2025-05-11
giá_trị phát_hành,10,1,9.0,55.0,2025-05-11
mức,37,19,0.95,54.53,2025-05-11
giảm,42,27,0.56,53.67,2025-05-11
công_ty,50,44,0.14,53.41,2025-05-11
ngân_hàng,28,10,1.8,53.2,2025-05-11
kho_bạc nhà_nước,15,0,5.0,52.5,2025-05-11
thị_trường,42,28,0.5,52.5,2025-05-11
khoảng,13,2,5.5,48.75,2025-05-11
phiên,29,13,1.23,46.85,2025-05-11
tài_khoản,26,10,1.6,46.8,2025-05-11
hoàn,13,0,5.0,45.5,2025-05-11
phi,12,0,5.0,42.0,2025-05-11
vinpearl,12,0,5.0,42.0,2025-05-11
bất_động_sản,18,5,2.6,41.4,2025-05-11
