keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
dịch_vụ,19,1,18.0,190.0,2025-04-15
sản_phẩm,17,1,16.0,153.0,2025-04-15
cao_su,40,0,5.0,140.0,2025-04-15
tài_chính,61,27,1.26,99.41,2025-04-15
giao_dịch,58,24,1.42,99.08,2025-04-15
đất,22,3,6.33,91.67,2025-04-15
trần,13,1,12.0,91.0,2025-04-15
ttck,13,1,12.0,91.0,2025-04-15
ủy_ban,12,1,11.0,78.0,2025-04-15
tài_khoản,22,0,5.0,77.0,2025-04-15
khu_công_nghiệp,20,3,5.67,76.67,2025-04-15
tăng,65,48,0.35,76.51,2025-04-15
chứng_khoán,45,20,1.25,73.12,2025-04-15
việt,70,68,0.03,71.03,2025-04-15
thị_trường,72,80,-0.1,68.4,2025-04-15
ngân_hàng,29,8,2.62,67.06,2025-04-15
sản_phẩm dịch_vụ,11,1,10.0,66.0,2025-04-15
nước,29,9,2.22,61.22,2025-04-15
tổ_chức,33,13,1.54,58.38,2025-04-15
về,52,42,0.24,58.19,2025-04-15
cao_su phước,16,0,5.0,56.0,2025-04-15
dân,16,0,5.0,56.0,2025-04-15
phước,16,0,5.0,56.0,2025-04-15
toàn_diện,16,0,5.0,56.0,2025-04-15
cơ_chế,10,1,9.0,55.0,2025-04-15
russell,10,1,9.0,55.0,2025-04-15
ftse russell,10,1,9.0,55.0,2025-04-15
thanh_toán,10,1,9.0,55.0,2025-04-15
vn30,15,0,5.0,52.5,2025-04-15
tăng_trưởng,40,25,0.6,52.0,2025-04-15
đặt,18,4,3.5,49.5,2025-04-15
chuyển_đổi,14,0,5.0,49.0,2025-04-15
nhà_đầu_tư,43,35,0.23,47.91,2025-04-15
tiếp_tục,31,15,1.07,47.53,2025-04-15
mã,21,6,2.5,47.25,2025-04-15
phát_triển,28,12,1.33,46.67,2025-04-15
phước hòa,13,0,5.0,45.5,2025-04-15
hòa,13,0,5.0,45.5,2025-04-15
cao_su phước hòa,13,0,5.0,45.5,2025-04-15
ủy_ban chứng_khoán,9,1,8.0,45.0,2025-04-15
ghi_nhận,15,3,4.0,45.0,2025-04-15
ủy_ban chứng_khoán nhà_nước,9,1,8.0,45.0,2025-04-15
hạn_chế,9,1,8.0,45.0,2025-04-15
mục_tiêu,27,12,1.25,43.88,2025-04-15
phiên,29,15,0.93,42.53,2025-04-15
hội_nghị,12,0,5.0,42.0,2025-04-15
lệnh,12,0,5.0,42.0,2025-04-15
mạnh_mẽ,12,0,5.0,42.0,2025-04-15
tín_dụng,14,3,3.67,39.67,2025-04-15
ban,11,0,5.0,38.5,2025-04-15
dịch_vụ tài_chính,11,0,5.0,38.5,2025-04-15
hoãn,11,0,5.0,38.5,2025-04-15
