keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
trái_phiếu,35,1,34.0,630.0,2025-05-01
lãi,25,1,24.0,325.0,2025-05-01
đầu_tư,54,15,2.6,124.2,2025-05-01
chứng_khoán,82,51,0.61,106.92,2025-05-01
công_ty chứng_khoán,31,6,4.17,95.58,2025-05-01
tài_sản,28,5,4.6,92.4,2025-05-01
công_ty,76,54,0.41,91.48,2025-05-01
phát_hành,32,7,3.57,89.14,2025-05-01
ctcp,23,4,4.75,77.62,2025-05-01
báo_cáo,19,3,5.33,69.67,2025-05-01
doanh,19,3,5.33,69.67,2025-05-01
tự doanh,19,3,5.33,69.67,2025-05-01
dư_nợ,11,1,10.0,66.0,2025-05-01
bằng,11,1,10.0,66.0,2025-05-01
tăng,65,66,-0.02,64.51,2025-05-01
lợi_nhuận,42,22,0.91,61.09,2025-05-01
margin,10,1,9.0,55.0,2025-05-01
đất,10,1,9.0,55.0,2025-05-01
vi_phạm,10,1,9.0,55.0,2025-05-01
tham_gia,10,1,9.0,55.0,2025-05-01
tự,19,4,3.75,54.62,2025-05-01
ký,43,28,0.54,54.52,2025-05-01
hoạt_động,44,31,0.42,53.23,2025-05-01
bidv,25,8,2.12,51.56,2025-05-01
tương_đương,13,2,5.5,48.75,2025-05-01
lưu,37,25,0.48,45.88,2025-05-01
lưu ký,37,25,0.48,45.88,2025-05-01
về,45,44,0.02,45.51,2025-05-01
nợ,13,0,5.0,45.5,2025-05-01
giá_trị,29,15,0.93,42.53,2025-05-01
vix,12,0,5.0,42.0,2025-05-01
khu,12,0,5.0,42.0,2025-05-01
nvidia,12,0,5.0,42.0,2025-05-01
thực_hiện,29,17,0.71,39.24,2025-05-01
việt,36,33,0.09,37.64,2025-05-01
tăng_trưởng,25,13,0.92,36.54,2025-05-01
hóa,8,1,7.0,36.0,2025-05-01
2023,8,1,7.0,36.0,2025-05-01
phương_án,8,1,7.0,36.0,2025-05-01
dự_án khu,10,0,5.0,35.0,2025-05-01
tổ_chức,26,17,0.53,32.88,2025-05-01
công_nghệ,17,6,1.83,32.58,2025-05-01
vndirect,9,0,5.0,31.5,2025-05-01
thoái,9,0,5.0,31.5,2025-05-01
scic,9,0,5.0,31.5,2025-05-01
công_bố thông_tin,9,0,5.0,31.5,2025-05-01
lỗ,14,4,2.5,31.5,2025-05-01
mảng,14,4,2.5,31.5,2025-05-01
giảm,37,56,-0.34,30.72,2025-05-01
đạt,29,26,0.12,30.67,2025-05-01
holdings,10,2,4.0,30.0,2025-05-01
tổ_chức phát_hành,10,2,4.0,30.0,2025-05-01
lưu ký chứng_khoán,12,3,3.0,30.0,2025-05-01
ký chứng_khoán,12,3,3.0,30.0,2025-05-01
i2025,20,10,1.0,30.0,2025-05-01
huy_động,10,2,4.0,30.0,2025-05-01
dự_án,27,24,0.12,28.69,2025-05-01
ban điều_hành,7,1,6.0,28.0,2025-05-01
lập,8,0,5.0,28.0,2025-05-01
