keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
cổ_tức,39,1,38.0,780.0,2025-05-20
tài_sản,20,1,19.0,210.0,2025-05-20
tỉnh,14,1,13.0,105.0,2025-05-20
apg,24,0,5.0,84.0,2025-05-20
bằng,17,2,7.5,80.75,2025-05-20
tiền_mặt,20,3,5.67,76.67,2025-05-20
cấp,25,5,4.0,75.0,2025-05-20
khả_năng,11,1,10.0,66.0,2025-05-20
chia,18,0,5.0,63.0,2025-05-20
xã,13,0,5.0,45.5,2025-05-20
cổ_phiếu,56,100,-0.44,43.68,2025-05-20
tỷ_lệ,20,6,2.33,43.33,2025-05-20
chia cổ_tức,12,0,5.0,42.0,2025-05-20
cổ_phần,23,9,1.56,40.89,2025-05-20
hành_chính,11,0,5.0,38.5,2025-05-20
tiếp_nhận,11,0,5.0,38.5,2025-05-20
chi_trả,11,0,5.0,38.5,2025-05-20
tăng,50,112,-0.55,36.16,2025-05-20
cổ_tức bằng,8,1,7.0,36.0,2025-05-20
cổ_đông,20,8,1.5,35.0,2025-05-20
cổ_tức tiền_mặt,10,0,5.0,35.0,2025-05-20
bb,9,0,5.0,31.5,2025-05-20
điểm,36,51,-0.29,30.71,2025-05-20
chung,10,2,4.0,30.0,2025-05-20
đầu_tư,28,27,0.04,28.52,2025-05-20
investment,8,0,5.0,28.0,2025-05-20
pando investment,8,0,5.0,28.0,2025-05-20
bằng tiền_mặt,7,1,6.0,28.0,2025-05-20
trả cổ_tức,7,1,6.0,28.0,2025-05-20
quỹ,7,1,6.0,28.0,2025-05-20
pando,8,0,5.0,28.0,2025-05-20
quản_lý,18,10,0.8,25.2,2025-05-20
huyện,7,0,5.0,24.5,2025-05-20
cấp tỉnh,7,0,5.0,24.5,2025-05-20
thị_trường chung,7,0,5.0,24.5,2025-05-20
mã,26,32,-0.19,23.56,2025-05-20
mức,28,47,-0.4,22.34,2025-05-20
giảm,31,75,-0.59,21.91,2025-05-20
phiên,30,68,-0.56,21.62,2025-05-20
trách_nhiệm,6,1,5.0,21.0,2025-05-20
ubnd,6,0,5.0,21.0,2025-05-20
cổ_phiếu apg,6,0,5.0,21.0,2025-05-20
cổ_phiếu hóa,6,1,5.0,21.0,2025-05-20
danh_sách,6,1,5.0,21.0,2025-05-20
tiền,20,19,0.05,20.53,2025-05-20
nhóm,27,56,-0.52,20.01,2025-05-20
đơn_vị,18,16,0.12,19.12,2025-05-20
có_thể,18,16,0.12,19.12,2025-05-20
thị_trường,27,76,-0.64,18.3,2025-05-20
kế_hoạch,17,15,0.13,18.13,2025-05-20
vnindex,21,31,-0.32,17.61,2025-05-20
khách_sạn,5,0,5.0,17.5,2025-05-20
chi_trả cổ_tức,5,0,5.0,17.5,2025-05-20
quỹ đầu_tư,5,0,5.0,17.5,2025-05-20
tpbank,5,0,5.0,17.5,2025-05-20
ngân_hàng,18,22,-0.18,16.36,2025-05-20
thông_tư,7,2,2.5,15.75,2025-05-20
bàn_giao,5,1,4.0,15.0,2025-05-20
đất,5,1,4.0,15.0,2025-05-20
cổ_tức bằng tiền_mặt,5,1,4.0,15.0,2025-05-20
công_ty,22,67,-0.67,14.61,2025-05-20
lợi_nhuận,13,11,0.18,14.18,2025-05-20
holdings,4,0,5.0,14.0,2025-05-20
quản_lý_tài_sản,4,0,5.0,14.0,2025-05-20
trả cổ_tức tiền_mặt,4,0,5.0,14.0,2025-05-20
mốc 1300 điểm,4,0,5.0,14.0,2025-05-20
danh_sách cổ_đông,4,0,5.0,14.0,2025-05-20
mốc 1300,4,0,5.0,14.0,2025-05-20
khu đất,4,0,5.0,14.0,2025-05-20
khu,4,0,5.0,14.0,2025-05-20
khoản đầu_tư,4,0,5.0,14.0,2025-05-20
kế_thừa,4,0,5.0,14.0,2025-05-20
gee,4,0,5.0,14.0,2025-05-20
lpb,4,0,5.0,14.0,2025-05-20
resort,4,0,5.0,14.0,2025-05-20
giao_dịch,23,112,-0.79,13.86,2025-05-20
hoạt_động,15,22,-0.32,12.61,2025-05-20
điều_chỉnh,9,5,0.8,12.6,2025-05-20
nhóm cổ_phiếu,13,14,-0.07,12.54,2025-05-20
vùng,14,19,-0.26,12.16,2025-05-20
hoặc,8,4,1.0,12.0,2025-05-20
mạnh,18,54,-0.67,12.0,2025-05-20
sắc đỏ,7,3,1.33,11.67,2025-05-20
đỏ,7,3,1.33,11.67,2025-05-20
thời_gian,11,11,0.0,11.0,2025-05-20
dự_kiến,13,20,-0.35,10.72,2025-05-20
tài_chính,14,27,-0.48,10.63,2025-05-20
khoản,15,36,-0.58,10.62,2025-05-20
sàn,10,9,0.11,10.56,2025-05-20
nâng_đỡ,3,0,5.0,10.5,2025-05-20
