keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
apg,24,0,5.0,84.0,2025-05-23
f88,16,0,5.0,56.0,2025-05-23
bảo_hiểm,14,2,6.0,56.0,2025-05-23
lãi_suất,10,1,9.0,55.0,2025-05-23
khả_năng,12,2,5.0,42.0,2025-05-23
địa_ốc,10,0,5.0,35.0,2025-05-23
cổ_phiếu,40,68,-0.41,31.76,2025-05-23
trái_phiếu,9,0,5.0,31.5,2025-05-23
bb,9,0,5.0,31.5,2025-05-23
pando investment,8,0,5.0,28.0,2025-05-23
investment,8,0,5.0,28.0,2025-05-23
thông_tư,7,1,6.0,28.0,2025-05-23
pando,8,0,5.0,28.0,2025-05-23
cổ_phần,21,13,0.62,27.46,2025-05-23
công_ty,31,63,-0.51,23.13,2025-05-23
tăng,31,86,-0.64,21.09,2025-05-23
xử_phạt,6,0,5.0,21.0,2025-05-23
cổ_phiếu apg,6,0,5.0,21.0,2025-05-23
huy_động,6,1,5.0,21.0,2025-05-23
khoản vay,6,0,5.0,21.0,2025-05-23
đầu_tư,24,32,-0.25,21.0,2025-05-23
lãi,13,6,1.17,20.58,2025-05-23
điều_chỉnh,12,6,1.0,18.0,2025-05-23
công_bố thông_tin,5,0,5.0,17.5,2025-05-23
hàng_không,5,0,5.0,17.5,2025-05-23
khu,5,0,5.0,17.5,2025-05-23
holdings,5,0,5.0,17.5,2025-05-23
vay,10,4,1.5,17.5,2025-05-23
khách_sạn,5,0,5.0,17.5,2025-05-23
đất,5,0,5.0,17.5,2025-05-23
tổ_chức,15,13,0.15,16.15,2025-05-23
quỹ,7,2,2.5,15.75,2025-05-23
tập_đoàn,7,2,2.5,15.75,2025-05-23
thị_trường,22,53,-0.58,15.57,2025-05-23
2024,12,8,0.5,15.0,2025-05-23
tiệm_cận,5,1,4.0,15.0,2025-05-23
chậm,4,0,5.0,14.0,2025-05-23
thanh_toán lãi,4,0,5.0,14.0,2025-05-23
115,4,0,5.0,14.0,2025-05-23
tổ_chức phát_hành,4,0,5.0,14.0,2025-05-23
đổi,4,0,5.0,14.0,2025-05-23
chủ_sở_hữu,4,0,5.0,14.0,2025-05-23
phạt,4,0,5.0,14.0,2025-05-23
resort,4,0,5.0,14.0,2025-05-23
khu đất,4,0,5.0,14.0,2025-05-23
quy_định pháp_luật,4,0,5.0,14.0,2025-05-23
khoản đầu_tư,4,0,5.0,14.0,2025-05-23
tên,4,0,5.0,14.0,2025-05-23
điểm,20,53,-0.62,13.77,2025-05-23
mức,19,47,-0.6,13.34,2025-05-23
khoản,17,32,-0.47,13.02,2025-05-23
nhóm,17,32,-0.47,13.02,2025-05-23
kinh_doanh,13,15,-0.13,12.13,2025-05-23
vi_phạm,6,2,2.0,12.0,2025-05-23
30,6,2,2.0,12.0,2025-05-23
có_thể,14,20,-0.3,11.9,2025-05-23
hoạt_động,14,20,-0.3,11.9,2025-05-23
giảm,18,59,-0.69,11.75,2025-05-23
tiền,14,21,-0.33,11.67,2025-05-23
lợi_nhuận,12,14,-0.14,11.14,2025-05-23
tài_chính,15,31,-0.52,11.13,2025-05-23
riêng_lẻ,3,0,5.0,10.5,2025-05-23
m2,3,0,5.0,10.5,2025-05-23
tiếng,3,0,5.0,10.5,2025-05-23
hưng,3,0,5.0,10.5,2025-05-23
thoái,3,0,5.0,10.5,2025-05-23
chi_phối,3,0,5.0,10.5,2025-05-23
vượt mốc,3,0,5.0,10.5,2025-05-23
nút thắt,3,0,5.0,10.5,2025-05-23
bị xử_phạt,3,0,5.0,10.5,2025-05-23
dựa,3,0,5.0,10.5,2025-05-23
nút,3,0,5.0,10.5,2025-05-23
hạn_mức,3,0,5.0,10.5,2025-05-23
khởi_điểm,3,0,5.0,10.5,2025-05-23
trích lập,3,0,5.0,10.5,2025-05-23
trích lập dự_phòng,3,0,5.0,10.5,2025-05-23
lập dự_phòng,3,0,5.0,10.5,2025-05-23
kế_hoạch kinh_doanh,3,0,5.0,10.5,2025-05-23
hành_vi,3,0,5.0,10.5,2025-05-23
thắt,3,0,5.0,10.5,2025-05-23
đổi tên,3,0,5.0,10.5,2025-05-23
kỳ_hạn,3,0,5.0,10.5,2025-05-23
thua_lỗ,3,0,5.0,10.5,2025-05-23
phép,3,0,5.0,10.5,2025-05-23
quản_trị rủi_ro,3,0,5.0,10.5,2025-05-23
fiinratings,3,0,5.0,10.5,2025-05-23
quỹ đầu_tư,4,1,3.0,10.0,2025-05-23
đỉnh,4,1,3.0,10.0,2025-05-23
bắt_đầu,4,1,3.0,10.0,2025-05-23
trở_thành,4,1,3.0,10.0,2025-05-23
vị_trí,4,1,3.0,10.0,2025-05-23
kiểm_toán,4,1,3.0,10.0,2025-05-23
đầy_đủ,4,1,3.0,10.0,2025-05-23
kế_hoạch,12,19,-0.37,9.79,2025-05-23
cổ_đông,12,19,-0.37,9.79,2025-05-23
vùng,12,20,-0.4,9.6,2025-05-23
ngắn_hạn,9,8,0.12,9.56,2025-05-23
việt,13,29,-0.55,9.41,2025-05-23
thông_tin,11,17,-0.35,9.06,2025-05-23
hoạt_động kinh_doanh,6,3,1.0,9.0,2025-05-23
giao_dịch,15,77,-0.81,8.96,2025-05-23
thành_viên,5,2,1.5,8.75,2025-05-23
xu_hướng,5,2,1.5,8.75,2025-05-23
thêm,10,14,-0.29,8.57,2025-05-23
quyết_định,8,7,0.14,8.57,2025-05-23
phiên,14,64,-0.78,8.53,2025-05-23
bị,7,5,0.4,8.4,2025-05-23
thanh_toán,7,5,0.4,8.4,2025-05-23
vnindex,12,33,-0.64,8.18,2025-05-23
kỳ,10,16,-0.38,8.12,2025-05-23
sở_hữu,8,8,0.0,8.0,2025-05-23
đạt,11,25,-0.56,7.92,2025-05-23
nhóm cổ_phiếu,9,12,-0.25,7.88,2025-05-23
về,12,43,-0.72,7.67,2025-05-23
thời_gian,9,13,-0.31,7.62,2025-05-23
báo_cáo,8,9,-0.11,7.56,2025-05-23
thực_hiện,10,25,-0.6,7.0,2025-05-23
so,10,26,-0.62,6.92,2025-05-23
doanh_nghiệp,11,49,-0.78,6.73,2025-05-23
phát_hành,8,12,-0.33,6.67,2025-05-23
đăng_ký,5,3,0.67,6.67,2025-05-23
vậy,6,5,0.2,6.6,2025-05-23
thông_qua,6,5,0.2,6.6,2025-05-23
áp_lực,6,5,0.2,6.6,2025-05-23
công_bố,6,5,0.2,6.6,2025-05-23
dòng,8,14,-0.43,6.29,2025-05-23
tổng,8,14,-0.43,6.29,2025-05-23
mạnh,10,40,-0.75,6.25,2025-05-23
dòng tiền,7,9,-0.22,6.22,2025-05-23
hồi,3,1,2.0,6.0,2025-05-23
45,3,1,2.0,6.0,2025-05-23
thay_thế,3,1,2.0,6.0,2025-05-23
dự_phòng,3,1,2.0,6.0,2025-05-23
ftse,3,1,2.0,6.0,2025-05-23
áp_lực chốt,3,1,2.0,6.0,2025-05-23
linh_hoạt,3,1,2.0,6.0,2025-05-23
ngân_hàng,8,16,-0.5,6.0,2025-05-23
công_ty tnhh,3,1,2.0,6.0,2025-05-23
cầu,3,1,2.0,6.0,2025-05-23
lpb,3,1,2.0,6.0,2025-05-23
quản_trị,3,1,2.0,6.0,2025-05-23
nhịp,4,2,1.0,6.0,2025-05-23
lộ_trình,3,1,2.0,6.0,2025-05-23
tnhh,3,1,2.0,6.0,2025-05-23
tỷ_lệ sở_hữu,3,1,2.0,6.0,2025-05-23
áp_lực chốt lời,3,1,2.0,6.0,2025-05-23
vingroup,3,1,2.0,6.0,2025-05-23
vhm,3,1,2.0,6.0,2025-05-23
tổng_công_ty cổ_phần,3,1,2.0,6.0,2025-05-23
pháp_luật,4,2,1.0,6.0,2025-05-23
trích,3,1,2.0,6.0,2025-05-23
2025,8,16,-0.5,6.0,2025-05-23
ghi_nhận,8,17,-0.53,5.88,2025-05-23
tuy_nhiên,7,11,-0.36,5.73,2025-05-23
đồng_thời,7,11,-0.36,5.73,2025-05-23
mã,9,33,-0.73,5.73,2025-05-23
đủ,5,4,0.25,5.62,2025-05-23
vượt,5,4,0.25,5.62,2025-05-23
từng,5,4,0.25,5.62,2025-05-23
nâng,8,20,-0.6,5.6,2025-05-23
tính,8,20,-0.6,5.6,2025-05-23
giữ,6,7,-0.14,5.57,2025-05-23
giá_trị,9,39,-0.77,5.54,2025-05-23
nước_ngoài,7,12,-0.42,5.54,2025-05-23
sàn,7,13,-0.46,5.38,2025-05-23
chứng_khoán,9,52,-0.83,5.28,2025-05-23
nhà,6,8,-0.25,5.25,2025-05-23
nâng hạng,6,8,-0.25,5.25,2025-05-23
mốc,6,8,-0.25,5.25,2025-05-23
hạng,6,8,-0.25,5.25,2025-05-23
đưa,7,15,-0.53,5.13,2025-05-23
mục_tiêu,7,16,-0.56,5.03,2025-05-23
điều_lệ,5,5,0.0,5.0,2025-05-23
thành,5,5,0.0,5.0,2025-05-23
giữa,5,5,0.0,5.0,2025-05-23
công_ty cổ_phần,6,10,-0.4,4.8,2025-05-23
cuối,6,10,-0.4,4.8,2025-05-23
đầu,7,19,-0.63,4.79,2025-05-23
thị_trường chung,4,3,0.33,4.67,2025-05-23
xuất_hiện,4,3,0.33,4.67,2025-05-23
rủi_ro,4,3,0.33,4.67,2025-05-23
quy_định,7,21,-0.67,4.67,2025-05-23
lập,4,3,0.33,4.67,2025-05-23
cổ_phiếu hóa,4,3,0.33,4.67,2025-05-23
dự_án,6,11,-0.45,4.64,2025-05-23
sự,7,22,-0.68,4.61,2025-05-23
đánh_giá,5,6,-0.17,4.58,2025-05-23
liên_tục,5,6,-0.17,4.58,2025-05-23
nợ,5,7,-0.29,4.29,2025-05-23
đặc_biệt,6,14,-0.57,4.29,2025-05-23
lần_lượt,5,7,-0.29,4.29,2025-05-23
bên,5,7,-0.29,4.29,2025-05-23
chung,5,7,-0.29,4.29,2025-05-23
doanh_thu,6,14,-0.57,4.29,2025-05-23
xây_dựng,5,8,-0.38,4.06,2025-05-23
hiện,5,8,-0.38,4.06,2025-05-23
nay,5,8,-0.38,4.06,2025-05-23
quy_mô,4,4,0.0,4.0,2025-05-23
thu_hút,4,4,0.0,4.0,2025-05-23
tình_hình,4,4,0.0,4.0,2025-05-23
hóa,4,4,0.0,4.0,2025-05-23
thành_lập,4,4,0.0,4.0,2025-05-23
tỷ_lệ,6,18,-0.67,4.0,2025-05-23
dự_kiến,6,19,-0.68,3.95,2025-05-23
hỗ_trợ,6,20,-0.7,3.9,2025-05-23
lựa_chọn,3,2,0.5,3.75,2025-05-23
tổ_chức nước_ngoài,3,2,0.5,3.75,2025-05-23
nắm,3,2,0.5,3.75,2025-05-23
triển_vọng,3,2,0.5,3.75,2025-05-23
chốt lời,3,2,0.5,3.75,2025-05-23
tham_chiếu,3,2,0.5,3.75,2025-05-23
tổng mức,3,2,0.5,3.75,2025-05-23
nhưng,5,10,-0.5,3.75,2025-05-23
thuộc,5,10,-0.5,3.75,2025-05-23
tiếp_tục,6,24,-0.75,3.75,2025-05-23
khớp lệnh,3,2,0.5,3.75,2025-05-23
quan_trọng,5,11,-0.55,3.64,2025-05-23
tương_đương,4,5,-0.2,3.6,2025-05-23
cải_thiện,4,5,-0.2,3.6,2025-05-23
nhà_đầu_tư,6,31,-0.81,3.58,2025-05-23
lệnh,5,12,-0.58,3.54,2025-05-23
