keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
f88,37,0,5.0,129.5,2025-05-09
nhóm,39,8,3.88,114.56,2025-05-09
so,51,22,1.32,84.61,2025-05-09
tổng giá_trị,17,2,7.5,80.75,2025-05-09
kỳ_hạn,12,1,11.0,78.0,2025-05-09
giao_dịch,57,34,0.68,76.28,2025-05-09
cổ_phiếu,57,34,0.68,76.28,2025-05-09
giá_trị,55,32,0.72,74.77,2025-05-09
tăng,70,75,-0.07,67.67,2025-05-09
trái_phiếu,62,53,0.17,67.26,2025-05-09
khối_lượng,11,1,10.0,66.0,2025-05-09
đường,11,1,10.0,66.0,2025-05-09
giá_trị giao_dịch,18,3,5.0,63.0,2025-05-09
mã,30,10,2.0,60.0,2025-05-09
đạt,45,29,0.55,57.41,2025-05-09
hạn,14,2,6.0,56.0,2025-05-09
giá_trị phát_hành,10,1,9.0,55.0,2025-05-09
mặt_trời,10,1,9.0,55.0,2025-05-09
phát_hành,47,39,0.21,51.82,2025-05-09
dịch_vụ,22,6,2.67,51.33,2025-05-09
42025,13,0,5.0,45.5,2025-05-09
chiếm,17,4,3.25,44.62,2025-05-09
thị_trường,41,35,0.17,44.51,2025-05-09
tổng,24,9,1.67,44.0,2025-05-09
vinpearl,12,0,5.0,42.0,2025-05-09
phi,12,0,5.0,42.0,2025-05-09
mạnh,26,12,1.17,41.17,2025-05-09
công_ty,50,81,-0.38,40.43,2025-05-09
phiên,28,15,0.87,40.13,2025-05-09
nước_ngoài,16,4,3.0,40.0,2025-05-09
đăng_ký,14,3,3.67,39.67,2025-05-09
phi ngân_hàng,11,0,5.0,38.5,2025-05-09
ngân_hàng,28,17,0.65,37.06,2025-05-09
bất_động_sản,18,6,2.0,36.0,2025-05-09
dòng,8,1,7.0,36.0,2025-05-09
gốc,8,1,7.0,36.0,2025-05-09
bình_quân,11,2,4.5,35.75,2025-05-09
giảm,39,50,-0.22,34.71,2025-05-09
toàn_thị_trường,13,3,3.33,34.67,2025-05-09
tỷ_trọng,16,5,2.2,33.6,2025-05-09
mức,29,27,0.07,30.07,2025-05-09
ròng,17,7,1.43,29.14,2025-05-09
chiếm tỷ_trọng,8,0,5.0,28.0,2025-05-09
dòng tiền,7,1,6.0,28.0,2025-05-09
đăng_ký giao_dịch,7,1,6.0,28.0,2025-05-09
tài_chính,41,126,-0.67,27.17,2025-05-09
giao_dịch bình_quân,7,0,5.0,24.5,2025-05-09
nâng hạng,7,0,5.0,24.5,2025-05-09
trái_phiếu chính_phủ,7,0,5.0,24.5,2025-05-09
hạng,7,0,5.0,24.5,2025-05-09
điểm,22,18,0.22,24.44,2025-05-09
khoảng,12,4,2.0,24.0,2025-05-09
niêm_yết,16,8,1.0,24.0,2025-05-09
đầu,21,18,0.17,22.75,2025-05-09
