keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
so,59,4,13.75,464.62,2025-05-12
vận_hành,21,1,20.0,231.0,2025-05-12
nhóm,49,6,7.17,224.58,2025-05-12
giao_dịch,92,31,1.97,182.52,2025-05-12
cổ_phiếu,70,17,3.12,179.12,2025-05-12
vùng,18,1,17.0,171.0,2025-05-12
niêm_yết,18,1,17.0,171.0,2025-05-12
tăng,92,36,1.56,163.56,2025-05-12
tỷ_trọng,17,1,16.0,153.0,2025-05-12
lợi_nhuận,17,1,16.0,153.0,2025-05-12
mạnh,45,8,4.62,149.06,2025-05-12
đầu,36,5,6.2,147.6,2025-05-12
khối_lượng,16,1,15.0,136.0,2025-05-12
đạt,51,12,3.25,133.88,2025-05-12
giá_trị,61,18,2.39,133.86,2025-05-12
f88,37,0,5.0,129.5,2025-05-12
toàn_thị_trường,15,1,14.0,120.0,2025-05-12
bình_quân,15,1,14.0,120.0,2025-05-12
tổng,25,3,7.33,116.67,2025-05-12
ghi_nhận,14,1,13.0,105.0,2025-05-12
công_ty,71,40,0.78,98.51,2025-05-12
thị_trường,60,28,1.14,94.29,2025-05-12
phiên,43,13,2.31,92.62,2025-05-12
giá_trị giao_dịch,22,3,6.33,91.67,2025-05-12
mức,49,18,1.72,91.19,2025-05-12
tập_trung,13,1,12.0,91.0,2025-05-12
đà,13,1,12.0,91.0,2025-05-12
i2025,13,1,12.0,91.0,2025-05-12
dòng,13,1,12.0,91.0,2025-05-12
trái_phiếu,62,34,0.82,87.53,2025-05-12
ròng,27,5,4.4,86.4,2025-05-12
dịch_vụ,27,5,4.4,86.4,2025-05-12
mã,35,9,2.89,85.56,2025-05-12
chiếm,17,2,7.5,80.75,2025-05-12
công_ty cổ_phần,12,1,11.0,78.0,2025-05-12
đường,12,1,11.0,78.0,2025-05-12
phát_hành,47,22,1.14,73.7,2025-05-12
chứng_khoán,71,69,0.03,72.03,2025-05-12
điểm,39,15,1.6,70.2,2025-05-12
ngân_hàng,29,8,2.62,67.06,2025-05-12
krx,19,0,5.0,66.5,2025-05-12
giảm,47,27,0.74,64.41,2025-05-12
42025,18,0,5.0,63.0,2025-05-12
tổng giá_trị,18,0,5.0,63.0,2025-05-12
cuối,18,3,5.0,63.0,2025-05-12
nước_ngoài,20,4,4.0,60.0,2025-05-12
hệ_thống,39,19,1.05,59.53,2025-05-12
tăng mạnh,14,2,6.0,56.0,2025-05-12
kho_bạc,16,0,5.0,56.0,2025-05-12
khoảng,14,2,6.0,56.0,2025-05-12
mặt_trời,10,1,9.0,55.0,2025-05-12
giá_trị phát_hành,10,1,9.0,55.0,2025-05-12
dòng tiền,10,1,9.0,55.0,2025-05-12
đàm_phán,10,1,9.0,55.0,2025-05-12
gần,19,4,3.75,54.62,2025-05-12
tới,27,9,2.0,54.0,2025-05-12
kho_bạc nhà_nước,15,0,5.0,52.5,2025-05-12
shs,15,0,5.0,52.5,2025-05-12
đầu_tiên,16,3,4.33,50.67,2025-05-12
hạn,14,0,5.0,49.0,2025-05-12
vinpearl,14,0,5.0,49.0,2025-05-12
thị_trường_chứng_khoán việt,13,2,5.5,48.75,2025-05-12
vnindex,21,6,2.5,47.25,2025-05-12
tài_khoản,26,10,1.6,46.8,2025-05-12
bất_động_sản,19,5,2.8,45.6,2025-05-12
trở_lại,13,0,5.0,45.5,2025-05-12
