keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
cổ_tức,38,1,37.0,741.0,2025-05-19
giá_trị gia_tăng,15,1,14.0,120.0,2025-05-19
tỉnh,14,1,13.0,105.0,2025-05-19
apg,24,0,5.0,84.0,2025-05-19
tiền_mặt,19,3,5.33,69.67,2025-05-19
chia,18,0,5.0,63.0,2025-05-19
cấp,24,6,3.0,60.0,2025-05-19
tài_sản,21,5,3.2,54.6,2025-05-19
cổ_phiếu,61,92,-0.34,50.72,2025-05-19
xã,13,0,5.0,45.5,2025-05-19
cổ_đông,25,10,1.5,43.75,2025-05-19
chia cổ_tức,12,0,5.0,42.0,2025-05-19
gia_tăng,19,6,2.17,39.58,2025-05-19
hành_chính,11,0,5.0,38.5,2025-05-19
chi_trả,11,0,5.0,38.5,2025-05-19
tiếp_nhận,11,0,5.0,38.5,2025-05-19
tăng,52,117,-0.56,37.56,2025-05-19
giảm giá_trị,8,1,7.0,36.0,2025-05-19
investment,8,1,7.0,36.0,2025-05-19
cổ_tức bằng,8,1,7.0,36.0,2025-05-19
giảm,42,59,-0.29,35.95,2025-05-19
bằng,15,4,2.75,35.62,2025-05-19
tỷ_lệ,21,9,1.33,35.0,2025-05-19
cổ_tức tiền_mặt,9,0,5.0,31.5,2025-05-19
biến_động,9,0,5.0,31.5,2025-05-19
bb,9,0,5.0,31.5,2025-05-19
phiên,38,61,-0.38,30.84,2025-05-19
quản_lý,19,9,1.11,29.56,2025-05-19
cổ_phần,22,14,0.57,28.29,2025-05-19
thuế_suất,8,0,5.0,28.0,2025-05-19
bằng tiền_mặt,7,1,6.0,28.0,2025-05-19
pando,8,0,5.0,28.0,2025-05-19
thông_qua,7,1,6.0,28.0,2025-05-19
pando investment,8,0,5.0,28.0,2025-05-19
tiền,21,15,0.4,25.2,2025-05-19
công_ty,36,94,-0.62,24.89,2025-05-19
cấp tỉnh,7,0,5.0,24.5,2025-05-19
điểm,30,51,-0.41,23.82,2025-05-19
kế_hoạch,21,17,0.24,23.47,2025-05-19
chịu,13,5,1.6,23.4,2025-05-19
mức,29,54,-0.46,22.29,2025-05-19
dự_kiến,18,13,0.38,21.46,2025-05-19
ubnd,6,0,5.0,21.0,2025-05-19
phương_án,6,1,5.0,21.0,2025-05-19
trách_nhiệm,6,1,5.0,21.0,2025-05-19
huyện,6,0,5.0,21.0,2025-05-19
trả cổ_tức,6,1,5.0,21.0,2025-05-19
nhóm,28,56,-0.5,21.0,2025-05-19
cổ_phiếu apg,6,0,5.0,21.0,2025-05-19
đầu_tư,24,33,-0.27,20.73,2025-05-19
thị_trường,29,74,-0.61,20.18,2025-05-19
giá_trị,26,73,-0.64,17.63,2025-05-19
chào,11,5,1.2,17.6,2025-05-19
lpbank,5,0,5.0,17.5,2025-05-19
lựa_chọn,5,0,5.0,17.5,2025-05-19
điều_chỉnh,10,4,1.5,17.5,2025-05-19
chi_trả cổ_tức,5,0,5.0,17.5,2025-05-19
tpbank,5,0,5.0,17.5,2025-05-19
kinh_doanh,19,24,-0.21,17.02,2025-05-19
đơn_vị,17,17,0.0,17.0,2025-05-19
ngân_hàng,20,29,-0.31,16.9,2025-05-19
giao_dịch,27,113,-0.76,16.73,2025-05-19
ròng,20,33,-0.39,16.06,2025-05-19
đồngcổ,13,9,0.44,15.89,2025-05-19
chung,7,2,2.5,15.75,2025-05-19
quyết_định,7,2,2.5,15.75,2025-05-19
hoạt_động,19,29,-0.34,15.72,2025-05-19
có_thể,16,17,-0.06,15.53,2025-05-19
mã,21,45,-0.53,15.4,2025-05-19
về,22,58,-0.62,15.17,2025-05-19
bàn_giao,5,1,4.0,15.0,2025-05-19
đất,5,1,4.0,15.0,2025-05-19
khả_năng,10,5,1.0,15.0,2025-05-19
cổ_tức bằng tiền_mặt,5,1,4.0,15.0,2025-05-19
hàng_hóa,5,1,4.0,15.0,2025-05-19
danh_sách,5,1,4.0,15.0,2025-05-19
cổ_phiếu hóa,5,1,4.0,15.0,2025-05-19
ngoại,13,10,0.3,14.95,2025-05-19
chốt,8,3,1.67,14.67,2025-05-19
tài_chính,21,56,-0.62,14.44,2025-05-19
vnindex,18,30,-0.4,14.4,2025-05-19
đặc_biệt,13,11,0.18,14.18,2025-05-19
kế_thừa,4,0,5.0,14.0,2025-05-19
group,4,0,5.0,14.0,2025-05-19
quản_lý_tài_sản,4,0,5.0,14.0,2025-05-19
bảo_đảm,4,0,5.0,14.0,2025-05-19
danh_sách cổ_đông,4,0,5.0,14.0,2025-05-19
khoản đầu_tư,4,0,5.0,14.0,2025-05-19
holdings,4,0,5.0,14.0,2025-05-19
bắt_đầu,4,0,5.0,14.0,2025-05-19
thị_trường chung,4,0,5.0,14.0,2025-05-19
khu đất,4,0,5.0,14.0,2025-05-19
resort,4,0,5.0,14.0,2025-05-19
dịch_vụ,19,43,-0.56,13.7,2025-05-19
thực_hiện,15,22,-0.32,12.61,2025-05-19
